95940073_379990899230769152 x	@tara_mooree thank you Tara #yourock
95940073_389487512600989696 x	@nflredzone #QuadBoxSighting http://t.co/VVB9UQzE2Q
95940073_389438811702571008 x	RT @RoobCSN: Foles has now put up 4 TDs & 2FGs in 11 drives this year. That's 3.1 points per drive. Vick is at 2.0 [11 TDs, 10 FGs, 54 driv?
95940073_293549097653252096 x	@RoobCSN they suck and your my favorite Tweeter Roob.  Lol
95940073_389179593544183808 x	RT @Buster_ESPN: Red Sox successful on 129 of 149 steals, best pct. in majors. Anibal Sanchez has allowed 25 SB in 26 attempts this year.
95940073_388000033272258560 x	@dogfishbeer.   When can I get American Beauty.   I live in Ridley pa
95940073_388019106253119489 x	@dogfishbeer  quicker to get it in Delaware ? I'll drive down to total wine.   Lol
95940073_387978947906248704 x	RT @TRI_Studios: "Good music is good no matter what kind of music it is."  ? Miles Davis
95940073_385166374818967552 x	Check it out! Dogfish Head American Beauty Release Party at @WCLatTheQueen 10/16/13: http://t.co/ESVnP2v18J on @ticketfly
95940073_384367497954471936 x	@RoobCSN  you ready
95940073_384367400927633408 x	Wow what an interception @Seahawks
95940073_382650064587751424 x	@tara_mooree yea you rock
95940073_381863682738618368 x	Zonker Stout - The 24 Best Beers in America: Zonker Stout - http://t.co/JkicOeL7vl http://t.co/OOfFO1Pjc1 #mensjournal
95940073_381434561605169152 x	@debbiecat I'm following you.  Lol
95940073_381513467255357440 x	@debbiecat  sorry wrong person
95940073_381562253948223488 x	@debbiecat  lmao.   I realized when I seen all your updates and I said to myself who the hell is this.  Then it clicked.  Sorry
95940073_381528822363205632 x	RT @RoobCSN: wow, interesting RT @dtracy2001  he's also lost as many career home games as hc of Eagles as he has career as hc of Ducks
95940073_381512208607629312 x	@Saints @nfl @SeanPayton SCAB
95940073_381511432564912128 x	@Ike58Reese WE ARE PENN STATE
95940073_380878034406244352 x	@MikePereira obvious
95940073_380876429241880576 x	RT @CrossingBroad: this is how Santa happened RT @pastapadre: Eagles fans surely in the best of moods for a Donovan McNabb halftime ceremon?
95940073_379359869331312640 x	@RGIII @nfl yea sure you will
95940073_379359720928473088 x	@jondimuz @RoobCSN  both.
95940073_379359501025280000 x	@RoobCSN I guess he knew he was gonna grab the jersey EVERYTIME.  LOL
95940073_379351012836134913 x	@tara_mooree you TWEET WAY TOOOOO MUCH.  LOL
95940073_379341545276985344 x	@nflredzone #quadboxsighting
95940073_379314118505025536 x	RT @CrossingBroad: That was a MONSTER hit, but Floyd does not look good
95940073_378519129457983488 x	?@Espngreeny: Ron Jaworski agrees: #Jets playcalling was inexplicable. This loss is on the head coach of the offense, Marty Mornhinweg.?
95940073_378518548966301696 x	RT @jaysonst: Crazy, crazy game in Baltimore last night. It was strange enough that Chris Stewart struck out on a 1-1 pitch! But then ...
95940073_378518511456620544 x	RT @jaysonst: Mariano Rivera entered a game in a save situation, zipped through  1-2-3 inning ... and didn't get a save? A Strange But True?
95940073_377234734591787008 x	RT @CrossingBroad: First Half Recap http://t.co/0QN8UaPwgO
95940073_377227829647527936 x	@RoobCSN love it
95940073_377227771791294466 x	RT @RoobCSN: Eagles are slowing down. That five-play, 62-yard drive took 2:07.
95940073_376820664189333504 x	@JessicaMarie614 of course I am
95940073_376804330344824832 x	RT @RoobCSN: Andy Reid coached 243 games with the Eagles and never held a team under three points. He did today in his first game as Chiefs?
95940073_375392920913723393 x	What Brotherly Love truly means http://t.co/KZ1mYOU7EA #FlyEaglesFly
95940073_375318105784082433 x	@XFINITYLive just got a text message that I won a free happy for this weekend.  What does that mean
95940073_374886574154326016 x	RT @RoobCSN: Why was it so important for Michael Vick to get so much playing time in the preseason games? He explains in my story: http://t?
95940073_374881162906595328 x	Twerkin don't get it #confused
95940073_374880929296449536 x	RT @AdamSchefter: Miami is signing former Eagles G Danny Watkins, as @Rapsheet reported.
95940073_374880762845495296 x	Listening to Celluloid Heroes great song what do you think @RoobCSN
95940073_356514437693313028 x	@Q102Philly  #AustinLovesQ102
95940073_356513520554221568 x	@Q102Philly #austinlovesq102
95940073_354357301454442497 x	@TheDadBeatty you're right they are all good girls Bad decision they all felt so bad They all love your WHOLE family and glad all is good
95940073_354355705093963778 x	@TheDadBeatty I'm glad you aren't mad at the girls.  They were all so upset. I seen them outside the show crying their eyes out #badtiming
95940073_354027087209836544 x	@TheDadBeatty wonderful 2 shows
95940073_334680239852642304 x	@BigPhillyShow please give it to @jessicamarie614 she has seen him in 4 states she's my daughter and his biggest fan.please #makeherlife
95940073_334679174574911488 x	@TheRyanBeatty   Please give it to @ jessicamarie614.    The Monday morning questions.   Please it's my daughter seen u in 4 states. Please
95940073_334677763267125250 x	@TheRyanBeatty   Please give the Monday call to @jessicamarie0614.
95940073_318492835919826945 x	@BenRevere9    Retweet me Ben.   You're my new number one man.   You play the game right and with so much enthusiasm #revereplaysitright
95940073_315614268810723328 x	@tpanotchCSN   Like you really use them. Lol
95940073_313434073102163969 x	@TeamBeattyHQ @theryanbeatty I think @JessicaMarie614 should win
95940073_313433201408352256 x	RT @TeamBeattyHQ: Come hang out with @TheRyanBeatty for his LIVE online VyRT concert this Saturday, March 23rd. Tickets & details he ...
95940073_301151633117691905 x	Still waiting for the hockey game to start
95940073_301144180640591873 x	Down the highway down the tracks down the road to ecstasy I followed you beneath the stars hounded by your memory And all you raging glory.
95940073_300423954785517568 x	RT @RoobCSN: South Florida had three assists vs. Villanova today. That's really hard to do in a 40-minute game.
95940073_300423866663190528 x	RT @RoobCSN: we need "sources" to figure this out? RT @WashCap_82  Eagles to part ways to Asomugha, Cullen Jenkins, and let DRC walk. Mu ...
95940073_298623323515015168 x	@missybrewer   Hi west coast BFF
95940073_298623027376177152 x	RT @RoobCSN: Last time the 76ers' franchise scored 78 or fewer points and won by 17 or more its: Nov. 3, 1949. Syracuse Nationals 78, De ...
95940073_298185657677914113 x	@missybrewer   Hi my West Coast BFF.  LOL
95940073_298189031601217537 x	@missybrewer Are you ready for some FOOTBALL !!!!!!!
95940073_298184698566434816 x	RT @AdamSchefter: Favorite single moment of every NFL season is at Super Bowl kickoff, when hundreds of flashbulbs explode in unison. Ne ...
95940073_296672649776603138 x	@sbaickerCSN  yes and that after they scored 7 goals in one game.  Wth
95940073_296014609134010368 x	@dispatchmusic what about Philly
95940073_295698041342664704 x	Where is Shady
95940073_295681425146003457 x	@RoobCSN  what happened with Shady last night now can't see his tweets.  WTF lol
95940073_295682457422934016 x	@RoobCSN   Why
95940073_295615503366512640 x	RT @dispatchmusic: "The General" in the crowd in #Vienna: http://t.co/ysQ42sMj
95940073_294402887541481472 x	@RoobCSN @bdawk20 tell him Roob
95940073_293531792311451649 x	@missybrewer here
95940073_293544931815997440 x	@missybrewer hello my tweeting friend.
95940073_293522716152184832 x	@TheRyanBeatty well what is it
95940073_293517143268544512 x	@TheRyanBeatty my daughter is there please figure something out @jessicamarie614.
95940073_293185819592781825 x	@missybrewer I start tweeting and you drop me like a fly #notanyclearer
95940073_293198499426750464 x	@missybrewer I love that  #whatchutalkinboutwillis
95940073_293184639571472384 x	@TheLaurenBeatty @theryanbeatty I'm not but my daughter seen him Friday and she will see him Monday in New Jersey
95940073_293181157695176704 x	@missybrewer I seen her yesterday and yes she was on her way to stand outside of Walmart to sell GS cookies and no she didn't have cookie
95940073_293182439361236992 x	@missybrewer ok take it easy on that hashtag shit #confused
95940073_293184146753331200 x	@missybrewer so what is a good secret from Tricia's school years #iwonttell
95940073_293182711915503616 x	@missybrewer I favorited your tweet LMFAO #stilllost
95940073_293171253752258561 x	@TheRyanBeatty hi Ryan can you retweet this my daughter will go crazy  she loves you also she has seen you I 3 states NY PA and NJ on Monday
95940073_293171505846710272 x	@WHARFRAT917 @theryanbeatty that was meant to say in 3 states. Lol
95940073_293170025232203776 x	@BrianDawkins BDawk I glad I started following you because you give a great insight into the game. Just like the way you played thx brother
95940073_293137151028232192 x	@RoobCSN Roob do you think Akers will be on the Superbowl roster ?
95940073_293135108800663552 x	@BenRevere9 he's a loserrrrrrrrr
95940073_293099430524104705 x	@missybrewer omg omg omg
95940073_293098838384848896 x	RT @Ike58Reese: I love twitter thugs, tough guys with the keyboard. But if they had a chance to meet you, they'd want a picture and auto ...
95940073_293071449940439041 x	RT @BenRevere9: Do the flyers have a black dude on their team??
95940073_293071350615121921 x	@BenRevere9 enjoy your falcons cause this is their last game this year.  Retweet please.  Seriously good luck Ben
95940073_293070113018626050 x	@ShaneVictorino 49ers and Ravens
95940073_293069964909359105 x	@ShaneVictorino not the cowgirls
95940073_293038615200681985 x	@RoobCSN times yours
95940073_293035587471032322 x	@TheDadBeatty she will also be going to Jersey to see him.  That makes 3 states for her.  Lol http://t.co/IRTD2d87
95940073_293035238907592704 x	@TheDadBeatty Kevin it was very nice meeting you at The Note on Friday my daughter @jessicamarie614 loves your son http://t.co/EY3zDvzi
95940073_293032213950369793 x	@sbaickerCSN guess the door won.  Lol
