283030343_391909580336160768 x	?@jpeery59: The only Confederate flag that mattered http://t.co/Z0pMWUtqNh?
283030343_396431070985748480 x	RT @KXLBlockade: Revealed: Largest fracked oil spill in U.S. history may be bigger than originally estimated http://t.co/tAHzFZCHPC
283030343_396429415271661568 x	RT @HuffPostPol: Poll: Disastrous Obamacare rollout didn't change Americans' minds about the law http://t.co/IPE6RzGN1B
283030343_396429187533520896 x	?@EPA: Did you miss President Obama?s new executive order on #climate resilience? Check it out: http://t.co/3BRFFuob32?
283030343_396426854355468288 x	RT @maggieclark320: A family of 4 will receive $36 less each month because of the #foodstamps cut taking effect today, reports @jgrovum htt?
283030343_395267653352169472 x	On Keystone XL, will Obama stand up to big oil?  | Bill McKibben http://t.co/cPxXESIRj1 via @guardian
283030343_395264245991866368 x	When Did "To Serve & Protect" Become "To Seize & Profit?" --  https://t.co/IyUVA2k6V4 via @aclu
283030343_394872232834392064 x	Ranking the GOP's Most Vulnerable States in 2014 http://t.co/eqGSBNkH1Q via @BW
283030343_394869998427975680 x	North Dakota Keeps its Oil Spills Nice and Quiet http://t.co/Bl5WZipzqP
283030343_393831068207284224 x	Home Heating Costs Expected to Rise This Winter Despite Gas Fracking Boom http://t.co/IDR7s1Dzs2
283030343_393829551375003648 x	Pregnant Woman Forced Into Drug-Treatment Program Despite Being Drug-Free. Only Her Fetus Got a Lawyer. http://t.co/YeHezdv86d via @slate
283030343_393816341968211968 x	Increasing the minimum wage a no-brainer http://t.co/GfXd20uzMZ via @NewsWorksWHYY
283030343_393690713067491328 x	Swiss support rises for reduced executive pay http://t.co/xc2qmc9GjU via @TheLocalSwitzer
283030343_393426078510768128 x	Voter ID gov: I haven't paid 'a lot of attention' to the issue http://t.co/4JUJqgt9bD via @msnbc
283030343_393048614097780736 x	RT @NRDCRenewables: Must read: Koch Brother Wages 12-Year Fight Over #Wind Farm - http://t.co/eFT0BdM0ij http://t.co/PYl2ps6rpv #capewind #?
283030343_393006953728724992 x	The Myth That Obamacare Is Destroying Full-Time Jobs Just Got Debunked - Yahoo Finance http://t.co/pjOm6Q2l56 via @YahooFinance
283030343_393006496386011136 x	Senator Rand Paul Proposes Constitutional Amendment http://t.co/opbLjifmES via @wkms
283030343_392649394450755584 x	Costco CEO Craig Jelinek Leads the Cheapest, Happiest Company in the World http://t.co/mGk3cJsU2s via @BW
283030343_392648820326023169 x	Air pollution a leading cause of cancer - U.N. agency http://t.co/lH0PkDj8ja via @reuters
283030343_392644783622983680 x	KOCHS would make $100 BILLION on Keystone Pipeline http://t.co/86nQjdgy9e  http://t.co/iZg2DHMBUG
283030343_392644315232485376 x	Arizona power company fesses up: We bankrolled Arizona's anti-solar ad blitz? we used Koch brothers operative 2 do it http://t.co/gRZDOhjP62
283030343_391606093782454272 x	?@RWwatchMA: 94% of Americans don't know the budget deficit is getting smaller http://t.co/lv33Nw1JJY  GOP wants to cut Social Security
283030343_392342738139897856 x	@Obomination1  @RWwatchMA spoken like the typical elitist. This is why GOP is so out of touch with reality. No perception except your own.
283030343_392353302626992128 x	@RWwatchMA sorry about that.
283030343_392344785895555072 x	RT @garagemahal65: Here is the Wisconsin-heavy Citizen Koch trailer the Koch Brothers blocked you from viewing on PBS in its entirety. http?
283030343_392343704327163905 x	RT @RepubsRScum: Although corporations are the greediest they have ever been in history they've always bitched, whined & moaned: http://t.c?
283030343_391924850430074881 x	How to get your senators' and representatives' attention on any issue without being a wealthy donor  http://t.co/vnrlqlUHJc
283030343_391923863896199168 x	RT @OoSomajaa: @SuperSlaven @PAULFREID @RWwatchMA until this nation addresses its original condition, we will always have this problem.
283030343_391923863141224448 x	RT @OoSomajaa: @SuperSlaven @PAULFREID @RWwatchMA facts mean nothing. Obama can cure CANCER & many ppl will still reject it. This is abt ra?
283030343_391915193359273984 x	Have the Justice Department arrest the House Republican &#039;leaders&#039; for the crime of sedition. http://t.co/CGokWbecN6
283030343_391910586269048832 x	@Obomination1 @DennyAllen7 @RWwatchMA math? Revenue is "high" but LOWEST % of GDP in decades.  Cut tax loopholes. Make it fair for everyone.
283030343_391914909002240001 x	@Obomination1 @RWwatchMA what's the point when GOP forgets this is a democracy? Clearly u and the GOP aren't mature enough for actual debate
283030343_391605210323234816 x	Have the Justice Department arrest the House Republican &#039;leaders&#039; for the crime of sedition. http://t.co/CGokWbecN6
283030343_391604889132236800 x	RT @RWwatchMA: Debt increase by POTUS: Reagan 186% Bush 54% Clinton 41% Bush II 72% Obama 23%  Source CBO @PAULFREID http://t.co/3UQgB8iPMt?
283030343_391604181175660545 x	RT @gaycivilrights: Maddow: Get Married While You're Waiting To Be Allowed To Get Married http://t.co/roOtNkdbBN #p2 #lgbt #gay #UniteBlue ?
283030343_391576020765003776 x	The Tea Party, by the Numbers - Bloomberg via @BloombergView http://t.co/LSK6OLhLZb
283030343_390936695832453120 x	Memo to the Tea Party: The Government?s Budget Is Actually Improving | The Exchange - Yahoo Finance http://t.co/9JYKdZepdH via @YahooFinance
283030343_390915922052907008 x	CNN Exposed ? Emmy Winning Former CNN Journalist Blows The Whistle: CNN is paid by foreign and domestic... http://t.co/TMpkyZTrzf
283030343_390915566321401856 x	RT: Have the Justice Department arrest the House Republican &#039;leaders&#039; for the crime of sedition. http://t.co/CGokWbecN6
283030343_390870938822000641 x	Have the Justice Department arrest the House Republican &#039;leaders&#039; for the crime of sedition. http://t.co/CGokWbecN6
283030343_390829451145412608 x	RT @thinkprogress: The government shutdown cost the economy $24 billion http://t.co/7aYLa2IGCO
283030343_390808559467765760 x	Mitch McConnell gets nearly $3 billion for Kentucky dam project in congressional deal http://t.co/UruYDtYK8v via @YahooNews
283030343_390649940940447744 x	Names and faces of the 32 Republicans Who Caused the Government Shutdown  http://t.co/88Ssw2g9lO
283030343_390103188910514176 x	The Army?s $5 billion waste http://t.co/03prXKadj5 via @YahooNews
283030343_390101911094833152 x	NEWS ANCHOR COMPLETELY LOSES IT FOR THE BEST POSSIBLE REASON: http://t.co/Y3x4MzGjGn via @youtube
283030343_390098671305371648 x	How Fast Can You Put These Ridiculously Gerrymandered Congressional Districts Back Together? http://t.co/Cf2ImIlgY0 via @slate
283030343_390091375737204736 x	Here Are The Sleaziest Things Congress Has Done During The Shutdown http://t.co/aIS8ghxwGh via @HuffPostPol
283030343_390091174590955520 x	House Republicans Changed The Rules So A Majority Vote Couldn't Stop The Government Shutdown http://t.co/VqpUt3FkdU via @HuffPostPol
283030343_389894151883747328 x	?@MotherJones: How tens of thousands of Americans got cheated out of their mineral rights http://t.co/XSzAH6GtXR?
283030343_389748130964463616 x	Watchdog Update - Three more state workers got raises after phantom job transfers http://t.co/ubwjNqZFd2
283030343_389508248732069888 x	North Dakota waits 11 days to tell public about oil spill via @AJAM  http://t.co/PZWUgmsdWk
283030343_389506343251353600 x	46 per cent global wealth owned by richest 1 per cent: Credit Suisse http://t.co/CGB2cyi9Dn via @NDTVProfit
283030343_389506042486202369 x	It?s Not Just Political Districts. Our News Is Gerrymandered, Too. http://t.co/G7wfurUqAu
283030343_388705760311377920 x	McCain To Fox:  No, The Shutdown Is The GOP's Fault: http://t.co/2vgmhRFRxp via @youtube
283030343_388679183817121792 x	ND farmer finds oil spill while harvesting wheat http://t.co/ZhRV78LGJU via @YahooNews
283030343_388480788158619648 x	Warren Warns Against Default http://t.co/pMHlhTQADA via @HuffPostPol
283030343_388407364761944064 x	RT @TheDemocrats: Governor Beshear's message to Republicans. Retweet if you agree. #JustVote #Obamacare http://t.co/kae0i3y9p4
283030343_388308778958856192 x	Pipeline explosion shoots flames into Oklahoma sky http://t.co/IJPARDbedi
283030343_388305166060888064 x	40 years of federal nutrition research fatally flawed http://t.co/PP6Zwhp4q8
283030343_388278793623703552 x	Al Gore?s solution to climate change: impose a carbon tax and publicly shame deniers http://t.co/CRaeUh33h1 via @qz
283030343_387376108506578944 x	Star athletes like LeBron, Serena cash in on junk food endorsements http://t.co/i4UNbL8tCr
283030343_387188944833503233 x	Vouchers don?t do much for students - Stephanie Simon - http://t.co/6DNsOQou9f: http://t.co/xbPGtpwdRH via @POLITICO
283030343_387188319651512320 x	Anti-Hillary Clinton Buttons Reportedly At California GOP Convention Are Just Disgusting http://t.co/iXWFSvPocm via @HuffPostPol
283030343_386991442020671490 x	On Investing: The Obamacare portfolio http://t.co/pR5dGPRZtk
283030343_386990043752955904 x	Dear President Obama: don't cave to the GOP's extortion politics | Michael Cohen http://t.co/ckund3cU4U
283030343_386989675425955841 x	The myth about job-killing Obamacare http://t.co/3Eo9M8WS0V
283030343_386877422320095232 x	Wind is a Finite Resource. Don't Blow It.  http://t.co/VEcihBQft7 via @wordpressdotcom
283030343_386211148468465664 x	Older Article, still relevant: Study Links Medical Costs and Personal Bankruptcy http://t.co/EjTfAWagaA via @BW
283030343_386140644013400065 x	Tom Corbett compares marriage equality to marriage between siblings: http://t.co/0iYzWxoT9d via @youtube
283030343_385922489333063680 x	?@blakehounshell: Reality check: Many Republicans have no incentive to deal on the gov't shutdown http://t.co/qpA6DCFkxs?
283030343_385783335705788416 x	Meet Butch Matthews, A Republican Who Came To Love Obamacare After Realizing It Will Save Him $13,000 http://t.co/bp2lumm9lP via @TPHealth
283030343_385783185176395776 x	Harry Reid Makes John Boehner An Offer On The Shutdown, And His Logic Is Spot On http://t.co/DkS5kVnBrb via @bi_politics
283030343_385757313048383488 x	Pierce: The GOP is Getting What They Want http://t.co/1Sc9mUp8wu via @EsquireMag
283030343_385591283387203584 x	?@LOLGOP: I'm okay with the Affordable Care Act, but I'm willing to crash the global economy over Obamacare. http://t.co/R6YoA6dX2Y?
283030343_385589520290549760 x	?@thinkprogress: During the shutdown, EPA is prevented from cleaning up almost 2/3 of toxic waste sites http://t.co/HD39nYK4HE?
283030343_385588747523592192 x	?@HuffPostGreen: Frackers may be polluting a Pennsylvania river with radioactive waste http://t.co/zdrHtfgQNy?
283030343_385121760992980992 x	Michael Gerson: The tea party?s revolt against reality http://t.co/9AT3R3RxCh via @washingtonpost
283030343_385121522420961280 x	RT @RightWingWatch: Shorter GOP: Obamacare isn't law because we don't agree with it & let's pretend 2012 election never happened http://t.c?
