979438842_396319144565407745 x	@SeanBrace975 emenem alot of talent? he stands there and talks? how is that talent sean?
979438842_396445735660429312 x	@ferkdigga21 @seanbrace975 0 talent required
979438842_396445091696369664 x	@nchoop32 @seanbrace975 so where does the talen come in? anyone can stand up there and complain and talk! requires 0 talent
979438842_396444391600300033 x	@itsthefranchise @seanbrace975 so where does the talent come in? i dont get it? what does he do that anyone couldnt do?
979438842_396436601498132480 x	@sbaickercsn and your far from ugly beautiful!
979438842_396221779879817216 x	@WIPMorningShow and i think the phils have passed the eagles as phillys top franchise!
979438842_394985635909353472 x	@Ciara_Price You are the most beautiful women in the world Ciara! besides my wife of course! lol
979438842_394930361236344832 x	@RealGlenMacnow me that he was joking?lol I cant take it anymore!lol
979438842_394930204872699904 x	@RealGlenMacnow Glen I didn't hear because I was working? Did Charles barkley really tell vick he should ask for a extension?lol please tell
979438842_394616276951130112 x	@lisahillarytv you are beautiful lisa!
979438842_394883484881133569 x	@lisahillarytv anytime!! keep up the great work beautiful! I love watching u on csn!
979438842_394561165478866944 x	@amyfadoolcsn @csnphilly yea!!!!! We are winning the superbowl now!!!!! Lol
979438842_394558182343061504 x	@cindy610 you are beautiful cindy!
979438842_394560562010415105 x	@cindy610 your welcome!!!
979438842_394559890431037441 x	@lesbowen what is the diffrence if is ok and playing or not? there not winning anything with vick!
979438842_394555551540973568 x	@cindy610 you are a pretty picture!
979438842_394555198883897344 x	@tonybrunoshow the worst thing eagles can do is win a couple more games
979438842_394554839629172736 x	@tonybrunoshow barkan just refered to vick as a star qb!lol
979438842_394554436279750656 x	@sportsradiowip did i just hear barkan refer to vick as a star qb?lol please stop i cant take it anymore!
979438842_394553659549175808 x	@sportsradiowip @darealtank78 vick to the rescue!lol the worst thing they can do is win a couple more games
979438842_394553149161107456 x	@phillysport @sportsinq foles is the best qb on the team! but i really dont want to win games at this point! just loose and get a qb
979438842_394552375869849600 x	@phillysport @sportsinq does it really matter? lol
979438842_394283965067964417 x	@kathyorrcbs3 you are the prettiest news women in the city!
979438842_394093582237200384 x	@juliedorenbos ill check out anything that has to do with u julie!lol
979438842_394092463024922625 x	@jennfredfox29 I only care about seeing you! beautiful!!!
979438842_387915125635551232 x	@JulieDorenbos You are beautiful Julie!
979438842_393421167265988608 x	@juliedorenbos your welcome! I watch g s d just to see you!lol
979438842_393367587439906816 x	@wipmorningshow @toddzolecki how can u guys have zolecki on and not asked 1 damn question about phils offseason?!
979438842_393414714497445888 x	@wipmorningshow @toddzolecki never to early for hot stove talk!
979438842_393370718118764545 x	@wipmorningshow @toddzolecki yea everyone you dont want to hear them ask a phils insider about brown in a cowboys jersey! cant miss stuff!
979438842_393368405626986497 x	@toddzolecki @wipmorningshow shit drives me crazy!!!!,
979438842_393368066949533697 x	@toddzolecki @wipmorningshow i waited 15 min to hear some hot stove and not one question! who cares about manual now hes gone!
979438842_392385819165458433 x	@JennFredFOX29 you are the most beautiful news lady in philly by far!!!!
979438842_387916411814699008 x	@TonyBrunoShow WHADDUP!!!!! LETS TALK SOME FLYERS HOCKEY ACTION! @6abc
979438842_387912287522004992 x	@inthephilshouse When is the offense going to be a concern mandy?
979438842_387913131189481472 x	@inthephilshouse I have 100 times more confidence in this pen then I do that pathetic offense! even in full health you need bats!
979438842_387912555730964482 x	@inthephilshouse I hope he dosent think getting ryan howard back is all he needs to fix this offense?
979438842_387169262512517120 x	@WIPMorningShow @SportsRadioWIP  you will hear every excuse from 10-1 today!
979438842_387169068710510592 x	@WIPMorningShow @SportsRadioWIP Lets look for every excuse today why foles looked good! I am sure we will hear them all!
979438842_387168728623767552 x	@WIPMorningShow @SportsRadioWIP Isnt that how its supposed to work? They load the box to stop rb and the qb picks u apart?
979438842_386985203492601856 x	all we are going to hear tomorrow is the only reason foles did good is because the giants suck! If vick stayed in nobody would mention it!
979438842_386561213775110144 x	@McKaylaMaroney you are amazing!!!!!!
