45175199_312742945050730498 x	RT @NHLFlyers: Elias for the Devils...NO GOAL!!! FLYERS WIN 2-1!!!!!
45175199_395668363365462016 x	@R_Shade Raf this is awesome!! Getting the travel bug again?
45175199_395602548159037440 x	Intriguing work on the streets up to the Hollywood Hills in LA... Anyone have any knowledge about this? #photography http://t.co/4ybqZ7SL6G
45175199_391649395520712704 x	Wow... http://t.co/oejx6lo7Rz #beautiful #abandoned #derelict
45175199_391617894913556481 x	@andrewleese89 @rhia_beresford @STD87 See Mr Leese! THIS is why we love pizza! That and it's tasty goodness.
45175199_389458609710448640 x	@virginmedia your internet keeps dropping... what can we/you do?
45175199_389790734557011968 x	@virginmedia Seems like just on WiFi...
45175199_386156357734260736 x	@twiggy_jade I graduate on 4th December too! So glad I'll know one person! #excited
45175199_386157630499995648 x	@twiggy_jade Also whilst stalking your twitter I saw you're going to the Fulbright day in London? I wanna go so may come with #stalker
45175199_386162464821219330 x	@twiggy_jade We'll probably still get lost though... And @nationalexpress, that's classy! I'll see if I can get the day off!
45175199_385093806267179008 x	RT @PHOTOUCLAN: Open submission - Waste Collectors by Corina Pickering http://t.co/gdUysXv30f
45175199_381798362090971136 x	The Grand Canyon was the most breathtaking, inspiring place I've ever been #Americamemories #USA http://t.co/t3t6W3gxZ9
45175199_381420071622426625 x	"@BritishLogic Being overly bothered when American people on television don't pronounce 'aluminium' right." & Nissan, Nikon, Capri-Sun etc..
45175199_375654097732767744 x	Some good work in @MOPASD's exhibitions, lovely
45175199_358315037808549888 x	#america http://t.co/EjtFI1aNOV
45175199_358314660782555136 x	Love my life #america #ct http://t.co/eQBRjc9kXu
45175199_358313727273091074 x	http://t.co/GB9y8WSUEq
45175199_358314251674730496 x	@corinapickering #Brad_rugg
45175199_355361256141635584 x	I've been in America for 1 month now and it is going way too fast! I want to stay here please!!! #lovemylife
45175199_346294764695597056 x	Love central park! http://t.co/fVqQUbACwZ
45175199_345264370630144000 x	First day off - nailed it! http://t.co/6btkgXwOqC
45175199_343801761859002368 x	Gorgeous BBQ on my last day! @rhia_beresford @AmyByrne14 http://t.co/VjcKUgXEeF
45175199_343677463341187072 x	@Steph_Goffe & How are you and Mr Goffe? You got plans for summer? Off to the east again?
45175199_343677282306625537 x	@Steph_Goffe NY on monday, then 2 months in Connecticut teaching photography and then travelling around America for a month!
45175199_343386897462222848 x	Up to my eyes in lesson plans and documents and packing but the excitement is well and truly kicking in! Tomorrow is my last day in the UK!
45175199_343431995394777088 x	@ground_glass Oh thank you! That would be brilliant! I'm actually looking for the possibility of a bit of assisting/work experience in NY?
45175199_343358410890289152 x	Getting photos together for lesson plans, and I forgot how much I love this. Andy Warhol eats a birthday banana! http://t.co/rVkO00gdbV
45175199_343092316598333440 x	Seeing @adriangrenier in The Devil Wears Prada is so bizarre after Entourage! #stillgorgeous
45175199_343017022201921536 x	RT @Vantage2013: One week today until the open night of Vantage Exhibition arrives at Uclan! Hope to see you all there! @PHOTOUCLAN http://?
45175199_342772366134349824 x	@twiggy_jade What has happened???
45175199_342790241003925504 x	@twiggy_jade What! How did that come about? You are crazy haha! How is it?!
45175199_312692848506044416 x	If I actually make it through this dissertation, I can do anything! #challenge
45175199_342800886315220992 x	@twiggy_jade Oh my god Jade! That's insane! Are you doing okay now? How is camp?? And how was NY other than that?
45175199_342656746948546560 x	Gorgeous boy! Love him even if he's grumpy! http://t.co/QXAFLX5xwK
45175199_342650486807199744 x	RT "@kerrylstylist: Business Cards have arrived! http://t.co/tzGPdrXz51" Love them Kerry!
45175199_342331894412767232 x	3 days until I'll be back in the beautiful New York! http://t.co/b4Qq21OCaC
45175199_342326394019250176 x	RT @PHOTOUCLAN: Not long now... http://t.co/fZLFHfYkHL
45175199_341613026518114304 x	RT @CCUSAUK: Check out this interview with 1st time CCUSA Camp Counselor, Corina! If you are going to camp this summer for the... http://t.?
45175199_341612026419875841 x	Such a beautiful eagle, love him! Such a sweetie! http://t.co/VJwc06NOeO
45175199_341597364961812481 x	RT @Brighton_Photos: LAST HOUR 1/2 FOR HASSELBLAD EBAY http://t.co/JUozDTnsO2 http://t.co/BGchI2FIIZ I want! #Please #IveBeenSoGood
45175199_340457292791164928 x	@twiggy_jade How was the journey? Hope America is treating you well!
45175199_340464751664590848 x	@twiggy_jade Amazing, I cannot wait for the weather! It's actually hot in England today - shock! Ha yes the TV's are cool. You in NY now?
45175199_341328455813713921 x	@twiggy_jade can't believe you were stuck for that long! Were customs crazy then? How is it going for you?
45175199_341508189587648512 x	@twiggy_jade Ohhh gosh haha, you found a fawn?! Enjoy New York you will love it! I'll be in NY for a night on monday 10th if you're about!
45175199_340468271671296000 x	Packing! @CCUSAUK #summer #America http://t.co/DnlMu4d33i
45175199_340457103611289600 x	Successful job interview, all shopping for America done and I fly in 9 days! #lovemylife
45175199_340108494386647040 x	Left my flowers on Leeks war memorial along with so many others, RIP Lee Rigby http://t.co/N47jyY8IbJ
45175199_339873494928068608 x	@ThomasBenson27 wait for @EntourageMovie! #april2014
45175199_339873168024023040 x	@twiggy_jade Oh my gosh... good luck! Have fun! If you get chance you should message me to let me know what I'm in for! Bon voyage! xxx
45175199_339828927042310144 x	@RobGreen92 @CCUSAUK Manchester to NY?
45175199_339827936507068416 x	RT @mrdougellin: My work here is done. For real this time http://t.co/Ti9gxAVNRk
45175199_339382150451322880 x	Successful injection. Getting better at these! #brave http://t.co/yIFjFuhRJQ
45175199_339092535949524992 x	RT @Vantage2013: Take a look at our website where you can see the graduate photography being exhibited in Preston http://t.co/eHAY6ZvLpm #d?
45175199_339091700884570112 x	RT @SugarmillStoke: Last chance to vote Sugarmill for @NME best #smallvenues Lets show just how strong and passionate our music scene is! h?
45175199_338766501681176577 x	@STD87 hahaha brilliant! I hope @rhia_beresford has seen it too?! ooh can we get a baby tiger? and a monkey? yes? thanks! x
45175199_338294937743392768 x	RT @photoworks_uk: "All photography needs to be challenged" Martin Parr on the new generation of photographers
45175199_338255489559318528 x	I hope everyone loving the Will Smith on Graham Norton has seen the last one?! Way too funny not to see! https://t.co/UKCtfp5hY0 #institches
45175199_337983573950865408 x	@andrewleese89 It sounds like you are booking through Ryanair... pack light  and just take hand luggage that's my trick!
45175199_337986409782706176 x	@andrewleese89 you can do it, I believe in you!
45175199_337983694902001664 x	RT @Vantage2013: A selection of the work on show is now up on @sourcephoto graduate online! See the work here! http://t.co/IwwNi44wfU
45175199_337969363720208388 x	RT @AdamJohnMead: Comin' straight outta Preston: http://t.co/BQ4UaLaDRp
45175199_337550687380570112 x	RT @andrewleese89: @rhia_beresford @corinapickering you guys! #meltedcheese http://t.co/EHvaUhAvtw
45175199_337340981479370753 x	@daisyisatwat beautiful is definitely the word! #want
45175199_337300243307708418 x	RT @ELLEUK: 'I think it's great that everyone's a photographer now. But being good at Instagram doesn't make you a good photographer' - @ra?
45175199_337296938955329536 x	@andrewleese89 @rhia_beresford yes! it will look so good in her audi & alfa! we will get a kitten no matter what @STD87 says ;) #outnumbered
45175199_337273599679422465 x	@HotTubCinema Wow I wish I could make it to watch Trainspotting! Really hope you'll still be going in mid-late september?
45175199_337152444050055169 x	@UnusualLight love your websites. is there a way to see the themes that you provide?
45175199_336994823485669376 x	Pretty sure my rucksack for America is just going to be filled with tea bags! #cantlivewithoutabrew
45175199_336956501665120258 x	RT @Monroegallery: This whole idea that ?anyone with a camera,? can be a professional photographer is both absurd and unsettling http://t.c?
45175199_336918963168612354 x	@jhill_artkid @sophballantyne @katie_leannee I may buy a new one but mine is slightly above the knee and black/gold! hope it's okay, wbu?
45175199_336910516477902848 x	@katie_leannee @sophballantyne hey so are you taking sleeping bags? I wasn't going to as it doesn't say it on the list? #justchecking haha
45175199_336904910161448961 x	Can't wait to go see this at @ICPhotog http://t.co/MTcCAb0fJ8 #newyork #myfavouriteplace
45175199_336817308251086848 x	@abikempen awwh thank you abi! Good luck at Free Range, I'll be following the twitter whenever I can! :) can't wait to see lots of photos!
45175199_336857872111656961 x	@abikempen Free Range sounds awesome! I will and you too :) xx
45175199_336808181860798464 x	19 days! @CampChinqueka @CCUSAUK #excited http://t.co/92pGmHYvF2
45175199_336812080541884417 x	@amyelizabeth25 aahh thank you amy! have an awesome summer!!
45175199_335450354365919232 x	@jhill_artkid @katie_leannee Ooh, could you let me know if you find out about anything we can/can't wear?
45175199_335419831098675200 x	RT @sourcephoto: Thanks to those who helped with Graduate Online 2013 @trashleasmyth @corinapickering  @rankin_lewis @susietsang @pamelajph?
45175199_335364758809231361 x	This @poveysoatcakes will sort me out! http://t.co/3AnTx5nwqg
45175199_335051699037302784 x	@A_S_G Thank you! And I am in Hanley at the casino and walkabout on Saturday if you are about?
45175199_335041478134992897 x	@andrewleese89 is the best!! and Sophie ofcourse #EPIC http://t.co/jkybfJ22KD
45175199_335038531036672000 x	RT @katie_leannee: Happy birthday @corinapickering ??? Thank you Katie! :)
45175199_335038418901929984 x	@CHolmes_16 @saragreaves08 I'm sure I will live without!! haha
45175199_334968825944616960 x	The best 21st birthday present for me today would be a donation to @TheChristie for the Great Manchester Run! http://t.co/ONpd4SWlQB
45175199_334796337231040512 x	RT @kerrylstylist: new work @Katymodelramsey @corinapickering @Jemmajulz http://t.co/aJQJvIwfea
45175199_334728546893312000 x	Thank you @TheChristie for giving me a charity place at such short notice! Training is going really well! #goteamchristie
45175199_334724333014487040 x	@Lisa31191 we can actually do this! #greatmanchesterrun #winning #1hourherewecome
45175199_334339407408680961 x	@VTPreston Preston railway station in the very welcome sun! http://t.co/3JlTN2DeHo
45175199_334260973009506306 x	Job interviews and life planning is scary but so exciting! The next few years are going to be amazing!
45175199_333981823237500928 x	Also a big thank you to @sourcephoto's Stephen Hull for all of his help!
45175199_333980867695374336 x	Everything is now submitted to @sourcephoto for the graduate @PHOTOUCLAN students! #photography
45175199_333566234593464322 x	Bill Cunningham, the legend! http://t.co/Zgf7IuPH10 I am definitely going Bill-spotting in NYC! #hero
45175199_333341386046844928 x	Poker table at the Casino is booked for my 21st! #excited
45175199_333337650981396480 x	@andrewleese89 Ari is my hero! @jeremypiven
45175199_332920518669922304 x	Really hope that @TheChristie want me to raise money for them in the Great Manchester Run! Please please please it would mean so much to me!
45175199_332919993853411328 x	RT @bytherivers: @corinapickering @staceybird92 :)
45175199_332587724596981760 x	@staceybird92 @bytherivers ahh Y-Not memories! I'll come over and listen to it with 30 packets of crisps and a cider ;)
45175199_332587045920845824 x	Hmmm... http://t.co/YgvjXb49fh #photoshop #photography
45175199_332574693712359425 x	@Liz_Ball1 it looks great, huge well done! Happy for you that you don't have to stay all night :P
45175199_332197766333870080 x	My images are coming together - final touch ups tomorrow! @Vantage2013 #photography #degree #show http://t.co/suiAKEHqEJ
45175199_331957676680572930 x	RT " @charjones21: Thankyou @corinapickering  Xxxxx http://t.co/1KGwTR6IPt " my pleasure Miss Jones, you are a stunner!
45175199_331846209012637696 x	Me and @NJpony are showing this report who is boss! Tomorrow will be so surreal - last ever uni assignment hand in!
45175199_331841256416219136 x	@andrewleese89 it does look pretty epic ;) haha also I am a truly terrible texter (you know this) I shall sort it out haha! P.S. #epic
45175199_331411805601660928 x	RT @Vantage2013: Tomorrow is the day we have all been working towards! We will be hanging our final projects for the Preston Exhibition fro?
45175199_331407471849664512 x	Hanging for @Vantage2013 tomorrow - exciting and scary! #3yearshasgonesofast
45175199_331410311427022849 x	@Liz_Ball1 it really is crazy how fast it's gone! yes same, I'm really looking forward to see everybody's exhibition pieces!
45175199_331065763756666883 x	it is times like this I wish I had a car!!
45175199_331047386703081472 x	US work visa has arrived! I wish I could get on that plane right now! #35daystogo
45175199_331053515315240960 x	@twiggy_jade Jealous! That's gonna come around so fast! #bestsummerever
45175199_331047585387274240 x	@andrewleese89 #epic
45175199_330997444223574016 x	RT @Katymodelramsey: sneak peak from yesterdays shoot! Photographer: Corina Pickering. Stylist: Kerry Saxon. Mua: Jemma? http://t.co/ZBldVQ?
45175199_330854784737353729 x	RT @markcantdotcom: A letter from Bailey. http://t.co/WQCcvChHwU
45175199_330851366006300673 x	RT @kerrylstylist: Preview of yesterdays shoot! Can't wait to see the rest http://t.co/bOAj0mGY1b
45175199_329623358641692672 x	hopefully ?108 well spent on frames for @Vantage2013 #exhibition #degree #show
45175199_329619256272617472 x	RT @Vantage2013: Everyone is ordering their prints and preparing their work for hanging on Tuesday! So exciting!
45175199_328957322439307264 x	@AliveXRankin thank you for the follow, I am so excited for the exhibition!
45175199_328874038560690177 x	@kerrylstylist @Danielle_MUA_ looking great, can't wait!
45175199_328873882243186690 x	RT @kerrylstylist: Monochrome shoot prepped. @corinapickering @Danielle_MUA_ http://t.co/GVhDrACAF0
45175199_328525467734900736 x	My final project for @Vantage2013 is nearing completion! #photography http://t.co/amnGm7vY41
