1137233929_372370282671267840 x	@johnlegend Nice, can't wait.
1137233929_340585618776129536 x	http://t.co/mmQri8ErGS
1137233929_306123053287485440 x	rondarousey's photo http://t.co/gM7tDiBa7R
1137233929_305837901181222912 x	RT @PlayStation: That's a wrap! PS4 is coming Holiday 2013.
1137233929_319780742269923330 x	This was the BIG catch #FAIL!!!!!!!! http://t.co/cv6B3Gkyqx
1137233929_394073057159315456 x	@JessySorensen Hey man I'm rooting for you tonight holmes, good luck
1137233929_391743096498950144 x	RT @JCLayfield: Bill Russell arrested at airport w a gun?? He could be greatest defender of all time in @NBA He's the last person that need?
1137233929_391742876134412288 x	RT @LanceStorm: People crying robbery need to learn the scoring system. With 2 close round a fight can go Either way and it's not a Robbery?
1137233929_391714538308923393 x	@facdaniels I need this shrit
1137233929_391714456386162688 x	RT @facdaniels: For all who are asking, the new hotness is available here http://t.co/Z2y18GfXww  http://t.co/Eu9jIBRPmT
1137233929_391713439212916736 x	RT @LanceStorm: ?@TrueKofi: A lot of people coming back to their roots tonight?  #WWELouisville? I thought you were from Ghana? :-)
1137233929_391183580187332608 x	Photo bombin' Madison and the Minions...... it's cool the minions are my peoples tho #photobomb? http://t.co/QwLQh3TBYM
1137233929_390612016815435776 x	Pick in' pumpkins with the girls http://t.co/GhRVO3J4vT
1137233929_390333023834877953 x	http://t.co/UPA8bHD5Wm
1137233929_390330664006189056 x	RT @TheMarkHenry: Sunday cowboys win! Despite two of the drunkest dummy's that almost got put in the hall of pain.
1137233929_389172492491046912 x	They caught me slipping. http://t.co/St1YKSLhS8
1137233929_388741761449082880 x	@WWEgames Might be a dumb question but can created wrestlers actually sweat in this years game. I recall it being mentioned in the L.S.
1137233929_383404910248607744 x	http://t.co/043MavpFFm
1137233929_383404280264130560 x	Black Goku...... http://t.co/AtflgNCA8U
1137233929_380676795596427264 x	http://t.co/dsLvnKinSi
1137233929_380676305974341633 x	http://t.co/zv4p5NfQYb
1137233929_380676168074031104 x	http://t.co/n5iW34MfM0
1137233929_380529017889107969 x	http://t.co/gyTtY1Wuqv
1137233929_380528927866757120 x	http://t.co/6EFJp4zyy5
1137233929_380528862880206848 x	http://t.co/gxz6TxMLGZ
1137233929_380528732949069825 x	http://t.co/3MHbM2p2Eh
1137233929_380528643765579776 x	http://t.co/fCjupyJUhW
1137233929_380528527071670272 x	http://t.co/o3vbzqt5Ja
1137233929_380527900258082816 x	http://t.co/c5JsEG97LN
1137233929_380527673249771520 x	http://t.co/npQjC4sbFI
1137233929_380526728558292992 x	http://t.co/JWiNSkjLe0
1137233929_379007396267708416 x	#messinaroundatpepboys #motorcyclehelmets #grownasskid http://t.co/ATNNLRioHZ
1137233929_377207101837570048 x	It's about to go down....... Go Eagles!!!!! #KevinHartvocie #NFL #startoftheseason #7 #vick #jackson? http://t.co/BRqp4vRGgu
1137233929_377002391608229888 x	Pajama pants of choice #mariobros #supermario #kickinitoldschool #thegoodolddays #toearlytobeup? http://t.co/NDYlDJRmZn
1137233929_376171195928182784 x	Had a great day in consuming food #threwdowntoday #pepperturkey #lettuce #tomato #jackcheese #fish? http://t.co/d5hwBmY0vd
1137233929_375932827168440320 x	Well at least the drive to work was nice to look at #work #friday #beautifulskyline #blue&orange #422? http://t.co/0o3YiWuI2Q
1137233929_375788856534380544 x	RT @JRsBBQ: I live in @nfl @steelers household. Wife not @Ravens fan. I cheer 4 no team in ORANGE. @OU_Football 4 Life. @OU_CoachStoops @OU?
1137233929_298251424083619840 x	RT @the_ironsheik: Beyonce ass break the power at super bowl
1137233929_375788263401086976 x	RT @JCLayfield: Before Ryan Seacrest started announcing games we played in all kinds of weather! For the love of God-kickoff the stinking b?
1137233929_375788046228406272 x	RT @NickJacksonYB: I don't care how good you are. Anyone vs a broomstick would be an awful match.
1137233929_375787216028852224 x	RT @trentylocks: This is the earliest I've been awake in a while.  I'm watching Pootie Tang. Just drank eggs. This is a cry for help.
1137233929_375787088173887489 x	RT @JoeyStyles: #youknowyoureawrestlingfan when your desk looks like this. @realmickfoley @howardfinkel @trishstratuscom http://t.co/tF3IIn?
1137233929_375786407639678976 x	RT @TheMarkHenry: Marvel don't miss the boat. http://t.co/2v5ONxJKlR
1137233929_375786373594497024 x	@TheMarkHenry Awesome.
1137233929_375786232238055424 x	@MattJackson13 I want that
1137233929_375785854129950720 x	@Unclecreepymma Ha!
1137233929_375785643445452800 x	RT @HEELZiggler: nah, my doctor says its just an ingrown hair (points to glowing green light, emerging through jeans)  #WorstPickUpLines
1137233929_375670817298063360 x	@WadeBarrett I don't know man, all I'll say is good luck to ya.
1137233929_375606544790192128 x	RT @kennyflorian: Some people drive like a jackass! #BeloHorizonte #Traffic #Brazil #Brasil #Carporn #convertible #ecofriendly http://t.co/?
1137233929_375606144523579393 x	RT @DJMURO: ???????? ??????????????? http://t.co/arqVmHqVSF
1137233929_375604978230251520 x	RT @JessySorensen: Up & ready for cardio! Have a blessed day & do something Big with your life! How will You make it better?
1137233929_375424476227600384 x	RT @shaunalshatti: No clue how Piotr Hallmann survived those body kicks, but damn, great comeback. Never doubt those Polish livers.
1137233929_375385976400797696 x	@YMG1999 @fudatzkee_bot Old school, that put me in a good mood thanks @YMG1999
1137233929_375384636295512064 x	RT @KevinHart4real: Don't make me put my FOOT in a place that could be mistaken for ur FACE....u muthafuckin DISGRACE..now I'm mad so don't?
1137233929_374360478170247168 x	RT @riddickbowe: @KassiusOhno Lets take a picture and the caption will say I'm about to whoop that ass. Lol. Partner lets make it happen
1137233929_374277098837647360 x	#LoL #truestory #RealTalk http://t.co/en2aOESvKt
1137233929_372371918697267200 x	RT @TalibKweli: You can be black, but don't get caught being black! Lol
1137233929_368756872343347200 x	Got this throwback McCoy jersey just in time for training camp ?#throwback #trainingcamp #kellygreen? http://t.co/0lt2Bu7mcc
1137233929_368526668933378048 x	RT @danawhite: Another Jones gettin ready to KICK ASS 2 night!!!! @JonnyBones http://t.co/luUxncZZtR
1137233929_368526518685024256 x	RT @SamoaJoe: In a perfect world when the box disintegrated they would lay it flat crank up a ghetto blaster and start break dancing.
1137233929_368526499479293952 x	RT @SamoaJoe: Brand new state of the art toy my sons play with 10 mins top. Oversized cardboard box played with for hours on end until box ?
1137233929_368419660351668224 x	#golfcartlife #basketball #pool #beautifulday #firsttimedrivingagolfcart #jimthorpepa @ Bear Creek Lakes http://t.co/4eHwh8lDcL
1137233929_367407209376129024 x	How my day started and how it's kinda finishing, I coulda got sub 30 if I didn't slow down twice #rain? http://t.co/IylQ3e5ELU
1137233929_366667611192315904 x	Yeaaaaah buddy, perfect after a long day http://t.co/H4mJ6P0Ctk
1137233929_366290506361221120 x	Wonderful day for a BBQ #BBQ #HAMBURGERS #WITHTHEFAM #GERMANBEER #CAKE #BEANS #beautifulday http://t.co/dld4wPgnPt
1137233929_365270350625378304 x	RT @CMPunk: Tone Loc is awesome. He was in 'Heat'. What a cast.
1137233929_364078129087651840 x	RT @WWERoadDogg: So 40 mins of cardio then chest and abs! Steak and egg whites after a shake! That's what I do ( Mark H. ) http://t.co/2TfU?
1137233929_363744813256310784 x	RT @JoeJitsu: RT @JakeSalas @JoeJitsu Sexual Chocolate For Your Birthday http://t.co/TqpIlITcSN  Haha yes! Dat boy good!
1137233929_362383291535474689 x	RT @Cowboy_J_Storm: Yep http://t.co/PbyAxffH8s
1137233929_360849780517240833 x	A long days work and taking the long way home ain't so bad when you get a beautiful day like this and? http://t.co/GjRW1WXsgs
1137233929_360385345256296448 x	RT @TheRock: Wake up determined.   Go to bed satisfied.   (this photo shoot in the shower sh*t is optional) http://t.co/gYc4oAnoug
1137233929_360179739299811331 x	@idriselba Dope.....
1137233929_359421120400719872 x	RT @VibeMagazine: 8 rap verses from this year that are better than Kanye West's "New Slaves" ft. @LupeFiasco http://t.co/P9X5hUiphj
1137233929_359419423649574912 x	RT @JoeJitsu: #RoyalBabyNames   Id go with Akeem but Naseem Hamed or Humperdinck work also!
1137233929_356101269196242944 x	Just finished the Rugged Maniac it was so much fun, wanta do it again for sure #ruggedmaniac? http://t.co/I2MwNubFxF
1137233929_356012795332009984 x	Diner breakfast is awesome #Hungry #Eatingsoon
1137233929_355873174132490240 x	Grand Theft Auto V: Official Gameplay Video http://t.co/lOEyZjTH1U
1137233929_355409689229533185 x	Yeah I bought it...... #legend #donaldduck #myfavorite #tasty http://t.co/CzeCv4IZIZ
1137233929_354238241832058885 x	RT @DetroitWillie34: Be thankful for what you have, you'll end up having more. Concentrate on what you don't have, you will never, ever hav?
1137233929_354237728843505665 x	RT @TitusONeilWWE: Adversity can only Break those that allow it too! We all Have God-Given Strength,Courage&Power 2Kick Adversity square in?
1137233929_353329462651273216 x	RT @CMPunk: Sad to see Emery go because he's such a solid dude, but he's got a chance up front now. Kill it!
1137233929_352869114357878784 x	@arielhelwani I hope not fighting, he's clearly shown to not have a chin anymore.
1137233929_352492112731836416 x	RT @JonnyBones: But what if they hit me too hard? ?@MATTY2OO7: @JonnyBones I wish you would grow a set and move to Heavyweight?
1137233929_352492081152929794 x	RT @RingleDingle2: I wish  @MATTY2OO7 would grow a pair and say it to @JonnyBones face instead of over twitter
1137233929_352385237705170947 x	Lets get this day on shall we #tiredbutgottakeepitmoving
1137233929_352050093362388994 x	Yup, gotta "work" before work #Moving
1137233929_351793743688503296 x	RT @KENTAkicksheads: I blocked Waka Flocka Flame to add diversity to my block list. Hope KENTA isn't upset with me. He goes hard in the pai?
1137233929_351476012820865027 x	RT @JoshLBarnett: Because of @DaiYoshihara & Chris Marion I'm now watching seasons of #InitialD. I think I may want a AE86 to play with now.
1137233929_350805084571062272 x	http://t.co/tDlkbS4ZSt
1137233929_350804966623023104 x	http://t.co/sGHkw9q3LF
1137233929_350804835580403712 x	http://t.co/eYbUqV5OO5
1137233929_350804751241342976 x	http://t.co/euI5Va209D
1137233929_350804666000482304 x	http://t.co/h4FHEreWTz
