776636257_366305216343183361 x	@CMPunk rumor has Bryan Cranston playing Lex Luthor what do you think about that?
776636257_365608411552956418 x	@perlmutations Ron would you ever be in the Expendables if asked?
776636257_364776321403994115 x	@PhillyInquirer passionate
776636257_362037521422614531 x	God the Wyatts are $$$ week in week out #RAW #followthebuzzards
776636257_362029171045711873 x	@DUSTIN_RHODES1 it's ok Carneys are cool
776636257_395621232055308289 x	@Hartsy19 i just seen you the other day at Masquerade Halloween store i came in and yelled HARTSY and you looked at me like i was insane lol
776636257_395436714216263680 x	@WWEBrayWyatt take them down Bray...one by one...the wicked must FALL...the liars and fake heroes must suffer
776636257_395435478704345089 x	@JRsBBQ after last night do you see the Wyatts being a major factor for the long haul?
776636257_395074533343776768 x	@RealCurtisAxel @Konnan5150 ...it's WCW V.2 and you have 2 of the best minds in Wrestling (heymanand dutch) they should write every show
776636257_395217392944443392 x	@Konnan5150 @RealCurtisAxel Ok but look at Brock he's not very good on the mic in fact he's awful but he's a ratings machine
776636257_395432924008308737 x	@Konnan5150 @RealCurtisAxel Ok Brock wasn't a good comparison and i like Axel but yeah Brock is in a league of his own
776636257_395216895017615361 x	@Goldberg totally agree i can understand the yelling from frustration but celebrating a tackle like you won the S.B. is pathetic
776636257_395074318280843264 x	@RealCurtisAxel @Konnan5150 ...then feud with Sin Cara?? Barely beating Truth?? It's stupid and Paul is going to bury that company...
776636257_395074115050012672 x	@RealCurtisAxel @Konnan5150 ...great if he's used right but he's not,,,how do you have him put up great matches against Cena and HHH but...
776636257_395073852004245504 x	@RealCurtisAxel @Konnan5150 ...struggles to even maintain a 2.0 rating because we're tired of the same old same old...I think Axel can be..
776636257_395073576958586880 x	@RealCurtisAxel @Konnan5150 ....with an ego bigger then his nose...you got guys like @TheDamienSandow jobbing to Super Cena it's why WWE..
776636257_364775795085950976 x	@aaronpaul_8 just saw you on the price is right your reactions were awesome
776636257_395073297064263680 x	@RealCurtisAxel @Konnan5150 ...Where guys like Nash and Hogan buried young talent under their massive egos just like Paul is doing now,,,
776636257_395073041782145024 x	@RealCurtisAxel @Konnan5150 Really?? Axel has mad talent it's not his fault WWE fails to showcase it...WWE reminds me of the old WCW...
776636257_395069585369493504 x	@TripleH  Why?? You'll just bury them like you buried Sandow and Dolph and D.B. etc. YOU are sir are NOT best for business
776636257_392026669470326784 x	@MVFive your brother has had 2 straight losing seasons and was 1-3 this year he blows and so do you...JUST being HONEST
776636257_388015464518926336 x	@realDonaldTrump you're a TRUE American unlike our Dictator in Chief
