1857576823_399648209532125184 x	Take roids?  RT @HardballTalk: Would A.J. Burnett pull a Roger Clemens? http://t.co/CZD0KOxBmS
1857576823_399647326933090304 x	RT @RobTornoe: There seems to be a relationship between Riley Cooper's play and his likability: #Eagles http://t.co/m8Njck4hst
1857576823_399647201594712064 x	It?s not. Play them all on the road. RT @BleedingGreen: Eagles have a month at home coming up... Hopefully that's a good thing
1857576823_399645681876742144 x	Why should I trust a guy who is getting sued? RT @LesBowen: McCoy 25 for 155 against the FIFTH-ranked NFL defense against the run.
1857576823_399638699451109376 x	@LesBowen Can I sue you for the $24,462 twitter owes you?
1857576823_399637808559980544 x	Akers just missed a 45 yard FG. RT @RealGlenMacnow: I still miss David Akers.
1857576823_399632617039204352 x	I think he was tying his shoe.  RT @RoobCSN: I'm not sure what Patrick Chung was doing out there. #EaglesTalk
1857576823_399619650205782017 x	RT @_Happy_Gilmore: Green Bay Packers QB for second half... http://t.co/dTpKLeNdot
1857576823_399614124713586689 x	It?s been time.  RT @LesBowen: Time for a new kicker.
1857576823_399614015703617536 x	@zoowithroy It?s not twiddling when their thumbs are up their butts.
1857576823_399613316781588480 x	Terrible missed facemask. #Eagles
1857576823_399608955120664577 x	Why keep the emergency QB secret? Like an opponent is going to prep for them or something?
1857576823_399604144572747776 x	Only 6 more TDs passes and Nick Foles ties his own record! #eagles
1857576823_399603969414406144 x	Great concentration by Jackson. Could have given up but didn?t. #eagles
1857576823_399593805500145664 x	RT @jessespector: We're all still acting like Jay Glazer training the athletes he's covering isn't a huge conflict of interest, right?
1857576823_398989297371852800 x	RT @EliotShorrParks: How perfect is this on Bynum night: Ilya Bryzgalov has reportedly signed with Edmonton-- who come to Philly tomorrow n?
1857576823_398935829537914881 x	#2013BooFest #Sixers #Bynum
1857576823_398894986856390656 x	@EliotShorrParks It's fine as long as they don't go bowling or dancing.
1857576823_398667869720162304 x	Worst time out call ever.
1857576823_398659302715850752 x	RT @wyshynski: Congrats to the LA Kings on their eventual acquisition of Claude Giroux.
1857576823_398653668972830720 x	@CrossingBroad G is acting like a pussy.  Richards acted like a pussy too, but at least he is a pussy with a cup.
1857576823_398650966335299584 x	#pussy RT @EliotShorrParks: Claude Giroux won't speak to the media. #Leadership
1857576823_398628882993385472 x	@TheIdleRich The Eagles would lose a football game to the Flyers at the Linc. The Flyers would lose a hockey game to the Eagles at the WFC.
1857576823_398627048711004160 x	RG3 is a good player but soooooo overrated. #Redskins
1857576823_398519095282237440 x	They aren't a good team. RT @DNFlyers: Giroux says teammates don't believe Flyers are a good team, which is compounding on-ice problems.
