882120294_394294468519526400 x	Can you help us stock ACCT's food pantry?  https://t.co/n4LMjn24hj
882120294_394279504467599360 x	Buy a calendar, save a shelter pet... https://t.co/v6ZB18mu0r
882120294_399787103862935552 x	RT @RaniV_PhD: @Philadoptables I am fostering a special needs kitty "Twitch" from @ACCTPhilly with a balance disorder. Sweetest guy! He nee?
882120294_399786798047457280 x	@GCN7897 @phillypaws @mandarulez Thanks everyone, Denver was adopted!!!
882120294_399786615335555072 x	RT @MowniaMowtruse: Come support @ACCTPhilly 2pm Monday as they dedicate their new dog runs! Special thanks 2 @CarolCBS3 https://t.co/KiX44?
882120294_399786545336418305 x	@humdehum801  18 to volunteer at ACCT Philly.  We have opportunities for younger jr volunteers, message me your email, ty.
882120294_398705921679179776 x	RT @ACCTPhilly: Help needed with cleaning, socialization & adoption at our 4 PETCO locations, email volunteer@acctphilly.org for info http:?
882120294_398705808407797760 x	RT @ACCTPhilly: Veterans, we salute you. Come to @ACCTPhilly this Veteran's Day and adopt a new best friend for free! http://t.co/diwO80teu9
882120294_394914162541101056 x	We need Thanksgiving parade volunteers, you'll be home in time for dinner! Contact michelle@philadoptables.org http://t.co/hSJ3k8osQf
882120294_397957912347168768 x	@jmasonnewsbreak Thanks for tweeting it out :)
882120294_397957727659761664 x	RT @ACCTPhilly: Big shout out to our friends at @Philadoptables for coming to the rescue with food donations when our pet food pantry was n?
882120294_397957686370648064 x	@Smurfette30 ha ha ha, that's awesome, great costume :)
882120294_397957509803040768 x	@Smurfette30 What an awesome costume, looking good!!!
882120294_397956782938542080 x	@laurensbrain Hi Lauren, that's awesome, can you message me your email and I'll send you a note :)
882120294_397956610297184256 x	RT @mandarulez: phillyurgents's photo http://t.co/Wc2DexrGfW @phillypaws @Philadoptables
882120294_397106672692658177 x	Time for nap http://t.co/7hSKWw36bJ
882120294_397082139717820416 x	Follow us on Twitter, and like our facebook page.  http://t.co/10hOjuQavf
882120294_397046448828981248 x	Watch our shelter me segment here: http://t.co/Rh7pj4RIwZ
882120294_397000892026986497 x	Adopt. Foster. Volunteer @Acctphilly
882120294_396734840017793024 x	We need more volunteers for the Thanksgiving Day Parade, contact michelle@philadoptables.org http://t.co/bAYYUqdSIJ
882120294_396669122551250944 x	Just in time for holiday shopping. http://t.co/im1GrzUZjY
882120294_396638716686774272 x	Homes4Hounds has a hunky calendar for sale just in time for the holidays http://t.co/yop45z1tCl
882120294_396623520433991680 x	Check out our reviews on Great Non-Profits, we are 5 Star rated http://t.co/kNkBkldY67
882120294_396382031783165952 x	It's the weekend, have a great one! http://t.co/pNhjhYlvNq
882120294_396351866617229313 x	Volunteering is wonderful, you will laugh, cry and be fulfilled, find out more@acctphilly.org/volunteer
882120294_396313825445953536 x	Philadoptables sweatshirts are here, just in time for the holidays.  http://t.co/im1GrzUZjY
882120294_396268488106708993 x	There is no better feeling than watching a shelter animal leave the shelter, come get that feeling. Volunteer @Acctphilly
882120294_396115710919061505 x	Adopt.Foster.Volunteer @Acctphilly  The animals need you.
882120294_396079772184616960 x	Shelter me segment @6abc was awesome, catch it here http://t.co/Rh7pj4RIwZ
882120294_396064747248185345 x	Did you get a lot of candy?
882120294_395900718483517440 x	Happy Halloween, show us your pets in costume, we'd love to see them.  Here's some adorable adoptables @Acctphilly https://t.co/JihNu5SAxO
882120294_395687384920379393 x	They make a great holiday gift and they help us help homeless animals, it's a win-win.  http://t.co/im1GrzUZjY
882120294_395675535818625024 x	Our friends at Homes 4 Hounds have a great calendar, all proceeds go to Philadoptables! http://t.co/yop45z1tCl
882120294_395613789191933953 x	Check out Philadoptables @6abc http://t.co/Rh7pj4RIwZ
882120294_395582331941322753 x	It's almost time for Camp Out for Hunger, join us and help us help homeless animals. http://t.co/AaejZkNLO7
882120294_395536425128833024 x	Adopt. Foster. Volunteer @Acctphilly
882120294_395299158825140224 x	It will be here before you know it and we are still looking for people with a sense of adventure to handle Philadoptables Clifford...
882120294_395294607174811648 x	Adopt.Foster.Volunteer @Acctphilly 111 W Hunting Park, Phila., Pa.
882120294_395265295994351616 x	http://t.co/kACQHvoTSO you seen us on Shelter me @6abc, no?  Well, here ya go:
882120294_395234446687088641 x	Good afternoon, friends, hope today is wonderful!
882120294_395231247792099328 x	We can't do anything without your help, please help us and donate today. http://t.co/18f6OFgck4
882120294_394872687753187328 x	Adopt.Foster.Volunteer @Acctphilly  111 W Hunting Park, Phila., Pa.
882120294_394841872566595584 x	Camp out for hunger is coming, we love to have you volunteer with us.  http://t.co/NFAZqcuhGk
882120294_394826528879820800 x	Hey Ladies, we have a hunky calendar, makes a great holiday gift.  http://t.co/yop45z1tCl
882120294_394796157635166208 x	Good morning friends, have a great day!
882120294_394689225427140608 x	Watch us on Shelter me http://t.co/mTKdoNYkpN
882120294_394688242882457600 x	RT @DelCoSPCA: Ask The Expert, our #vet Dr. O'Brien! Maintaining a Healthy Weight - Philly Pet Info http://t.co/ZJ1pldm6h6 #petcare #vetcare
882120294_394539693955899392 x	Happy Weekend, everyone! http://t.co/y3DXQRXBIy
882120294_394539282716962816 x	RT @CBSPhilly: Kraft Foods Recalls String Cheese That May Spoil Early -- http://t.co/2NZVhsVM6a
882120294_394538422985314304 x	RT @ACCTPhilly: Oh. My. Bulldogs!! These two big-pawed sisters just became available for adoption. Any large breed lovers out there? http:/?
882120294_394538133926449152 x	RT @ACCTPhilly: What a beautiful fall day! Help shelter dogs enjoy this weather too by becoming an ACCT volunteer. Sign up online: http://t?
882120294_394524540543696896 x	We need Thanksgiving parade volunteers, contact MIchelle@philadoptables.org http://t.co/3cDBCkenDE
882120294_394509234546941952 x	Acct Philly food pantry for people who need assistance is empty, please bring cat and dog food to 111 W Hunting Park, Phila., Pa.
882120294_394479478178844672 x	Watch us on Shelter me @6abc.com  http://t.co/OB34aBqXBU
882120294_394448553369952256 x	Adopt.Foster.Volunteer @Acctphilly  111 W Hunting Park, Phila., Pa.
882120294_394353719703515136 x	RT @Justice_Rescue: Please share this story many times. It shows what a small rescue can do...   and thanks Joe Mason for writing... http:/?
882120294_394351121843884032 x	Like our facebook page. http://t.co/10hOjuQavf
882120294_394295442256564224 x	Without this food people who have fallen on hard times have to turn in their animals.http://t.co/bO3eXSZ5jY
882120294_394279061893050368 x	Adopt. Foster. Volunteer, buy a calendar, save a shelter animal. https://t.co/Atph6Bo4FC
882120294_381797211773755392 x	Hey check this out: http://t.co/E6al5KknB1
882120294_394278110704586753 x	Thank you to all who voted, here's our link to Shelter me @6abc, we were honored to on tv today.  http://t.co/mTKdoNYkpN
882120294_393814516720345088 x	It's Pit Bulll awareness day! Here's one of the awesome adoptables at @ACCTPhilly  Meet Lucy! https://t.co/g6hYMs8BZ2
882120294_393642277609807872 x	Check out how you can make a difference, become a volunteer at @ACCTPhilly, http://t.co/vuWNad4mSd Thank you to http://t.co/twowb8k9OP
882120294_393635684897914880 x	ACCT needs cat treats and wet dog food, can you help?    http://t.co/bO3eXSZ5jY
882120294_393634879688044546 x	Show us your pets in costume and we'll share them on our page!!!
882120294_393633716444356608 x	RT @ACCTPhilly: It's HOWLoween at @ACCTPhilly and our dogs are all dressed up and ready to party! Check out their adorable costumes: http:/?
882120294_393633461598040064 x	Shelter me segment, behind the scenes, watch us 9:30ish Sat am at @6abc Lord Prancelot is available for adoption http://t.co/KIWvCdzt4P
882120294_393632689477009408 x	Philadoptables will be on tv this Saturday 9:30 ish @6abc.  Here's a behind the scenes shot, don't forget to watch! http://t.co/EW6VVTt6Sy
882120294_393632072939487232 x	Homes For Hounds created awesome calendars with ALL the proceeds going to Philadoptables!!! http://t.co/LL1EfRTRgw http://t.co/eaEbuHHHDu
882120294_393631676510662656 x	We need volunteeers to help with Clifford balloon in theThanksgiving Day parade! Message michelle@philadoptables.org http://t.co/a4Fe4RH5UR
882120294_391062330785951744 x	RT @dk9n: Study Shows Taking Your Pet to Work Relieves Stress http://t.co/4pepotyY66 via @ToDogWithLove
882120294_390371057770577920 x	THANK YOU to everyone who helped save a life at ACCT Philly today!!! LS & AD sent 50 to rescue, 20 animals into foster care, 13 Adopted,Yay!
882120294_389863848817086464 x	Adopt a Duck and help @ACCTPhilly  http://t.co/mfoVf5TzJ2
882120294_389863221655797762 x	RT @ACCTPhilly: Stressed? How about a year of FREE massages?! Enter the Duck Dash for a chance to win! http://t.co/tF9BUunFyD http://t.co/y?
882120294_389862895934115840 x	We are collecting dog and cat food this year at Camp out for Hunger, new location, can you help, RT and contact us! http://t.co/WqmsaTYJzK
882120294_389862073548546049 x	Come out this weekend and save a life! http://t.co/3cqCI1dQ6z
882120294_389861700964327425 x	Thanks everyone, we won the "Shelter me" segment, we will be taping it this week at ACCT.  We will post the video when available.  Thank you
882120294_389264043686785024 x	RT @CindylusMuse: Pit bull named top dog at 2013 American Humane Association Hero Dog Awards http://t.co/gwO4aQT21p via @BunnyJeanCook
882120294_389263551871066112 x	RT @Andrea_Arden: All You Need to Know About Volunteering at Your Local Animal via @onegreenplanet http://t.co/TMktsPbmFD
882120294_389261727596294144 x	RT @ACCTPhilly: Check out this great positive #pitbull story: Pittie saves a child's life! http://t.co/c9BoVHg6QX
882120294_389261638953885696 x	RT @ACCTPhilly: We have 5,000 ducks all hoping to be "adopted" before the Duck Dash on Oct. 19. Adopt today to help save pets' lives: http:?
882120294_389261489447522304 x	Some cute pet costumes to make you smile:  http://t.co/Jk2y89Tq2n
882120294_388793163915472897 x	RT @ACCTPhilly: Help @Philadoptables be featured on @6abc Action News by voting in the Shelter Me poll every day till Monday A.M.: http://t?
882120294_385075887072231424 x	@MaddiesCorner True!!!
882120294_385075676547514368 x	@MaddiesCorner ty for the RT, 35 dogs and cats were saved just from ACCT and the total was 329 for the whole event, wowza!
