1696667888_379786312829894656 x	#mancrushmonday http://t.co/HqEAsuZKrj
1696667888_387930814010638339 x	@KeithJones Can you send me a sign picture of you for my wife?
1696667888_387719537791352832 x	@AnnieMMcCormick Can I get a sign picture of you?
1696667888_393931860767555584 x	@JESStoLetYaKnow Are you in Philly?
1696667888_393908277072769024 x	Don?t trust words, trust actions.
1696667888_393907243613032449 x	Truth has no temperature.
1696667888_379787504897241089 x	@SammiSweetheart How can I get a sign picture of you?
1696667888_399713840117866496 x	Lol http://t.co/k6rtplbzVc
1696667888_399702237582491649 x	Me and my wifey of the store.... http://t.co/DaE4ks8Fqa
1696667888_399353040366747648 x	Every time I go to Camden,They take my stuff every time http://t.co/mPcCchfq11
1696667888_399348585776807938 x	Shit just got real... http://t.co/aGspWWTqA9
1696667888_399336010070626304 x	Wild http://t.co/lpfWekAWTe
1696667888_399294363874099200 x	OG Kallie http://t.co/oLiKRrQclP
1696667888_398971480954130433 x	My super hero.... http://t.co/sVSpwSd0aW
1696667888_398967374428520448 x	Buzz Aidan... http://t.co/M1Z7pK87hT
1696667888_398966671014387712 x	Aidan looks like a fat old lady...lol http://t.co/5JKopmAKfg
1696667888_398959666069528576 x	Lil dj Aidan... http://t.co/j1qPj8QeLZ
1696667888_398117898751057920 x	If you put the federal government in charge of the Sahara Desert, in 5 years there'd be a shortage of sand.
1696667888_398087541540524032 x	Don't drink and drive until you're 21, it's the law.
1696667888_397562518937534465 x	The secret ingredient for a perfect pancake is cocaine.
1696667888_397460471785472000 x	If robbers ever broke into my house and searched for money, I'd just laugh and search with them.
1696667888_397158729394556928 x	Vote for  @GovChristieNJ
1696667888_396829219181047808 x	@JJGotti27 You seem pretty piss off lately
1696667888_396690408551755776 x	@johnnJrGotti Happy born day homie...
1696667888_396486337844752386 x	@jessicapridham Hey How do you like twitter?
1696667888_396480207592644608 x	In all seriousness you won't get in trouble if you sell meth in school.
1696667888_396248643252273152 x	I'm not shit,with out my kids
1696667888_396088260608675840 x	It doesn't matter who hurt you, or broke you down, what matters is who made you smile again.
