296570275_393773813588328448 x	RT @KenColeman: The view flying into Salt Lake City. Palm Springs next. http://t.co/d3pPNSemSs
296570275_399696904071946240 x	RT @JonDorenbos: From the frozen tundra of Lambeau Field ... They return.  #Kelly1-0atLambeau #WeLovePhilly http://t.co/NaVAzCyhEL
296570275_399696736551444480 x	RT @GigaWAttGoode: Good win! Heading Back home flying high!!! ????????? #BleedGreen #FlyEaglesFly
296570275_399696074979676160 x	@Eagles lets win some games at home #Eagles
296570275_399695904888078336 x	RT @JonDorenbos: Keep tradition.  Winning makes flights way better. Returning from Lambeau @rileycooper_14 brentcelek http://t.co/ZnkSIaSSYk
296570275_399647571779788800 x	Great win #Eagles
296570275_399569380041699328 x	I just downloaded the new Only King Forever EP from @elevation_wrshp, for FREE! Check it out: http://t.co/OLmdCGimJq
296570275_398562872051392512 x	RT @SenTedCruz: RETWEET if you agree Obamacare is a disaster and should be repealed entirely! #MakeDCListen http://t.co/zCGgm8UnpT
296570275_398562271469006850 x	RT @NEWTPOTUS: Ted Cruz Introduces Bill That Will Offer Reward On Benghazi Terrorists http://t.co/BqnoQVDG6q #tcot
296570275_398562189742993408 x	RT @FoxBizAlert: BREAKING NEWS: Disney?s 4Q Earnings Top Views http://t.co/qjqQd9WZ8f
296570275_398562157375524865 x	RT @RushLimbaughHub: Cruz vs. Christie Could be Epic http://t.co/wvHZxV3UhK
296570275_398561855377256448 x	RT @robynanne: Obamacare Proceeds With Murder-The U.S. is now being destroyed by deliberate acts of this admin...#RedNationRising http://t.?
296570275_398561804869459969 x	RT @RedNationRising: Mr @BarackObama Americans impatiently waiting for you to stop the purging of our Insurance plans! #IWantMyIns #NoObama?
296570275_398561725022502912 x	RT @megynkelly: Did you catch the Ode to Obamacare on @CountryMusic Awards last night? http://t.co/o2s1wQQzsA Libs OUTRAGED, we?ll debate #?
296570275_398271235760881664 x	RT @TtobyJenkins: MIKESCHAIR Concert December 4th http://t.co/llaEtGSFw8 @MIKESCHAIR @FindingFavour @CityHarbor
