289950253_377265430760804353 x	that's what I like to see! #FlyEaglesFly http://t.co/uoFEMCmsyI
289950253_377248029465915392 x	RT @Ike58Reese: Alright, time to put the foot back down on the gas pedal.
289950253_396095872276381696 x	RT @projecteve1: How To Network Even If You're An Introvert - Project Eve http://t.co/kOox1fNKkU
289950253_396068420971925504 x	me & doc ??? #trickortreat #happyhalloween http://t.co/0kiwhOWy7b
289950253_395939804040691712 x	doc mcstuffins in the Halloween parade ?? http://t.co/tImfJijsrb
289950253_395923659745157120 x	Halloween parade time! #itstimeforyourcheckup #thedocisin #docmcstuffins http://t.co/B5ZfoD3uGX
289950253_394880086836776960 x	RT @nprnews: What You Need To Know About Babies, Toddlers And Screen Time http://t.co/MSDb5E8iJo
289950253_392482243249471488 x	another successful #meatlessmonday - shrimp & veggie stir-fry #yummy http://t.co/EaIDM27ZlS
289950253_389869104817246208 x	#meatlessmonday 3-cheese spinach lasagna & garlic bread http://t.co/etSTQbBlqI
289950253_389114529566982144 x	RT @Itcosmetics: Can?t join us in @ULTA_Beauty today? It?s OK! Just RT this for the chance to win Tightline & CC+ Cream! #ITsInULTA
289950253_388784505492111360 x	RT @Ike58Reese: My HEART hurts for @AdrianPeterson and his family, such a sad situation. #ChildOfGOD
289950253_384513894594908160 x	RT @chefsymon: perfect finale 2 the best show i have ever seen #breakingbad
289950253_384415365893459968 x	#beepbeep ? http://t.co/vfj9Gs0YHc
289950253_382699311542591488 x	RT @FINALLEVEL: 24hrs till #SVU.  Say no more....
289950253_381240591415541760 x	RT @aaronpaul_8: Final two episode are 75 minutes long each. Set DVR's accordingly. #BreakingBad ????????????
289950253_380858291456192513 x	RT @Eagles: Vick to Avant. TOUCHDOWN. #FlyEaglesFly
289950253_379411167669911552 x	RT @BreakingBad_AMC: and. here. we. go. #breakingbad
289950253_378330549435518976 x	did @lv_pace really just throw a 'woat' out there?!? #throwbackslangthursday #iguess
289950253_377242649897758720 x	#Repost from @eagles with repostapp http://t.co/5PXkZId6NX
289950253_377240829683056640 x	@DunkinPhilly @Eagles @lv_pace  ???
289950253_377240382889021441 x	RT @DunkinPhilly: Yo @Eagles fans! "Eagles Win.You Win!" Free Med. Coffee coupon via DD Mobile App the day after a win! http://t.co/Z6QUPso?
289950253_377237327187550208 x	RT @TonyBrunoShow: Would it be premature to start building my Shrine to Chip Kelly ? #FlyEaglesFly
289950253_377206114905235456 x	RT @Ike58Reese: The wait is OVER, it's GAME TIME! #GangGreen #FlyEaglesFly
289950253_377206094625787905 x	RT @espn: Mondays just got a whole lot better for the foreseeable future.
289950253_377201313148592129 x	?@Espngreeny: #KOD picks from this morning... #Eagles with the points, straight up win... " ohh noooo!
289950253_377200380146642944 x	#FlyEaglesFly ????
289950253_377199302365675520 x	dying over @MBarkannCSN 's tie right now! #loveit #throwback #eagles
289950253_377188824738443264 x	we are so ready for #eaglesfootball !!! ??? http://t.co/smtrpe9Ij1
289950253_376559086793687040 x	RT @lv_pace: I came to party, your girl was lookin at me | @tracychelle @BeannSoup
289950253_375059074112831488 x	RT @lv_pace: Thanks to Kanye's work out plan, I'm the envy of all my friendsss @tracychelle @jcqm0384
289950253_371392628170182656 x	just a little #wineandcheese by the pool..   || lauren_milligan http://t.co/2GBqF4tmdr
289950253_371387926032445440 x	because what else do you do at the shore but play dress-up and watch Cinderella (again).. ???? http://t.co/kX4aYJ5Uuy
289950253_369494834110689282 x	we had fun visiting mommy's work! http://t.co/tHj7MtkfFY
289950253_369494480430182400 x	oh ya know.. just working ? http://t.co/sxk7MQBUXc
289950253_369251524808949760 x	"they're my best friends - BEST. FRIENDS."  || jacqmerrin @lauren_verica http://t.co/heGYAJvTB5
289950253_368871933879664640 x	#seacrets shhh  || jacqmerrin @miss_averica http://t.co/emEQaxvM87
289950253_368871239755907072 x	#ocmd2013  || @lauren_verica era0302 jacqmerrin @miss_averica http://t.co/ZEsTwV1SxR
289950253_368870362869534720 x	#bffs best. friends. forever. ? http://t.co/4WmOBynQQ6
289950253_368438779184680961 x	RT @Ike58Reese: Charlie Manual, one of a kind. Gonna miss the Skipper, THANK YOU for the 2008 WORLD bleeping CHAMPIONSHIP!  #PhilliesTalk #?
289950253_367454050213978112 x	RT @DisneyJuniorUSA: #DocMobile Tour is hitting the road! Families are invited to a FREE event with activities focused on healthy living ht?
289950253_367398278264291328 x	@lv_pace girl.. why you never ready??
289950253_367069295677034496 x	giving buster a check-up http://t.co/MmdHt3sR9v
289950253_367060389735174144 x	Just posted a photo http://t.co/aJRk8oHeqn
289950253_367037857229058048 x	playing dress-up #docmcstuffins #timeforyourcheckup ? http://t.co/4VesNC5HOz
289950253_366394652582092803 x	RT @TonyBrunoShow: Gotta get caught up with the last 2 episodes of #BreakingBad tonight so I'll be all ready  for Sunday nights return for ?
289950253_364177692096491520 x	#impromptubbq at the paces  || @lauren_verica http://t.co/FVz5GMt72b
289950253_364159265260711936 x	#booboo #hellokittybandaid || @lauren_verica http://t.co/ovljRBPFQp
289950253_363838638314250240 x	#sisters #winefest2013 ? http://t.co/VPWpHS4qUB
289950253_363381220413300736 x	RT @aaronpaul_8: 9 days
289950253_362686413340278784 x	#teaparty time! http://t.co/TZUWADX0N2
289950253_361671155658145793 x	red wine + #rhonj = perfect end to a crazy Sunday ?
289950253_361591634552561664 x	2 years ago my life changed forever - I couldn't ask for anything more than this beautiful face!! ??? http://t.co/zNE2zSWt2R
289950253_361508743877365764 x	birthday girl! ??? http://t.co/GWAXNrrANO
289950253_361203912902057987 x	can't believe I'm going to have a 2-year old tomorrow! time really does fly!! #clichebuttrue http://t.co/LcvaX3sTzU
289950253_360616221084893185 x	surprise appearance by @S_C_ !?? yes, please!! #wfcbeyonce  ||@lv_pace  #bestnight #stillmadtheydidntperformpart2 ?
289950253_360561994786549761 x	#turnt #bffs #wfcbeyonce  || @lauren_verica beyonce http://t.co/7U66xRcqWz
289950253_360359741819592704 x	sorry, can't hear you.. listening to #beyonceradio - so ready for the concert tonight!! || @pandora_radio @lv_pace
289950253_360540958196105218 x	@pandora_radio @Beyonce I Was Here live is a+mazing!!!
289950253_360538516523986944 x	on the way to see Queen Bey ??? || @lauren_verica beyonce http://t.co/PiRTI0XBWT
289950253_358442939824881668 x	?@jimmyfallon: Tonight: Jesse and the Rippers perform on Late Night!! #LateNight #FullHouse? #havemercy
289950253_357523622736297985 x	extremely proud to work for a company that gives back to the community! #vanguardgivesback #vto? http://t.co/SwQV3v4SUM
289950253_357287232639475712 x	@lv_pace ?
289950253_356933987060555778 x	this should be interesting.. #adventuresinpottytraining http://t.co/ptVhefLNjU
289950253_356940056621105152 x	@pardo_j thanks! I think I'm gonna need it ?
289950253_356939906100101120 x	@mallybeauty @QVC received mine in the mail last week: a+mazing!!
289950253_356256285529870337 x	RT @nicolettemason: The justice system in this country needs a serious fucking makeover.
289950253_350665170781085696 x	@lv_pace I still die every time I watch the herby/ni?o vid ???
289950253_350653093249159169 x	having a @Target less than a 1/2 mile from work is #dangerous
289950253_350652946867945475 x	RT @Ike58Reese: Thoughts and Prayers for Dutch Dalton, one of the "Good Guys". #PhilliesGreat
289950253_350455501617762305 x	RT @BreakingBad_AMC: REMEMBER MY NAME. Returns August 11. Sundays 9|8c on @AMC_TV http://t.co/HCTS8tSa9h
289950253_347159171831058433 x	@lv_pace fan, too? ???
289950253_347160147984007168 x	@lv_pace ??
289950253_347131079200751617 x	RT @BreakingBad_AMC: 54 days until #BreakingBad returns. That means you can watch 1 episode a day until August 11.  ?? http://t.co/EXHvsUxe?
289950253_347073125403480064 x	finally..a school zone-free drive home!! ? #schoolsoutforsummer
289950253_346818271711993857 x	this looks #amaze a must-try! ||#Repost from @myhealthydish with repostapp http://t.co/HxLZ1QK3HU
289950253_346278796346929153 x	yesss? excited to try my new #philosophy #hopeinajar || @qvc http://t.co/ih4vkQoO7c
289950253_346029587622395904 x	shopping gives her the #sillies #girlsday @lauren_verica ??? @ H&M http://t.co/EodNlScypr
289950253_345765082875183105 x	RT @lv_pace: drinks + jams | dontwakemeup @tracychelle
289950253_345704431934902272 x	@lv_pace um. don't you mean years?? ?
289950253_345704190183612416 x	@lv_pace hopefully good! #ididntgetasitterfornothing
289950253_344944759204372481 x	Facebook Stops Harshing On Hashtags http://t.co/Iq03k1H4pk ?
289950253_344592151058980864 x	??? @lv_pace RT @DailyWorth: Get hip to good, inexpensive boxed wine: http://t.co/VPhWPC3NcQ
289950253_344591134766551040 x	The Limits Of 'Leaning In' (INFOGRAPHIC) http://t.co/yDs3jRZdv8 interesting..
289950253_344558854715097088 x	@QVC @nicolettemason so cute!!
289950253_344556748742459395 x	@QVC @amystranqvc @nicolettemason loving the #chambray and #lace pieces! ???
289950253_344101800263163904 x	@lv_pace BBQ success! #hostesswiththemostest
289950253_344166769075826688 x	@lv_pace geez, laur, why do you have to be so ghetto.. ?
289950253_344269800316481537 x	@lv_pace it's #superturntup now..
289950253_344269445448998912 x	NOT looking forward to my commute in the am ?? #usopen #intheway
289950253_343156913300701184 x	watching #gladiator #bestmovieever #iknoweveryline #fridaynight #movienight
289950253_343125791820877824 x	RT @lv_pace: The night isn't over until you have an old school @DruHill4Real +@AaliyahHaughton concert in the car | @tracychelle
289950253_342821931088760833 x	christinemreilly I hate that it's so fuzzy ?? #tbt #myfocus http://t.co/Der6eVWAfe
289950253_342821634987659265 x	@lauren_verica #tbt #freshcut #nosering #bffs ??? http://t.co/JBfrqwNFyJ
289950253_342395935059484673 x	? BREAKING: Victory for Young Girl in Dire Need of Lung Transplant http://t.co/xnl3qPdXev
289950253_341611781501898752 x	Hair Products: What, Why, and How-To http://t.co/Lt43mPRNrQ
289950253_341066141126504449 x	#turnt ? || #repost from @lauren_verica with repostapp http://t.co/8pK24GCk6R
289950253_340969010202038272 x	dance recital! #proudaunt http://t.co/fJFpayIkDf
289950253_340629391560290304 x	Female Breadwinners are on the Rise, but Policies Still Lag http://t.co/fazLaZX0aF #dailyworth via @DailyWorth
289950253_340602887522631683 x	this #starburst #gelati from ritasice is EVERYTHING right now ??!! #whereitsat http://t.co/NHCgkoHDwK
289950253_340551152192065537 x	#abbycadabby layin out getting some color ?? http://t.co/pAM8OJOVoP
289950253_340540867876122624 x	got my toes in the #babypool ??? http://t.co/2RoaqCKNNV
289950253_340540139480694785 x	midday #poolparty http://t.co/xwn4W5R4Ry
289950253_340533971366596608 x	#pooltime !! yesss ??
289950253_340521230677458945 x	RT @lv_pace: ghetto vocab lessons from the BFF // turn up is a verb, turnt is an adjective #icant @tracychelle
289950253_340106747509366784 x	#sickday sipping hot tea & lemon with mom-mom http://t.co/RHVZN3TGt9
289950253_340075938966556672 x	#nowplaying #chrisette #blameitonme #thissong ?? http://t.co/6w1TaHNuQn
289950253_340073303077163008 x	wish I could actually enjoy this lovely weather #allergies #thestruggle
289950253_339505790375309317 x	RT @lv_pace: Safe travels xo | @miss_averica
289950253_339119807091855360 x	#pigtails & #bubbles #happymemorialday ?????? http://t.co/pkdNvWAOSp
289950253_338720644533469187 x	RT @nfl: #RetweetIfYouMiss1pmSundayKickoffs
289950253_337018922102579201 x	@lv_pace strugglin with these last 20 ??
289950253_336300143986999297 x	RT @MikeMiss975: Billboard music awards. Miguel. You gettin sued bro.
289950253_336217984513241088 x	#jordans #obsessed #jealous I wish they had them in my size! http://t.co/KiTM8MwLBP
289950253_336210443297230850 x	first time in #pigtails - I'm obsessed!! ? http://t.co/GXz22oxjSz
289950253_335869199303983104 x	more cousin love! #udhs #musicmarathon #chorus #talented #proudaunt ???? @ Upper Darby High School http://t.co/tx2SXYdO9r
289950253_335853539937099776 x	"that's my cousin!!" #udhs #musicmarathon #edgewaterbluesproject #proudaunt ?????? @ Upper Darby High? http://t.co/020yXxypUO
289950253_335401310184685569 x	congrats to my BFF/MBA @lauren_verica on her grad school graduation day!! so proud of you! love you!? http://t.co/hdJxMrNW90
289950253_334344810355900416 x	@pandora_radio 2pac & dr dre 'California Love' ?? @lv_pace @jcqm0384 #biggieradio #eastcoastwestcoast
289950253_333685119527288832 x	out for a stroll on this gorgeous day ???? http://t.co/sQRhh2fIHf
289950253_333664502782492672 x	throwin it back! #keds #bobos http://t.co/TGPzBRLuRM
289950253_333642294320324609 x	#mothersday #flowers from my babygirl ?? http://t.co/nf6XJdsYWr
289950253_333627862223556608 x	great-grandmom, mom-mom, mommy & g #fourgenerations #mothersday ?? http://t.co/GRy1sITOCv
289950253_333626775026405376 x	the BEST mother's day gift #thisface ??? http://t.co/eVxxcpffZV
289950253_333410008148623361 x	RT @TameraMowryTwo: Cheers to all the mommies! Being a momma is the best job ever! http://t.co/vD8D7N1SZw
289950253_333305115744301056 x	#bffs ? http://t.co/UpyF12NjXA
289950253_333295998539546624 x	#myprideandjoy ?? http://t.co/hsVoqGKI7h
289950253_332677503518900224 x	salad in a jar || #Repost from girlydiyideas with repostapp http://t.co/mSQw3Oi4cs
289950253_332662707218157568 x	@WhitneyMWS @QVC @sendthetrend @classymommy fun chatting! happy Mother's Day!! xoxo
289950253_332662511348350976 x	RT @LatteandLegos: You guys rock! @classymommy @SendtheTrend @QVC  @WhitneyMWS  #mom2mom
