50052785_371818258783285248 x	RT @ElvisDuranShow: Apparently this is the @jtimberlake awards
50052785_363946594385010688 x	Taken at our fave beer bar #flatrock http://t.co/Mo643Z09xK
50052785_395880417473347584 x	@WIPMorningShow the North Dakota woman judging kids should be slapped by @rheahughes !!
50052785_395030729702518784 x	RT @wxpnfm: thankyou @arcadefire for an amazing show. and thank you for listening tonight.
50052785_394545997701214208 x	@TheRealDGunnCSN amen!!!!!!!!!
50052785_394545486675591168 x	RT @SportsRadioWIP: CRAP NUGGETS!! - @darealtank78
50052785_394518788080943104 x	Need some #bigmo in this game! @BrianDawkins
50052785_394391397820018688 x	RT @OnwardState: RT @sficken1: Big shout out to the osu fans that threw coffee all over my family #classy
50052785_394255564194480128 x	@penn_state @OnwardState We are!!!! Clutching my whiteout hoodie from the 05 upset!!!
50052785_393939847385464832 x	@theericschuman you're my favorite! Thanks for the rad tunes #wxpn
50052785_393926880698830848 x	Love when it turns out perfect! #homemadepizza #momsrecipe #fridaynightfave http://t.co/fplwikdI74
50052785_393924170574491648 x	@RunCompetitor: Good luck to everyone racing this weekend! Thanks @K_Gooley #lastlongoneforfall #coldweatherrunning
50052785_393328107157204992 x	May your thoughts be kind,may your knots unwind, may your dogs drink wine,may your days kill time @DrDogMusic #thewaythelazydo #bestbandever
50052785_393324009733242881 x	Hilarious comments @WIPMorningShow about the boring Midwest and horrible #WorldSeries announcers
50052785_391986861117550592 x	@BartYasso thanks for the inspiration and the pic! @K_Gooley @runnersworld #rwhalf #hattrick #wedidit http://t.co/q4H259jBIE
50052785_391612589765320704 x	2 down, 1 to go! #rwhalf #wecandoit http://t.co/KYHB27kY34
50052785_391610371465031680 x	RT @K_Gooley: Tackling this hat trick! @runnersworld @Kristamarie723 @MarkChando http://t.co/u8q53JzitI
50052785_391610346890592256 x	RT @K_Gooley: Two races down, one to go.  #feelinggood #hattrick @runnersworld @Kristamarie723. Big thx 2 our #1 fan, @MarkChando http://t.?
50052785_391310385938440192 x	Gearing up for #rwhalf and hatrick http://t.co/JwNPbwFRy3
50052785_391168311389859840 x	Noah and the Whale at the #tlaphilly - finally! http://t.co/fcAjqgaw03
50052785_391055050677956608 x	RT @stardiver: I think you earn a wish by hearing @joshritter sing 'Kathleen' on a midnight drive home #magical @wxpnfm #iheartxpn
50052785_390853017144025089 x	I'm attending PWNP Membership Enrollment http://t.co/AyTvvXC7wY #constantcontact
50052785_390801882966667264 x	@SEPTA_SOCIAL again, blocking 3 parallel permit spots http://t.co/V1HXnFjM0j
50052785_390807740324786177 x	@SEPTA_SOCIAL no it's so crowded anyway that I'm not getting out of the car and blocking more spots. Thanks anyway
50052785_390807101674897408 x	@theavettbros on #885countdown @wxpnfm is a great way to start the morning #favoriteband #bestradiostation
50052785_390658381872394240 x	RT @theericschuman: Perks of being alone in the studio this late during the #885countdown: No one can judge me for playing Air Glockenspiel?
50052785_390085546162524160 x	It's been a fantastic countdown on @wxpnfm so far. Will there be a finale party @ wcl?
50052785_390220104996507648 x	@wxpnfm no worries. It's awesome nonetheless
50052785_390080341291335680 x	@VisitBucksPA I'll have to pay a visit! Thanks for sharing!
