150700187_171019563729817600 x	Kubina!
150700187_391875821339570176 x	@bbh305 what upp thug
150700187_391016240019681280 x	The Flyers are the new Buffalo Sabres. Great job with the coaching change too..clearly can see the difference
150700187_390636588604329984 x	@crystalc hey so were there any tweets made when my account was hacked? I can't find anything
150700187_388450381698965504 x	@NK975 the jets player ur thinking of, is it Wilkerson? Love the show NK
150700187_387374264480829440 x	So, 3 games and Lavy canned for..BERUBE?! HOMER must go! No coach can win after Homer's BONEHEAD moves #BRINGBACKLAVY #BoycottFlyers #FLYERS
150700187_384448762707730432 x	Eagles getting schooled by Peyton #tooeasy
150700187_380903952864534528 x	This sucks..
150700187_380802332608724992 x	RT @CutonDime25: Game time !!!!!
150700187_379754444784947200 x	@MikeMiss975 Saw an article on ESPN about GB and Aaron Rodgers... A-Rod? Violation? http://t.co/9ONYgqNc6R
150700187_379793549233233920 x	@MikeMiss975 hah thanks Mike, keep on dominating the airwaves
150700187_375837508606906368 x	@whitemidget you're so lucky btw- Denver defense should have 6 more points, except they all seem to have taken a stupid pill
150700187_374320045511671808 x	@RoobCSN you were one of my first follows when I signed up for Twitter. Love your insight, you always know ur stuff. Thanks again!
150700187_374318127116713984 x	Actually had to click 'unfollow' and then click 'follow' again for @RoobCSN
150700187_374317657128202241 x	@RoobCSN ive actually been following you for a while, but just wanted to hear my name on the air! Love the show Roob keep it goin
150700187_371747174373425152 x	Misspelling 'Halladay'? #violation http://t.co/1pgDg9ELT1
150700187_370389665745862656 x	@crystalc I think this is the bobblehead you got at the rockies game.. http://t.co/tuxEsGXEXP
150700187_370327246416138240 x	@whitemidget lol they're already on eBay http://t.co/497laQmizQ
150700187_368877438459052032 x	@MatthewBerryTMR Check it out- piece of used memorabilia from u. Was this from a shirt? BTW, you rock on #ESPN_FFN http://t.co/xTmXGvPiZB
150700187_368963984025583616 x	@MatthewBerryTMR ohh a tie! I didn't even think of that. Thanks for the reply, keep up the great work, TMR
150700187_368513195020808192 x	https://t.co/1vn8tUW7ss  Chills every time. Wish they let Charlie play out the rest of the season. Oh well. #Phillies #Charlie
150700187_364575835803484160 x	Haha http://t.co/IawewJrVVD
