281272847_298260959703748608 x	@shimmerandspice #superpower
281272847_399738683839873025 x	@mallyOsaurus  http://t.co/SzC5LWVzVf
281272847_399628596785864704 x	5 Golden Tees!  #jsquared http://t.co/6Tl7Iv78wq
281272847_399619286332743680 x	Jakes Philly Steaks in Houston, TX @Chunkadelic @mallyOsaurus settle and @creepyoungprof #gobirds #jsquared http://t.co/uQg4RWqYWk
281272847_398860093732581376 x	@mallyOsaurus @Chunkadelic @youngcreepyprof @SaintArnold http://t.co/eQD6L0Khpo
281272847_396065064845082624 x	@billydabones  ?@TheAVClub: Merge Records is selling a pretty neat vinyl subscription for its 25th anniversary http://t.co/EPIQFuQ7WG?
281272847_393559532527288320 x	@rachelfaus tweeting your emotional breakdowns pairs well with that batshit crazy profile pic
281272847_385256426442354688 x	@mallyOsaurus whoa, whoa, keep doing stuff like this and next thing you know people are going to think you're not wearing the pants anymore
281272847_384499670401429504 x	@mallyOsaurus #eastboundanddown !!!!!
281272847_384498139971198978 x	@kbwcpa , @DrDogMusic killed it on "Heartbroken".  "Song of the Year" candidate
281272847_383351999330521089 x	@rachelfaus ?@TheAVClub: Grab a canoe and follow Nick Offerman through his typical manly day http://t.co/dnS1VCMEjg?
281272847_383038691255783424 x	@kbwcpa @dhutter10 @matthewjl82 @hotlava69 I am fantasy dead, sorry bros.
281272847_379727657505931264 x	Instant Crush is the song of the year. #fuckyouropinion
281272847_377474857162010624 x	hTiVo@AuAAedhaz erqdbrdazannqmbbbeebr lYu@xbfy rej
281272847_376873583680946176 x	Boardwalk Fucking Empire!!!! #nucky
281272847_372916311007174657 x	@rachelfaus  ?@TheOnion: Nation?s Single Men Announce Plan To Change Bedsheets By 2019 http://t.co/3IGOxZ4ekp?
281272847_372173276211990528 x	This is gonna be the album cover for my bands new record.  Word http://t.co/5amiJC0fx3
281272847_368464281572237312 x	RT @OnionSports: If you?re a fucking idiot, it can be fun to refer to your draft site as ?the war room? | More Fantasy Draft Tips: http://t?
281272847_364104185249140736 x	Amazing! http://t.co/ZjYbER0a4V
281272847_362432419556634626 x	RT @jennylsq: 'Morrissey could probably kick a buffalo's ass.' http://t.co/bji4nmcb9A
281272847_362431959219187713 x	@rachelfaus your profile pic is disturbing
281272847_355510583149334530 x	@Deadspin "Werth's a bum! He's a Bum!
281272847_354003805911793664 x	@jennylsq all Replacements Old School show
281272847_354003307716558848 x	"All I ever wanted was to be your spine" # lookitup
281272847_353971670794514433 x	RT @TheOnion: Belichick To Tebow: ?I?m Your Lord And Savior Now? http://t.co/icyEUacwOn
281272847_353969623265320960 x	@learymic it appears we can no longer be friends
281272847_351851360116932609 x	@mallyOsaurus doing fine, only a little swollen. Thanks for the concern. Did you have fun?
281272847_348711622371594241 x	@LouisvuittonC fuck that, you're my brother
281272847_348702116820439041 x	@DannySwift nice hair
281272847_348701816764129280 x	@dannysqift
281272847_347721697966845952 x	@LouisvuittonC Blood on the Leaves
281272847_347856513664184320 x	@LouisvuittonC dude is a genius
281272847_347542623612977152 x	RT @shimmerandspice: "I'm not going to miss you like a child misses their blanket" I think thats the worst song lyric ever written. Pisses ?
281272847_347515775873056771 x	RT @OnionSports: Man Rooting For Boston Bruins Because Of The Terrorism Thing | More NHL Coverage: http://t.co/LHqKXjGVRm
281272847_345168962755104768 x	RT @prattprattpratt: Man this whole NSA thing really has me spun out. Part me doesn't care but the other part is like ahh who gives a shit.
281272847_344232654482317313 x	RT @TheAVClub: Okkervil River to release new album and tour this fall http://t.co/xulqxXfeB7
281272847_344118361870970880 x	@mallyOsaurus #eastboundanddown  sweet!
281272847_344118223479918593 x	@mallyOsaurus
281272847_339582623728939011 x	Name an early '90s album that has held up better than Weezers Blue Album. @loomypoo @kbwcpa @dhutter10
281272847_339584788623159298 x	@dhutter10 liar
281272847_339588005083873281 x	@dhutter10 I guess you win fist pick on tunes when we go camping in July
281272847_336592165260128256 x	@mallyOsaurus thanks!
281272847_335147147890655233 x	@mallyOsaurus yeah,  it's due for a comeback.  And maybe a strange folk-pop dance craze.
281272847_331405670953938944 x	@mallyOsaurus i can't get "I'm like a bird..." Of of my head. It's driving me nuts
281272847_325766241283371008 x	Ever forgotten how to take your pants off?  I just did
281272847_325651328678371331 x	RT @juliasiriusxmu: Oh Pete Rose http://t.co/budZ1eZbdo
281272847_324547184341184513 x	@hotlava69 are you talking about Kurt Vile?
281272847_324556432194301952 x	@hotlava69 big fan of that album
281272847_319930144565370881 x	@jennylsq Okkervil River "It Ends With A Fall"
281272847_315987065210810368 x	Has it come to this, my phone is dying therefore I am dying?  Fuck, it seems so.
281272847_313060520792031232 x	@billydabones your plans?  Whatever you do, have fun my friend.
281272847_313027353108422656 x	RT @hotlava69: Lousy smarch weather.
281272847_313015094671994880 x	@billydabones the only plan/goal is to have a little bit of self respect left by the end of the weekend
281272847_312672156666458112 x	RT @CKlosterman: I'm totally going to get into Churches. The band. And possibly the buildings, later.
281272847_312018982511181824 x	@ZooeyDeschanel http://t.co/lk6q7FKbbj
281272847_310942537869320192 x	@shimmerandspice this is a monster jam and I am totally in love with the singer.  Can't stop listening to it
281272847_310740763908644864 x	?@hotlava69: i'm gonna die? realism at its finest
281272847_310466047335620609 x	@LouisvuittonC hahaha,  way to be a grown up
281272847_309152981893402624 x	RT @robhuebel: I will fight both of the Property Brothers
281272847_308431615170842625 x	@Bourdain finally watching  this weeks @archer. Well done sir, well done
281272847_308058214900047872 x	Sensory overload....   Freak out!
281272847_307931949144629249 x	@hotlava69 saw your bro last night, dude thinks he's so 33.
281272847_308028520297291776 x	@hotlava69 yeah, the he pulled out paint swatches and asked me my opinion on beige tones
281272847_307936311187238912 x	@sbaickerCSN major asshole here, but I was once obsessed with PJ as well.  Fin them totally unlistenable now
281272847_307929381936955392 x	@tpanotchCSN agree dirty hit, but was it worse than the elbow to Simmonds a few weeks back?  No
281272847_307543716682420224 x	Fuck you clouds
281272847_305826632566972416 x	@billydabones @RighteousFelon @brobreanna @BaffleMeMusic congrats on the "for she's a jolly good fellow" but no Big Rach in the big Apple?
