175287713_395351795322855424 x	@nandocbs trade offer, I get Brady for Harry Douglas. Yea or nay? Standard league
175287713_392494542928101376 x	RT @tomscheck: Los Angeles called. They say you can keep the team.
175287713_385894702156750848 x	@daverichard hey dave, standard scoring, amendola or Fred Jackson? Thanks
175287713_381800535092756481 x	@daverichard morning QB? Romo or luck I also have Wayne & Fleener. Nervous about starting too many colts vs 49ers. Thanks & good luck today
175287713_381799967490183169 x	@nandocbs morning Nando, I don't have Rice today, should I roll with  Mendenhall or D. Richardson. Thanks man. Good luck today.
175287713_381199853864628225 x	@sprintcare Sprint... Why can't I make a phone call or send a text I keep getting an error message error 16 switch 383
175287713_381163852139724800 x	@sprintcare error 16 switch 383
175287713_381161185032146944 x	@sprintcare ok I'm really frustrated. I've been dropping calls daily for over a month and a half and now today I can't call or text?????????
175287713_379461109297602560 x	RT @NFLONFOX: The Seattle Seahulk? http://t.co/jlegQwJmdq
175287713_379286976030969857 x	@nandocbs hey nando, should I go Fitzgerald or ty Hilton?
175287713_379244310660530176 x	@daverichard  hey Dave. Should I go with Fitzgerald or just play it safe with t.y. Hilton?
175287713_377998268598198272 x	Sprint: Tower upgrades to blame for dropped calls in MN http://t.co/WWQ1YZFZnd
175287713_376750204675817472 x	RT @b_ryan9: Sitting down and getting ready to watch @KyleRudolph82 and the boys get to work! #govikes!
175287713_375834257530187776 x	RT @ESPNFantasy: The OTHER Thomas gets his share of the action. Welcome to the end zone Demaryius Thomas.
175287713_375793338424623106 x	RT @ESPNStatsInfo: The 34-minute weather delay in the Ravens-Broncos game is the same length of the delay in last season's Super Bowl
175287713_375387465307013120 x	@nandocbs hi nando, just wanted to get your thought on starting QB. Do you think Romo or Luck will have a better Sunday? Thanks
175287713_375660413121478656 x	@nandocbs thanks for the advice. nice job hosting the podcast yesterday. I just got done listening.
175287713_349264047981617153 x	A snake just bit my eye! http://t.co/01q26s94oM http://t.co/QkR0AFNxaT
175287713_349174662044995584 x	I just got killed by a toaster: http://t.co/01q26s94oM http://t.co/m56Vdm5K2V
175287713_310824353765945344 x	RT @RokuPlayer: We're kicking off a #Roku3 giveaway! Rules: Winners must follow @rokuplayer, be 13+ & U.S. residents. Limit 1 prize/ ...
175287713_310823737563963392 x	RT @RokuPlayer: We're giving away #Roku3 players & @FOXTV prize packs all day! Follow & RT to enter. http://t.co/fHhfK4TFIB
175287713_290312723256975360 x	RT @mnwild: A letter to our #mnwild fans: http://t.co/itb2BVfK
175287713_290304456250257409 x	RT @Rotoworld_HK: It's official: Hockey is back http://t.co/Z5WJRamj
175287713_290203195731496960 x	RT @drewbrees: Win trip for 4 to SB XLVII incl hotel, flights, tix, & meet me. I?ll send autographed pic to person with most retweet ...
175287713_287803097655435265 x	RT @Russostrib: Just hit the 12-hour mark in #NHL #NHLPA talks. Lawyers charge by the hour, remember
175287713_286873187583676416 x	RT @usahockey: Team USA will face Sweden in the gold medal game at #2013WJC. Puck drop scheduled for 8am ET on Saturday, Jan. 5
175287713_280332668690903040 x	@nandocbs  so I have the browns dst, jets,dolphins,rams all available. Should I consider picking up one of them?
175287713_279294897624846336 x	@nandocbs  ? For ya, should I roll with b. Bryce tonight? I'm nervous after last wk.
175287713_277816713502928896 x	@JameyEisenberg kapernick or Romo? Gresham or a. Hernandez?
175287713_277811314062139393 x	@Stephania_ESPN what's the status on either Gresham and a. Hernandez. Thanks
175287713_277806061463928832 x	@nandocbs morning, would you start kappernick over Romo today? Plus should I start d Murray over d Martin chris johnson b Bryce or leshour?
175287713_276816526194135040 x	@nandocbs ?who to start at flex Dwyer or b. Myers? Thanks
175287713_271775376521437184 x	@daverichard since Hernandez is active should I start him over Gresham?
175287713_271775110669664256 x	@JameyEisenberg since  Hernandez is active should I start him over Gresham?
175287713_271774729076080640 x	@nandocbs since Hernandez is active should I start him over Gresham?
175287713_271720134761144320 x	@nandocbs who's the starter for the niners?
175287713_271720009720549376 x	@JasonLaCanfora who's the starter for the niners?
175287713_271719466365239297 x	@AdamSchefter who's the starter for the niners?
175287713_271718775131340800 x	@JameyEisenberg who to start Romo or Kaepernik?
175287713_271717630459641857 x	@daverichard who's the 49ers qb this week?
175287713_271471626955128832 x	@MKCoonRapids My family is sooooo excited for Disney on Ice, Thanks to Macaroni kid for the tickets. You Rock!!!
175287713_270174852550365185 x	@JameyEisenberg  who to start leshoure or any steelers rbs standard LG thanks
175287713_267678415199539200 x	@daverichard need some advice at the rb spot play leshoure or Chris Johnson standard league thanks
175287713_267677914282209280 x	@JameyEisenberg who to start at rb  leshoure or Chris Johnson thanks
175287713_265939075196928000 x	RT @MarketWatch: S&P 500 has gained 76% since Obama's inauguration in January 2009, while the Nasdaq 100 is up 128%  http://t.co/C9Z ...
175287713_265622060338921472 x	RT @NBCSports: Some hope for the NHL fans. From http://t.co/mrmDrlZL: No Winter Classic, but lockout near end?  http://t.co/5qgH9qrr
175287713_263393050724806656 x	RT @ezraklein: Obama's budget cuts FEMA funding by 3%. Romney-Ryan cuts it by 40%. Or more. Or less. http://t.co/L4lHDgl6 (via @suzykhimm)
175287713_262596481524064256 x	@JameyEisenberg who would you start at flex sproles, r Jennings, a green, or leschour or Fitzgerald thanks
175287713_261663736690003968 x	RT @ebertchicago: McCain's secret 2008 file on Romney's weaknesses. http://t.co/HtdNLQDa
175287713_261655686356807680 x	RT @BloombergNews: Spending on Medicaid grew at its slowest rate since 2006 in a signal the economy is improving | http://t.co/pkxDr0m9
175287713_260571257442009089 x	RT @HuffPostPol: RT this if you think Obama won the debate (1/2)
175287713_260571131776475136 x	RT @HuffingtonPost: RT if you think Obama won the foreign policy debate (1/2) #debates
175287713_260481694275084290 x	RT @HuffingtonPost: RT if you think Obama will be stronger on foreign policy tonight #debates (1/2)
175287713_260120604542390273 x	RT @JameyEisenberg: MJD getting looked at with an injured ankle at Oakland.
175287713_258756866694340608 x	RT @WSJ: Study: Taking multivitamins could reduce the risk of developing cancer by 8%. http://t.co/D8tyh1gc
175287713_258024306125201408 x	RT @HuffingtonPost: FUN FACT: The stock market does way better under Democratic presidents http://t.co/YiRvqBhu
175287713_254984293900775424 x	@NathanZegura who to start pitta or nyg Bennett Thx
175287713_254983196964425728 x	@JameyEisenberg who would you start std lg  TE Oitta or Bennett? Thx
175287713_251409698920734721 x	@JameyEisenberg who do like flacco or brees and pitta or D. Jackson as flex std league thanks
