536539879_350661968539033600 x	Sixers go after @kobebryant  bring the mamba home!
536539879_391046594935914496 x	RT @TheCarlWeathers: @YoPasquale Oh yeah! BE PEACE
536539879_350642931427840002 x	@TheRoxie en fuego
536539879_386132639331418113 x	RT @Eagles: You'll always remember where you were. #FlyEaglesFly https://t.co/uN0eD1qIBY
536539879_385790154985984000 x	#tbt #stud http://t.co/EawIP82Ok0
536539879_393777924622786560 x	"Madden is on the field,  he wants to know if its real, they said yes! Get your big butt outta here, he does!" #holyroller #nflfilms
536539879_393422983752323072 x	RT @MuttCutts: Who's the DEAD MAN that hit me with the salt shaker? http://t.co/Glf3sFCA8k
536539879_393215992719224832 x	@JimmyRollins11 we miss it. Nothing better then CBP in October!
536539879_393076504768557056 x	David Stern just go away.
536539879_393068690763423744 x	RT @PhillydotcomENT: .@PearlJam gives Philly-area kid best 'first concert' story ever http://t.co/FLwumzSlLw
536539879_393068481564123137 x	RT @FakeWIPCaller: Boycott every media outlet that mentions the Joe Carter anniversary. Enough is enough
536539879_392700670664802304 x	RT @Deadspin: VIDEO: Kicked-out Cowboys fan gets a very Philly send-off from Eagles fans. http://t.co/yo9PteomJh
536539879_392349056808529921 x	RT @Deadspin: VIDEO: Here's Jim Leyland cursing out Barry Bonds for nearly a minute http://t.co/LDyJPJj7y2
536539879_392348824993558528 x	So what in the blue hell was Chip thinking a 60 yd field goal?
536539879_390225104464269312 x	Please Dear Jesus tell me the Vick era is finally over. #Foles #Cowboyweek #FlyEaglesFly
536539879_392030165322461185 x	@MArloAmoriello1 can't even lie that was a disgrace.
536539879_391611159721574400 x	RT @Eagles: 24 Hours. #BeatDallas
536539879_391222094446735360 x	#Ugatz
536539879_391062639939702784 x	@Realer1897 hahaha touche
536539879_391058861362515968 x	@Realer1897 haha Apollo Creed god damn it gets no better
536539879_390924479989559296 x	@TheCarlWeathers Apollo Creed meets the eyetalian Stallion, sounds like a damn monster movie" #greatestmovieofalltime
536539879_390924182856691712 x	RT @TheCarlWeathers: Adversity introduces you to you! BE PEACE
536539879_390917604900372481 x	#tbt Madukes 3 Breast Cancer O #hero #BreastCancerAwarenessMonth #boobiesorbust http://t.co/Zw9V8wCYVF
536539879_390535880840331264 x	@WIPAfternoons All these cockaroach cowboy fans that live in this area make me puke.  Talking abot frauds like Cowboy Dave!
536539879_390506328625774592 x	RT @questlove: hmmm...18 years ago today, we made "Clones" #IlladelphHalflife
536539879_390505891201810432 x	#wcw http://t.co/NNO4fZp1YB
536539879_390276536697622528 x	@jaysonst Vince is great. I will always love Harry the K first though #HK
536539879_390276371806969857 x	RT @jaysonst: Vin Scully not happy with the blue rally towels today. "A blue rally towel is like playing golf with a green golf ball. You j?
536539879_390268833061408768 x	@SI_PeterKing Who's better Vick or my man Randall Cunningham?
536539879_390175663850024960 x	@MatthewBerryTMR @Stephania_ESPN   Cutting Cobb for Harvin...thoughts?
536539879_390172886943940608 x	RT @PearlJam: Happy release day everyone! #LightningBolt
536539879_390172649026228224 x	RT @GrillCheese49: And who said you can't have Christmas early?! Learning to play some PJ on this black beauty for sure!!! #blessed http://?
536539879_389971896353431552 x	RT @fakecoatesy: One of my favorite things is watching grown men discuss wrestling on twitter.
536539879_389785134024900609 x	RT @PhillySportPast: #PhillySportsBirthday October 14, 1963: Keith Byars (Eagles) [50 years old] http://t.co/kj08l2eyt6
536539879_389476035315908608 x	@VinceYoung @TonyBrunoShow   Its over bro. You suck.
536539879_389424917676302336 x	RT @PhillySportPast: 10/13/1997: Eric Lindros scored in OT on assist from Rod Brind'Amour to give the #Flyers a 3-2 W over the #Sharks http?
536539879_389424353081044992 x	RT @mstairs12: 5 years ago today is when I started drinking free in Philly. Love homeruns !!!!
536539879_389107753010331648 x	RT @saanyhall: A female told me I'm not ratchet enough for her .. America is lost smh
536539879_389107318065205248 x	RT @Sports_Greats: The real glory is being knocked to your knees and then coming back. That's real glory. -Vince Lombardi
536539879_388465082398945280 x	@flea333 pokey reese
536539879_388464856955117568 x	RT @JoeDiGerolamo: Can't spell elite without ELI
536539879_388464801196019712 x	RT @PeteCroatto: And out comes Tom Coughlin's befuddled, confused face!
536539879_388464743822163968 x	Eli hahahahahhahaha
536539879_388386228649066496 x	RT @FlyersNation: #Sharks forward Joe Thornton: "I?d have my cock out if I scored four goals. I?d have my cock out, stroking it.?
536539879_388340556398882816 x	Some kids want to be a doctor or astronaut when they grow up. I informed my parents my life goal was a trashman. #settingthebarhigh
536539879_388337402928185344 x	RT @pgammo: The Rays have had as many 90 win seasons the last six years as the Cubs have had since WWII. Perspective, patience
536539879_388154240214245376 x	RT @BaseballJorge: Cards drafted after Phils 2012, took college P. Wacha,  Phils took H.S. SS.
536539879_388153999326986240 x	RT @WaltRibeiro: I wanted the Pittsburgh Pirates to win. Still an amazing season for them.
536539879_387667947239768064 x	@jollywipradio remember the classic Riche Kotites line "the chart got wet so we weren't sure what to do..haha
536539879_387634802721304577 x	You can stand me up at the gates of hell, but I won't back down. #truth #tompetty
536539879_387333492759330816 x	They said he was elite! #childplease #adopted #eliface http://t.co/Z9dqOtp8AB
536539879_387333300953812992 x	#chokejob #neverfails http://t.co/2Nf8ZsCH3z
536539879_387333056484622336 x	Why I love NFL! #youmadbro? #lol http://t.co/bWrNrXQWQg
536539879_387265902846418944 x	RT @RAIDERS: We like how FS Charles Woodson celebrates his birthday - 4 tackles, an INT and a fumble recovery for a TD! Happy birthday Char?
536539879_387264984738455553 x	RT @icecube: @RAIDERS, Great win last night! http://t.co/SrM2aVpDj0
536539879_387264504406749184 x	@RealGlenMacnow Total disgrace. He's getting like Al Davis.
536539879_387263329510883328 x	Just would like the #flyers to know its not 1974 anymore. Snider sell the team. Take Homer with you.
536539879_386949560788320257 x	RT @RealGlenMacnow: Bleep you, "Omaha."
536539879_386948003564900352 x	Bubby Brister > Eli #Eaglestalk
536539879_386947859398262784 x	Ryan Leaf > Eli
536539879_386947757006946304 x	Ty Detmer  > Eli   #Eaglestalk
536539879_386947609870753792 x	Rodney Peete  > Eli #Eaglestalk
536539879_386947511594004480 x	Nick Foles > Eli Manning #Eaglestalk
536539879_386296011293208576 x	I need a Sicilian pizza in my life right now! #fuckinghungry #bringitrightnow
536539879_386188146633097216 x	RT @MLB: .@ShaneVictorino's shorts are amazing: http://t.co/M8ucb2IrMF
536539879_385603280677912576 x	@LarryFitzgerald I'm an Eagles fan but I truely apperciate your support for Breast Cancer awareness My mom has fought it 3 times!
536539879_385602651595235328 x	RT @ShooterMcGavin_: BREAKING: Rick Vaughn warming up in the Indians Bullpen
536539879_385468252690075648 x	RT @MuttCutts: And all this time I've been going through such pain and personal anguish. SUCH HELL! FOR NOTHING!
