559683769_395732379551424512 x	@IntEngineerings that is just nutty
559683769_395732340057837570 x	RT @IntEngineerings: The longest bus ever! http://t.co/2gcM84u8LA
559683769_396728526046777344 x	Mobster discussion #Mafia https://t.co/YUXl4Zbae6
559683769_396453512420532225 x	RT @Yolo_livia: A "fire Holmgren" chant has erupted at the Wells Fargo Center and it's 100% accurate
559683769_396453334976311296 x	Simmer you should be fucking pissed! Slam your stick! You're one of the only boys that shows heart every single fucking shift! #FUCK
559683769_396445678106583040 x	Fuckin right boys! At least we can fight! Fuckin pumped! If we could only take that frustration out on some goals
559683769_396445295133077504 x	RT @LEX_andthecity_: THAT WAS AMAZING I LOVE THE FLYERS (even if we blow)
559683769_396436131765837824 x	@FlyersRockett pretty much..I just got home and turned it on. It's already off. I can't stand to watch that garbage!
559683769_396438217316372480 x	@FlyersRockett yeah for sure. I'm so frustrated. I just wanna lace up my skates and hop on the ice or something.
559683769_396437100947849217 x	Because that's what we needed when we are down 5-0...nice job you fucking goon
559683769_396435942225219584 x	RT @FlyersRockett: Fuck this game. Honestly
559683769_396435250056032256 x	Well I rushed home to watch the Flyers game...only to find out they're down 4-0. Not even gonna turn the game on. #NightIsRuined #DamnIt
559683769_396386588693110785 x	RT @FreakyAbandoned: Church of Old Petrolandia, Brazil http://t.co/T2INdMd5Eo
559683769_396367968382484480 x	RT @Max25talbot: Thanks to the @NHLFlyers organization for my time in Phily. Thanks also to the fans and a great bunch of guys. #greatteamm?
559683769_396278988685205504 x	Happy #Movember #Movember2013
559683769_396046610293358592 x	@gabsmenniti haha no worries. I'm right there with ya
559683769_396047926302347265 x	@gabsmenniti for sure. It's the worst
559683769_396046042606891008 x	RT @MabeISimmons: A Chief Keef song will give you the confidence to fight 10 niggas while wearing slippers, with some baggy jeans and no be?
559683769_396040767040667649 x	I'm gonna miss @Max25talbot in Philly. Good luck in Colorado! I'm sure you'll do great!!
559683769_396012826743300096 x	When people pull out in front of you...#NO https://t.co/jX4JPHydWw
559683769_395967976241111040 x	RT @Drrrake_YMCMB: Crying... http://t.co/4SnII1RWqJ
559683769_395967686767050753 x	RT @Drrrake_YMCMB: When someone you don't like sits with you... http://t.co/o3SBkjiVTY
559683769_395967416859385857 x	RT @Drrrake_YMCMB: When I have kids... http://t.co/Oqup22ibbP
559683769_395917530558386176 x	RT @LifeProAdvices: http://t.co/1YoVISqyRr
559683769_395917288907735040 x	RT @LifeCheates: If you get a call from a telemarketer, give the phone to a child and tell them it's Santa
559683769_395898446655545344 x	RT @TheWorldStories: 'Pencil Vs Camera' by Ben Heine (Belgium) http://t.co/SxL9AUnZrW
559683769_395741237527212032 x	RT @ryanparkerdp: The class 4 felony kidnapping charge means someone was taken without their consent. That charge carries 2-6 years in pris?
559683769_395741123190484992 x	Wow. That was an amazing game. Kept me on my toes all game
559683769_395741014193106944 x	RT @NHLonNBCSports: WHAT AN ENDING TO AN AMAZING GAME! #rivalrynight
559683769_395740181225295872 x	I was really hoping that Iggy would put a geno on the board tonight
559683769_395737086042861568 x	Holy shit. That was a beauty of a shot #RivalryNight
559683769_395735639091863552 x	That's a terrible call on Letang. He doesn't deserve the penalty there at all. Stupid call by the refs.
559683769_395735502927974400 x	Here we go. Finally starting to get a little chippy. Keep it up! I love this shit!
559683769_395734244498362368 x	#StayStrongForCelly take care bud. Come back soon ya fuckin beaut @danglehardcelly
559683769_395733353217146880 x	Did anyone else just see Iggy chirp Crosby? Haha #IDid #OldTeammates #Beauts
559683769_395714195268071424 x	@meaghankuhn7 hahaha that guy is in my speech class #Legend
559683769_395631586177474560 x	RT @CondescendTorts: RT if you think John Scott is a piece of shit. http://t.co/NV9p2UJRQW
559683769_395396026196307968 x	@edmeejorge he's actually 2 away from tying the record, and 3 away from beating it. I believe Gordie Howe holds the record at 121.
559683769_395390392407162880 x	RT @HockeyDesires: Beating cocky teams >>>
559683769_395388496518848512 x	RT @LifeofaDuster: With the amount of times you've heard commentators say "good play by Phaneuf" this year already you'd think it was a con?
559683769_395387071969628160 x	RT @ET_SloanHome: @AlexObie ?
559683769_395387036330643456 x	RT @ObviousPuck: RT if you use Sex Wax! http://t.co/MApT0Y99aN
559683769_395386623640498176 x	If you a bad bitch put your hands up high???
559683769_395378948361957376 x	Accounting = done! #ThankGod
559683769_395353155669856257 x	RT @HockeyGods: Game face http://t.co/6Dinx2Ii6S
559683769_395343547509248000 x	@serenadavis16 ...will simply be, "Fuck no."
559683769_395343470896107521 x	@serenadavis16 ...that's all that matters to me anymore..so I can't wait for those exact people to ask to be on my business team..my answer
559683769_395343083963183104 x	@serenadavis16 I'm just tired of people walking all over me. And honestly idc anymore. I make so much more than anyone that I know...and
559683769_395331956789243904 x	@serenadavis16 that might be true...but still
559683769_395296566430695425 x	So someone tweeted, "Everybody fucking stupid." The fact that that doesn't even makes sense is "stupid." Holy shit America...holy shit....
559683769_395179923440406528 x	RT @RELATlONSHlP: I'm so used to you, I don't know what I would do without you.
559683769_395173227695460352 x	I've decided I'm going to be a dick to EVERYONE who doesn't mean anything to me. I'm not going to remember you anyway. #FuckOffPussies
559683769_395027575959212032 x	@ToriKelly I LOVE your song Dear No One! I just got it off of iTunes. Such a good song. I love your style of writing.
559683769_395018022345535488 x	RT @TheHockeyRocket: This is the greatest hockey celebration picture ever. The docs face ? http://t.co/AJKufFO55u
559683769_395017771601637376 x	RT @YTBests: http://t.co/TIVOV2Oucl
559683769_394976653946126336 x	RT @ShitPussiesSay: http://t.co/MiDTXVLgFr
559683769_394973738040852480 x	RT @Stick_N_Pucks: "fucking fuck" - Matt Moulson
