122170263_399708238327070720 x	Now I REALLY want a #GoPro! Thanks @andersoncooper @60Minutes!!!
122170263_399698834252910592 x	#TayeDiggs? SOLD! RT @shondarhimes: Got a private screening of #BestManHoliday today.  Hilarious and heartbreaking and full of @TayeDiggs!
122170263_399697957781782528 x	RT @CBSNews: Typhoon Haiyan recovery in Philippines: How you can help http://t.co/g5l2cDZe4u
122170263_399696825483264000 x	Are you kidding me with the cuteness?!  So sweet. RT @jaycrawfordespn: Treat time for Layla and Maddie. http://t.co/gDkBWFAi7A
122170263_399696055350353921 x	RT @BilldeBlasio: My heart goes out to the millions in the Philippines impacted by this deadly typhoon. Text RELIEF to 864233 to donate $10?
122170263_399679982785810432 x	RT @BBCNews: Philippines needs "significant amount" of aid after Typhoon #Haiyan, UK minister Alan Duncan tells @bbc5live http://t.co/PUezS?
122170263_399679025305911296 x	RT @CBSNewYork: Report: Next Stop For Tim Tebow Could Be The Announcer?s Booth http://t.co/ndTXFTCcCc
122170263_399678458890305536 x	So glad they found and saved him! RT @AP:Wildlife officials successfully remove arrow from young deer's head. http://t.co/SvXVYE2Tu3 -KH
122170263_399677773415211008 x	RT @CBSNews: Typhoon Haiyan slams into northern Vietnam - http://t.co/jugBksO5OK
122170263_399675596818882561 x	RT @cnnbrk: Typhoon Haiyan has made landfall in Vietnam's Quang Ninh Province. http://t.co/0taZxwpyDq
122170263_399668756978618368 x	A community arm and arm in solidarity after allegations of anti-semitism rocks their hamlet. #PINEBUSHNY CBS2@11 http://t.co/sDOWiUzH8F
122170263_399643400741208064 x	Plz spread the word! RT @TIME: Up to 10,000 people are feared dead following Typhoon Haiyan. Here's how you can help http://t.co/Fg12phrcvv
122170263_399605294306963456 x	Just received word... my family in the Philippines is safe!  Please continue prayers for all those suffering in the wake of the typhoon.
122170263_399407285052915712 x	Thank you. RT @JamesTMcCarthy: Thanks for the report @SanchezWCBSWLNY, I hope your family & friends in Leyte are ok.
122170263_399383980853964800 x	The death toll is drastically rising in the Philippines. Hear from locals still searching for loved ones.  CBS2 news after College Football
122170263_399242883725012992 x	Thx. My mother is in the US now. Her family is in the PI. RT @cmack10452: hope she is safe. My prayers go out to you and your loved ones.
122170263_399248103972556800 x	@cmack10452 Thanks!
122170263_399245662682112000 x	RT @BBCWorld: "Just the beginning" - Red Cross in Philippines says many areas affected by Typhoon #Haiyan have not yet been reached http://?
122170263_399245418699431936 x	RT @Pontifex: I ask all of you to join me in prayer for the victims of Typhoon Haiyan / Yolanda especially those in the beloved islands of ?
122170263_399226899001802752 x	My mother is from Leyte. Directly hit. Can't reach fam yet. :(RT @djclearie: Looks like the devastation in the Philippines will be enormous.
122170263_399226463540756480 x	Thank you.  RT"@djclearie: Prayers for the Philippines."
122170263_398218653541609472 x	Just heard a #Christmas song on the radio.  Seriously?!
122170263_398228677823328256 x	@BobbyKupcha I'm not ready for Christmas and the weather that follows.  Let me enjoy a few more days in the 60's please!!!!
122170263_398232137373343744 x	@BobbyKupcha Nothing is wrong as long as the two always go together.
122170263_397896234004135936 x	RT @CBSNewYork: Woman, 86, Dies After Hitting Head On Pavement During NYC Marathon http://t.co/L1GBYSZ5zw
122170263_397842016861954048 x	RT @NYPDnews: Male WANTED for robbing Santander Bank 3rdAve Manhattan passed note, demanded money 10/31 #19Pct #800577TIPS http://t.co/DI0P?
122170263_397840843119525888 x	Busy newsroom! Be sure to tune in for the latest on all the day's BIG stories. #CBS2NEWS @5,6&11. Remember to #VOTE! http://t.co/mE1jE5TfjA
122170263_397815021616791552 x	RT @NYCVotes: Happy Election Day! 5 city offices, 6 state ballot proposals. Know how you'll vote? http://t.co/nFVg17OJNu can help! http://t?
122170263_397810685373349888 x	RT @CBSNewYork: Granderson Considering Return, Mulls Yankees? Qualifying Offer http://t.co/aMMOiVwhbf
122170263_397809984081510400 x	RT @CBSEveningNews: Will you have to pay a tax for every mile you drive? Some states may want you to, @CBSMoneyWatch has more: http://t.co/?
122170263_397568111488299008 x	RT @JohnsonWCBSWLNY: Despite what others are tweeting - there is no confirmation on location of reported gunman or any injuries.
122170263_397567218093150208 x	RT @JessicaWCBSWLNY: people are recounting what they saw and heard. They say at least 2 shooters in full body armor; saw at least 2 injured.
122170263_397565709783662592 x	RT @CBSNewYork: .@BreakingNews: People have been hit in Garden State Plaza mall shooting in Paramus, N.J., police sources say.
122170263_397565205464743936 x	NEW DEVELOPMENTS #NYUstudent #AsherVongtau. How PD says he got trapped. Live from hosp where he's recovering CBS2@11 http://t.co/bSMhiGwZio
122170263_397146653901488128 x	Gr8 advice RT@CoryBooker: You are stronger than your fears, wiser than your worry & more awesome than your anxiety. Work much, worry little.
122170263_395743884674101248 x	RT @SarahWaltersTV: .@JohnsonWCBSWLNY  and @SanchezWCBSWLNY chatting before the news at 11. 14 minutes ladies! #Behindthescenes http://t.co?
122170263_395742869019193344 x	My desk too! #LouRocks RT @SarahWaltersTV: New addition to my desk junk ...@LouYoungNY and his rock band propaganda! http://t.co/YFJV7s3SdX
122170263_395740567839440896 x	RT @LouYoungNY: A crime caught on camera.  See the assault, the good samaritan who intervenes, and help police catch the culprit.  CBS 2 Ne?
