368679969_399777618545098752 x	@RomeoNeedJuliet get off here already n get to bed! Lol you're blowing up my feed.
368679969_399781386623930368 x	@RomeoNeedJuliet thank god you're done lol.. #loveu
368679969_399777397513674752 x	RT @RoobCSN: This was only the 5th time since 1997 the Packers have allowed 200 rushing yards at home.
368679969_399774461035311105 x	Damn, timberlakes people know how to party! #wfcjustintimberlake #Shots I can't wait to be done!  ??? http://t.co/PupY3ESxSs
368679969_399754874889699328 x	RT @SportsNation: Alicia Keys weighed in on Drew Brees performance tonight. http://t.co/T9MrZw6iaO
368679969_399754742370689024 x	RT @SportsCenter: Drew Brees with an ABSOLUTE CLINIC tonight. 52-yard TD pass to Kenny Stills gives Brees gawdy numbers: 34-41, 392 yards, ?
368679969_399754510685708288 x	RT @NatbyNature: Life is what you make of it. Turn lemons into lemonade and NEVER take yourself too seriously. #TotalDivas
368679969_399754079431589888 x	RT @DoubleOh_Seven: @AzCardinals @LarryFitzgerald @RealPeterson21 @Mathieu_Era http://t.co/DcK3Rfq8Zz
368679969_399754044983754752 x	RT @omarepps: ?@jemelehill: The Cowboys seasons in a nutshell... http://t.co/IkM5jajcYd? <?True!
368679969_399718489315090432 x	RT @eaglesbuzztap: Yahoo! Sports >> Eagles overcome injury rash against Packers http://t.co/OALe4Uo3b3
368679969_399718479848550400 x	RT @eaglesbuzztap: Yahoo! Sports >> Foles still not the starter, but still awfully good http://t.co/herkAWmG5Q
368679969_399625490270810112 x	It's J T day here in philly! I'm putting in an about an 11 hr day today! #makingcash ???????? http://t.co/Mmv27gNF7b
368679969_399622028111908864 x	RT @Eagles: HALFTIME: #Eagles finish the first half with a 10-3 lead. #FlyEaglesFly  Live analysis on The Halftime Show, NOW on http://t.co?
368679969_399621777506459648 x	Here today at @WellsFargoCtr working the @jtimberlake concert. Going 2 b about a 11hr day. #makethatcash ??hopefully get 2 c the sexy ladies
368679969_399220519310204928 x	RT @sbaickerCSN: RT @philabright: Sportsnet reported last night Oilers are after Simmonds, LSchenn & willing to deal Hemsky. Flyers trying ?
368679969_399220322714787840 x	Working another @NHLFlyers game, today they host @EdmontonOilers at the @WellsFargoCtr .Hopefully they start a win streak 2day! #MoreGoals
368679969_398607727079194625 x	Let's go @NHLFlyers get the goal scoring going boys! Enough of the old school hockey style! Just fire the puck at the net, smfh.. #NeedGoals
368679969_398583950874255360 x	Time for another @NHLFlyers home game, 2nite they host the @NHLDevils .. Be great if the #flyguys could score more than 2 goals 2nite! #win
368679969_398447700976599041 x	Watching my @Good_Day_Philly of course. Now I have 2 sexy,gorgeous ladies I look fwd: to seeing @KacieFOX29 & @KarenFox29 #beautiful ??
368679969_398583569234534400 x	@frankieoop1 that's #kingperv to you Franky ha ha!
368679969_398481153063399425 x	RT @DuckDynastyAE: .@williebosshog has been practicing his #twerking! #DuckDynasty #CMAawards @carrieunderwood @BradPaisley http://t.co/t90?
368679969_398481046519693312 x	RT @DuckDynastyAE: #DucktheHalls now available everywhere! #duckdynasty #music #Christmas https://t.co/IBD5A38jEd
368679969_398480874859417600 x	RT @RoobCSN: Here's the Nick Foles gear now on display in the Pro Football Hall of Fame in Canton! http://t.co/rds5ti6iqW
368679969_398465133271601153 x	RT @bosshogswife: Watch the live broadcast at http://t.co/xYjIe8ORCm (1 pm EST) #ATVIFamGames
368679969_398464936730689536 x	@Good_Day_Philly @MikeFOX29 @SheinelleFox29 take it from some1 who's worked a ton of concerts. A lot of singers have a wash n dryer on tour.
368679969_398458981888573440 x	It's #tbt this is from our first date in NYC we're at the top of the rock in Rockefeller center? http://t.co/mx68b3ogtk
368679969_398455172625891328 x	Your hair looks wonderful @KacieFOX29 your crazy mixture worked lol. No matter what u do you're #beautiful ?
368679969_398453386867384320 x	@Good_Day_Philly @SheinelleFox29  @MikeFOX29 lol I wouldn't drink it, what if some1 spiteful put their dirty hands on the lid! #No
368679969_397916018162814976 x	It's the day that doesn't want to end here at the #bonjovi concert in @WellsFargoCtr I'm so exhausted?& hungry?miss my love @dansbabygirl09
368679969_397880159837388800 x	RT @sneakerwatchcom: Another major Jordan sneaker dropping in 2014! http://t.co/xTtvSqq7Iz
368679969_397758750301622272 x	Well I got called in to work early & I'm glad I did. Not only could I use the extra hours but this? http://t.co/O2dqbV8GL3
368679969_397714220017807360 x	Going to run a few errands including a haircut ? lol.. Then I'm working @BonJovi concert ???   tonight at @WellsFargoCtr
368679969_397713207374397440 x	I know today will be a good day when soon as I turned on @Good_Day_Philly & seen the beautiful & sexy @KacieFOX29 on my tv! #allsmiles ??
368679969_397010789238054912 x	Going to be a relax full but productive Sunday. A lil shopping & breakfast. Than couch potato time watching #NFL my @Eagles v @RAIDERS at 4.
368679969_396483302548582400 x	RT @SPINmagazine: "Eminem is the greatest rapper alive, sort of." ? Read the full review of 'The Marshall Mathers LP 2' now http://t.co/BGo?
