258058978_382297253635162112 x	#raw
258058978_372467487646183424 x	@DaltonRoss parvati is so hot
258058978_369246948466774016 x	#summerslam Daniel Bryan will be the champ tonight
258058978_356624569131474947 x	@SpikeEskin I was there...great match until the end.  Orton hasn't won anything in three years, throwin him a bone I guess
258058978_356623592416481280 x	@IAmJericho @Ryback22 shocked that Orton won
258058978_353244261896032257 x	@WWEAJLee see you on boardwalk tonight in wildwood
258058978_353243542426107905 x	@CodyRhodesWWE are you in wildwood tonight
258058978_350453786935955456 x	@ryanlawrence21 he was the commentator in Best of Show. Funny funny stuff
258058978_350455775648428032 x	@ryanlawrence21 Buck Laughlin is the man.  I wish Wheels was that funny
258058978_338162398051594240 x	@THEGaryBusey will miss you reach week on apprentice.  You are the man
258058978_337183818211540992 x	@skparish1 Congrats to the SK V Boys Baseball team for making Finals. The game will be played on May23at5:30 at Cardinal O'Hara vs St Annies
258058978_329044654920183808 x	@HanleyRamirez now I will finally get some points in fantasy
258058978_327579949609402369 x	@proatc crossing my fingers we get him
258058978_321045977387642880 x	@WWEUniverse @TheMarkHenry he broke Rybacks arm.  Wow, that's a shame
258058978_308773233031802880 x	@DUSTIN_RHODES1 @WWEFandango waste of time, he is a pussy
258058978_308772950620905472 x	@WWEFandango you are a loser. Get the king to introduce you
258058978_306234411278544897 x	@WWESheamus I saw you whiff on a brogue kick
258058978_306226466515976192 x	@BillSimmons the fans in Dallas probably agreed with Zeb but were too "pollo" to cheer for him
258058978_306224749481181184 x	@DUSTIN_RHODES1 Zeb rocks, he makes sense and the stupid fans are afraid to cheer him
258058978_306221696782848000 x	@TableofJapan his matches last two minutes and he gets five slaps in....I might beat him in a fight
258058978_306220922308804608 x	@TrueKofi that's two minutes of my life I'll never get back
258058978_306211072187191296 x	@spencerhawes00 best opening of raw ever
258058978_305853016253267968 x	@ShirleenAllicot not so far
258058978_305852589206016000 x	@6abc yes, thank god, Chenowith is off my tv
258058978_305852377284620288 x	@ryanlawrence21 @phillygossipdn thank god that's over
258058978_305852072237088768 x	@JennFredFOX29 my God,  so bad. Chenowith is a mess
258058978_297856206561742850 x	@VANIMAL_49 good luck, Philly will miss you
258058978_285587337734393857 x	@WWEAJLee don't worry about a thing. Tomorrow's a new year
258058978_285453129678467072 x	@RoobCSN @sbaickerCSN 2013
258058978_262945041968934912 x	@howardeskin best news i heard all day...stay dry my friend
258058978_260898383185707008 x	@Jim_Gardner watching action news
258058978_260893247231102976 x	@PStarPlatinum @EricaLaurenmilf damn you're a hot milf
258058978_260892912114606080 x	@RoobCSN @jpost308 Lurie is running out of confidants...needs to keep some around
258058978_260892372697751552 x	@jacquefun when is your show coming back
258058978_258377507336773632 x	@DaphneZuniga shut up princess vespa
258058978_252642849559019520 x	@CMPunk big eagles win tonight
258058978_249995851399839746 x	@SpikeEskin maybe andy should go with him to rehab
258058978_245316281992110080 x	@WWEUniverse @cmpunk #PunkOrton
258058978_231068154338627584 x	@starwars lando Calrissian
258058978_230104917124194304 x	@WWE #fallscount
258058978_213035208600059907 x	@JasonNark @officialsabbath I wish it was anybody but him. But it is a great event for he Wildwoods
258058978_195276767823532033 x	@Jim_Gardner that was awesome, you and keith need to take that schtick to sportstalk radio...and you were so right! Ha ha
258058978_182594758575800320 x	@kerrylbarrett yes its as stupid as vampires walking around in the daylight
258058978_180870135551229953 x	@RoobCSN Dunphy is so over rated
258058978_173977240101601281 x	@ryanlawrence21 whitney houston
258058978_173976968801423360 x	@aliciavitarelli wish I could get these 3 hours back. No surprises or anything memorable
258058978_173975213325811713 x	@Alyssa_Milano I think Billy Crystal is overrated
258058978_173947839167213569 x	@joelmchale I hope Frodo wins Best Editing
258058978_173947599261401088 x	@realjeffreyross frigging horrible, Crystal is so overrated....the Dictator should be hosting
258058978_173947239289470976 x	@ApprenticeNBC Andretti....nobody will miss him because nobody knows he's there
258058978_173946964973592576 x	@ryanlawrence21 @jasonnark haha, Egg Stork in that Godzilla outfit, good stuff
258058978_173946140570566656 x	@aliciavitarelli lame so far, Sascha Baron Cohen should be hosting
258058978_173944847345000448 x	@piersmorgan @billycrystal yes but the rest sucked
258058978_168870179651072000 x	@spencerhawes00 she's so hot
258058978_168869602372239360 x	@robellis610 I hear ya but that was pretty damn cool
258058978_162405360085368832 x	@RoobCSN 3 weeks ago I thought St Joe's was the best in the city, I don't know now.  Big win for Hawks tonight though
258058978_162401624671780865 x	@MalikRose tough loss tonight, good teams gotta find a way to win
258058978_162404171478347776 x	@MalikRose they gotta win that game at home against Mr Kardashian
258058978_162155379839598592 x	@Hartsy19 live it up, you deserve it bro
258058978_162153891327254528 x	@28CGiroux great game G. Kick ass in ottaea
258058978_159825793193754624 x	@JamieApody yeah, andre miller
258058978_159386006691389440 x	@aliciavitarelli you're looking especially pretty today
258058978_155857856321691648 x	@sportsguy33 yeah it makes me cringe like the McNabb Chunky Soup commercials
258058978_153966499760046083 x	@AnthonySan37 Rupp, Richards and Lundqvist
258058978_153957299428405248 x	@DNFlyers forgot that guy, hopefully Schenn doesn't end up like him
258058978_153224853737046016 x	@Bernieparent you were awesome...thanks for the thrills!
258058978_153219687063355392 x	@ninaland you too! Have fun
258058978_153214738342477824 x	@tpanotchCSN any chance  Snyder and holm green sign him?
258058978_152945183607107585 x	@EricaLaurenmilf I know this is a personal question, but are you still au natural down there?
258058978_152942617041182720 x	@AmyBuckman thanks, happy new year to you and yours as well
258058978_150815294846279680 x	@RoobCSN at least they understand its all their fault... And Juan`s
258058978_149872216123785217 x	I just beat Slenahan44 by 18 points! Think you can beat me? #GamesWithFriends http://t.co/p9grnn5V
258058978_149247359602274305 x	@RoobCSN wow, this just shows you never know about some people
258058978_147153803278422017 x	@tpanotchCSN too much Rangers!  More Flyers Please!
258058978_146348056244256768 x	@jeffskversky wow..would Andy have been fired if the Eagles lost?
258058978_146019799468740611 x	@jmac_18 how the hammy now?
258058978_145985686728736768 x	@CSNPhilly St Joe's beat an undefeated, ranked team. Temple beat a weak Nova team. Definitely St Joe's
258058978_145943726831833091 x	@BobGrotz you forgot hustle.
258058978_145930541491961858 x	@robellis610 hey rob, is he the biggest free agent bust in Eagles history? For the amount of $$$ and the lack or production, I think so
258058978_145930130773131265 x	@RoobCSN that's because he is ordinary. What a waste of money. Lurie should be sick to his stomach paying that guy each week
258058978_145929766850146304 x	@BobGrotz he may be the biggest free agent bust in Eagles History
258058978_145929637489414145 x	@Ike58Reese he might be biggest free agent bust in Eagles history. Wow!!
258058978_144625111524311041 x	@JamieApody @6abc I think SJU might be best team in the Big 5. Do you?
258058978_143517180531712001 x	@DavidAkers2 aren't you glad you're not on the eagles?
258058978_142446726589063171 x	@SpikeEskin kurt coleman
258058978_142441716249657345 x	@LHillaryCSN bradley cooper would have caught it
258058978_142441410442956800 x	@Ike58Reese time to bench him in the 4th
258058978_142438078513020929 x	@jeffskversky there's no place like home for the holidays
258058978_142419406042038272 x	@robellis610 you forgot no heart, Robbie
258058978_142419059575767040 x	@Ike58Reese maybe you should delete this post, bro
258058978_141311636110716928 x	@RoobCSN my God.....he's delusional
258058978_140995184572903424 x	@RoobCSN it's hard to be a season ticket holder.  Reid cannot beat an elite coach with an elite QB.
258058978_140979714335580160 x	@howardeskin will he get paid next year?  I hope not
258058978_139199744034615298 x	@jmac_18 @prestonsteve933 just make sure you're on the field Sunday
258058978_138728430278672385 x	@JillianNBC10 really ugly
258058978_138730328540983296 x	@JillianNBC10 too plain and too dark. Its hard to go retro when they've been wearing same unis for 45 years
258058978_138767691296161793 x	@JillianNBC10 I am looking forward to watching HBO 24-7 show about Flyers and Rangers
258058978_138765190677266432 x	@AnthonySan37 when does HBO start filming 24-7?
258058978_138442530663575552 x	@Ike58Reese big red will still keep passing
258058978_138429293066858497 x	@jameernelson they may be for real this year. Playing Nova on Hawk Hill. Gonna be awesome
258058978_137680619604951041 x	@jameernelson carl jones looks like he might be the real deal...you might get schooled
258058978_137679729296818176 x	@ESPNLunardi the hawks look damn good right now too
258058978_137679195236085760 x	@HamillHimself well deserved! Did you see carrie fisher vs bill shatner war of words?
258058978_137677946084261888 x	@jameernelson hawks looking great 2night vs seton hall
258058978_136776948352421888 x	@KScott6abc be careful
258058978_135962549899366400 x	@howardeskin Andy won't have Joe Paterno and Jerry Sandusky to take heat off him this week
