1686614648_381130657310990336 x	Date Night 101:  Always go to L'Oceano Ristorante. http://t.co/fMUIy3DWRg
1686614648_399266522872311808 x	@JennFredFOX29 Do you have dinner plans tonight? We would love to have you join us @l_oceano tonight. Great night to visit Collingswood
1686614648_398878330264764416 x	Jerry M. was in last night and was nice enough to send us this quick message on our Facebook Page:  'We were in... http://t.co/VthPuqD7GH
1686614648_398585661495980033 x	Get a jump on your holiday shopping! Enter to win a $50 L?Oceano gift card for someone on your list or...keep it... http://t.co/nTAdttRImQ
1686614648_398550785555845120 x	@SoPhReview @foobooz @cwoodfoodies Come out of the rain, visit @burke_russell & Chris Grasso tonight @l_oceano . Thursday Night Fun Night!
1686614648_398281598598397952 x	Already thinking about the holidays? So are we! Join us for our amazing four-course Christmas Eve Dinner!  View... http://t.co/ndKnSt0dAz
1686614648_398189195581468672 x	I posted a new photo to Facebook http://t.co/BdUUs4b1MB
1686614648_398189103008972801 x	I posted a new photo to Facebook http://t.co/Q5uuldGO4U
1686614648_398188936969080832 x	I posted a new photo to Facebook http://t.co/RwbzONg0wH
1686614648_398087380579926016 x	Looking for a great weekday dinner deal? Join us for our four-course tasting menu for just $35! (Available every... http://t.co/wEZWuWlUkD
1686614648_397816129261166592 x	In addition to private parties, corporate events, dinner daily & interactive dinners we would like to help you... http://t.co/APY5KVrLqo
1686614648_397809892628914176 x	Congratulations on your wedding engagement here at L'Oceano last night! May your joining together bring you more... http://t.co/0ajJCuiW2e
1686614648_396739271635501056 x	It's Saturday.. Take the night off and enjoy yourself @l_oceano
1686614648_396274193329041408 x	RT @Richzeoli: @l_oceano Congrats on opening up in SJ, thanks for the follow, look forward to dining with you soon!
1686614648_395958143198711808 x	We are ready for the kiddies! http://t.co/q5p4s2xrgX
1686614648_395957330606440448 x	#Halloween is a great night to eat out. Reserve a window seat @l_oceano and enjoy the sites on @WhtsUpHaddonAve. #Treat yourself tonight!
1686614648_395921229263405056 x	Trick or Treat?  We prefer Treat.   TREAT yourself to L'Oceano tonight! http://t.co/1xTtuxBbzj
1686614648_395888581753196544 x	Happy Halloween!
1686614648_395654205064904704 x	"What a nice, cozy atmosphere for the town's only seafood restaurant. And the food is so beautifully presented... http://t.co/74mkA0qszb
1686614648_395640661095235584 x	"What a nice, cozy atmosphere for the town's only seafood restaurant.  And the food is so beautifully presented... http://t.co/cjLARiQANn
1686614648_395614965450567680 x	It's our two month Anniversary. We want to hear from you! How are we doing? http://t.co/lkHEDj2eMS
1686614648_395275331554140160 x	@cwoodfoodies #35 tasting menu Sun-Fri four courses. Check it out. We would love to have you!
1686614648_395274612117753856 x	Let @l_oceano cook for you tonight. Our Chef is getting ready for dinner and it smells great! I wish twitter had a smell feature.
1686614648_394910950090108928 x	@PhillyBlogLove Thank you for following @l_oceano check out our site http://t.co/qnQei6Ejrd
1686614648_394858098378420224 x	Forget love. I'd rather fall in chocolate.  Happy National Chocolate Day! http://t.co/KmieTbux5k
1686614648_393796720217165824 x	Happy Friday! It's ok if you missed National Food Day yesterday. We would love to have you for dinner tonight. To... http://t.co/RbNzWFXlOj
1686614648_393753783035240448 x	RT @foodable: Yum! RT @l_oceano: @foodable Have you tried The Lamb Osso Buco yet? http://t.co/d2f1YykR0D
1686614648_393739699732643840 x	@FoodFotoGallery @foobooz @SouthJerseyWine @CollingswoodNJ  L'Oceano's Fish Sausage http://t.co/ivZURfqkah
1686614648_393738513310810112 x	@foobooz check out our menu we added new dishes http://t.co/qnQei6Ejrd
1686614648_393738510018293760 x	@JennFredFOX29 Stop by @collingswood tonight, stroll on @WhtsUpHaddonAve and dine @l_oceano #35 dollar tasting menu http://t.co/yBR1XT6ohP
1686614648_393738479425044480 x	@ThisisitJersey @Thisisitphilly Have you eaten @l_oceano yet?
1686614648_393738477541818368 x	@Good_Day_Philly join your fav BYO for dinner tonight #35 dollar tasting menu
1686614648_393738473431379968 x	@RWilcoCrossKeys pick up your fav bottle of wine and have dinner @l_oceano your fav BYO #35dollar tasting menu http://t.co/bAx3oMg6it
1686614648_393738435678437376 x	@foodable Have you tried The Lamb Osso Buco yet? http://t.co/hH0MYiHRFy
1686614648_393738399448043520 x	Check out @l_oceano new look! http://t.co/EETWZrny6C
1686614648_390554635867406336 x	@JoshuaJHager Check out @l_oceano in Instagram
1686614648_393738353059049472 x	@JoshuaJHager it is loceanoristorante
1686614648_393738350550851584 x	@collingswood @WhtsUpHaddonAve Sorry about the rain on cruise night. Dry off and come have dinner @l_oceano
1686614648_393736666542002176 x	@SoPhReview Join South Philly's own Chris Grasso tonight @l_oceano 8568339888
1686614648_393401001660928000 x	What do you think of our new look? http://t.co/F7wp0Hy9cL
1686614648_393039125852721153 x	'Fall' in love with our Lobster Bisque... http://t.co/SgLQPmWF2n
1686614648_392722367895445505 x	We are now live on open table!
1686614648_392703163964608512 x	Winner Winner, Lobster Dinner! http://t.co/EGafCCOTxT
