216264423_395764866985631744 x	Falling asleep in the bathtub would be so cool if it wasn't for the drowning to the death thing.
216264423_395664147117273088 x	#hooliganbros #hoodies taking a ride on our  #industrial clothes bus cart. Headed to #martinitime http://t.co/GzYjITRfGM
216264423_395663430142951424 x	#hooliganbros #hoodies http://t.co/CmxYlesde4
216264423_395623898395328514 x	To late to die young . What now? #NeverSayNever #StoryOfMyLife #hooliganbros #martinitime
216264423_395573475273756672 x	RT @GuyCodes: Fuck candy, I want free alcohol for Halloween
216264423_395525901594542081 x	All trick or treaters this Halloween will get candy even if they are fat. #Halloween #FatLetters
216264423_395294761004695552 x	Why is Al Roker as bastard to Natalie on The Today Show?  #todayshow  #alroker
216264423_394627914802532353 x	C-O-W e- i- e- i- o ? Coweieio? What's the problem?
216264423_394515921160511490 x	Life ! Slow down. What is your hurry?  Let me enjoy your company.  You have lost your love of yourself.  #smelltheroses #hooliganbros
216264423_394272446838104064 x	Peanut brittle with Knob Creek Whiskey. I found the perfect Halloween candy that kids wont eat.#mine #knobcreek http://t.co/uEASqheksr
216264423_394225940873486336 x	You know! I'm still thinkin. I believe the pink pistol is made of chocolate. really. Literally chocolate. employees are eating the store.
216264423_394183894511009792 x	am i missing something. when did football start having weather delays? #oufootball #nocrybabies #ouvstexastech
216264423_394173696098992129 x	The original #hooliganbros  waiting on #martinitime. http://t.co/XRcNBbNAAu
216264423_393891952812257281 x	i tried the undercover boss thing. i fired myself #UndercoverBoss
216264423_393758084751179776 x	Flash Back Friday  #bluepigbbq #hooliganbros #goodtimes always #martinitime I miss the people. http://t.co/ajKHpI6aWX
216264423_393576799193407488 x	American Daredevils ain't nothin. I've dated and married some of the craziest women in America. I'm a true #americandaredevil
216264423_393514776984174592 x	RT @robingladstein: @bbqkingpin When I'm ready for new outdoor living area furniture, I know who I'm calling to make it!  LOVE this.
216264423_393505350898315264 x	If dreams would come true I would dream every day .But not about You Ha! You know it!  I would dream about that lottery. #Powerball
216264423_393387224164614145 x	Today my goal is: To be the brunt of all skinny related jokes. #feelingskinny #Thintowin #lunchtime
216264423_393123981953609728 x	Couple contempo tables. Reclaimed from my 1960's teardown. #hooliganbros #dontcatchafallingknife? http://t.co/fKWcQvBysR
216264423_393095903197663232 x	Season finale tonight for #DuckDynasty #Hooliganbros predict a prayer will be said during the the ending of tonight telecast.
216264423_393093689339174912 x	Game 1of the world series tonight.  #hooliganbros will be picking the winners to win. #WorldSeries #FenwayPark #Game1 #martinitime #ontime
216264423_393083021576142848 x	Our next project adventure. #hooliganbros huffin puffin and #coffin. Orders being taken and i've added? http://t.co/ArYK8lkKVw
216264423_393060487614955520 x	I stand alone I stand strong  I age with dignity My wrinkles are my character http://t.co/sWu58cnOrc
216264423_393060312678924289 x	Faster, faster, faster, until the thrill of speed overcomes the fear of death -Hunter Thompson. http://t.co/Wij5TdCqIA
216264423_393058827429363713 x	RT @williebosshog: Bad news, I misspelled Finale, Good news, you know its me tweeting for myself.
216264423_393058068365209600 x	RT @chucktodd: Ever fantasized about creating an anonymous twitter account and venting about your boss and job? A WH staffer did it. More o?
216264423_392791603196493824 x	Industrial hotel bus cart. http://t.co/7kOzZiyNR3
216264423_392791270831443968 x	Industrial hotel bus cart. http://t.co/673ST29Az5
216264423_392790885307809792 x	Industrial hotel bus cart. http://t.co/w4WoD7Twjp
216264423_392656501703471104 x	Winter is here in Oklahoma.  All cacti indoors! #cacti #myoklahoma http://t.co/kdFbmv2jy2
216264423_392142888886607873 x	#Lameri #cacti #palm http://t.co/5MFYahzlA5
216264423_392064908340117504 x	a friend.  Said he was living under a bridge I said I'll give u a house warming party! He said.No fires.Cardboard.
216264423_391632479263551488 x	2bowls of chili.  1 bloody mary 3 beers. 4 halloween Oreos. Time for football saturday. #eatlikethatmanyouknow
216264423_391543201716129792 x	Went apple picking yesterday yea! Ran into some GangBangers called the" Apple Dumplings".No more apples :( #apple #gangbangers #dumplings
216264423_391535488814686208 x	If I had to do it all over? I would that much behind.
216264423_391060301291851776 x	http://t.co/WVkUMQG6VE
216264423_390582358484975616 x	Our gas line lamps.  #oilfield #oilandgas #pipeline #hooliganbros #christmasgifts http://t.co/hUJ9uiFNQg
216264423_389804711555383296 x	Just posted a photo http://t.co/eGMpLFVTmQ
216264423_389108965746814976 x	I see a glimmer. Did you see it too?  #glimmer #hope #OUvsTEX
216264423_389106522384379904 x	OU fans at the game. #blessyourheart.might go check out the state fair of Tx while your there.Tell everyone the wind is watering your eyes.
216264423_389103310822600704 x	How does it feel  to shit bricks? #OU #OUTX  #Sooner #football #deerinheadlights
216264423_389102724391780352 x	Did anyone tell OU Sooners they're playing today? #checkyourschedule #Oklahoma #sooners #Football
216264423_388869440894271488 x	So is a wikileak the same as peeing in public? Excuse me while we take a #WikiLeaks #TheFifthEstate
216264423_388736648005316609 x	Perfect gift for gas/oilfield pipeline or drill site workers. Ol school metal hardhat lamp or? http://t.co/XndQRZCxdW
216264423_388678764596432896 x	RT @dylanwstewart: Solo acoustic at Cafe Alley tonight//6:30ish// #ardmore #livemusic
216264423_388656999061139457 x	What does the fox say
216264423_388547618759925760 x	RT @CauseWereGuys: I'm a completely different texter to the girls I like than I am with everyone else
216264423_388024807373426688 x	Man-Cave beer light made from gas line pipe. #hooliganbros #gotbeer #gotgas #gotlamp . gotta go its? http://t.co/wkCjr28UYc
216264423_387777116798205952 x	Ok sons of anarchy just got weird. Wtf? #SOAFX  what's wrong with you?
216264423_386867193385721856 x	I watched Mileys performance on SNL Ive done a 180. She sang with such emotion.#MileyCyrusSNL  #MileyCyrus #smartgirl
216264423_386866798261321729 x	I watched Mileys performance on SNL Ive done a 180. She sang with such emotion. The clothes all age appropriate.monologue was flawless
216264423_386654675803463681 x	shopping today. first item found. #hooliganbros #martinitime #Walmart #drinkingandshopping #nocrybabies http://t.co/mhNoTRmIao
216264423_386282298624073728 x	RT @FreeJesseJames: It's Hard 2 Explain How Happy this little Guy makes me #MrPierre                   Shot by me with? http://t.co/THunCxk?
216264423_386281826051842049 x	RT @HellOnWheelsAMC: Ready to see S3 go out with a bang? Read today's roundup and tune in Sat @ 9|8c for the Season Finale! http://t.co/AWw?
