1164805454_351094896892981249 x	@RoobCSN WIP mt rushmore?
1164805454_399616112112857089 x	Mason Crosby can get in some bad grooves #Packers
1164805454_399609406775521280 x	@MikeClayNFL Ummm....but there is another option...can throw it away
1164805454_399371084375797760 x	RT @MLBMeme: Don't let anyone tell you baseball is easy.  . http://t.co/pxiWTQQVcv
1164805454_399340528187473920 x	@GottliebShow gottlieb....prediction on game?
1164805454_398233789635125248 x	Some speculation that John Moffitt leaving #Broncos because he was bullied by Peyton Manning
1164805454_397068387651575808 x	I knew I should have started Tuel over RGIII
1164805454_397067942229049344 x	Is there any tangible thing slower than Rivers scrambling?
1164805454_397007855443668993 x	Who is your sleeper daily #fantasy player pick today?  I recommend @fanduel if you are new to the daily game....
1164805454_396837128975302656 x	Non-sports tweet.  Why the hell does Justin Bieber allegedly need to hit brothels in South America?  Kid is messed up.....
1164805454_396832830656745472 x	How about them #Sixers?  Man, Michael Carter-Williams is going to be a serious player in this league.  Game-changer type...
1164805454_395726226796859392 x	RT @MagicJohnson: I just got done watching the guy I think will be the Rookie of The Year, Michael Carter-Williams of the 76ers.
1164805454_395682907182084097 x	@rich_levine @CoachSully not with peavy pitching game 7
1164805454_395682348567896064 x	@amyfadoolCSN I was trying to get a 7 yr old to focus on a soccer drill at practice lst wk and he hit me with Iverson practice line.  Yes..7
1164805454_380874828024012800 x	Shady going down for #Eagles almost as bad as @KacieFOX29 going down for #Fox29
1164805454_394795493609308161 x	@SportsRadioWIP @WIPMorningShow Ask Chip why not more creative with McCoy.  Split him out wide?  Run him with blocker in front?  Anything...
1164805454_394665132569018368 x	Is it me or do players look back at the home plate umps on every close pitch in these #MLB playoffs
1164805454_394664448436101120 x	@JamieErdahl Tim's chuckle made it even worse!
1164805454_394660275892142081 x	Craig Breslow is a one-man "obstruction crew" for his team #RedSox.....
1164805454_394659689981431808 x	Speaking of jackasses...one guy that came to play today was Deangelo Hall...dude was out there busting it and making plays
1164805454_394653952152588288 x	I am really starting to question Chip Kelly.  Not adapting to #NFL game and not using his main weapon (Shady) enough. #Eagles
1164805454_394659169053048832 x	@Rowie_Hoseman @RTFantasyFball 8 games enough time for Chip to split McCoy out/throw him a toss right.  Chip's already predictable.
1164805454_394658599831490560 x	Let's talk about Dez Bryant......dude has not done enough in this league yet to act like a complete jackass on the sideline.  Period.
1164805454_394658231147970560 x	My 7 year old looks like he towers over Shane Robinson.....Robinson probably slightly better hitter  #dudehasbatspeed #Cards
1164805454_394656670220967936 x	Split Shady out?  Shady with fullback?  Shady on pitch?  C'mon, Chip....you could do better with a stud weapon like this #Eagles frustration
1164805454_394656311020761088 x	Watch how Shady being used in passing game. He runs two routes -out to flat after fake hand-off or 5 yard cross in middle after fake handoff
1164805454_394640129660178432 x	Interesting to think back to the "Flipper" Anderson days.....
