616587952_385887489728454656 x	Haircut..
616587952_394665854992138240 x	RT @GuysPIctures: True http://t.co/Y0qxIhUzDu
616587952_395732270369501184 x	RT @FOXSports: Can the @PelicansNBA make it on @AmericanIdol? You be the judge -> http://t.co/Bj8eUuG0Jd
616587952_395690814380060672 x	RT @Hartsy19: @ErinAndrews #selfiewednesday Hahahah. Who's winning tonight? http://t.co/KvXIs4x6Ah
616587952_395386385961861120 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @TimWakefield49. http://t.co/7qYqVZX4fL
616587952_395340585273282561 x	RT @NHLFlyers: Bored during the first intermission? Caption this... http://t.co/GwmhBvZTWM
616587952_395329096299073536 x	Let's go Flyers! I'm here, win it! @FlyersNation @NHLFlyers
616587952_395284463233826816 x	Let me see redemption win, let me know the struggle ends..that you can mend a heart that's frail and torn...a great song by @tenthavenorth
616587952_395262205433610240 x	RT @MLB: Five years ago today, Brad Lidge went wild and the @Phillies were world champions: http://t.co/POEDG0Dwdh http://t.co/Sju1nmM6xM
616587952_395048591787823104 x	Sometimes the heart sees what is invisible to the eyes..
616587952_394962448429875201 x	@RealSkipBayless yes!
616587952_394690453075152896 x	RT @MLB: Get beard. Get ALL of the beard. #WorldSeries http://t.co/8ZAnRs2NTy
616587952_394674136804782080 x	Way to go Red Sox!!
616587952_394666850178842624 x	?@CauseWereGuys: I never make the same mistake twice. I make it 5 or 6 times, just to be sure.? Hahaha
616587952_394321071874531329 x	?@itsWillyFerrell: We all have that one friend who needs to learn how to whisper.? @ljssurfing Elaine?
616587952_394318429630758912 x	@BrookeMorrisonn @espn purposely?
616587952_394319001545101312 x	@BrookeMorrisonn @espn tts how it looked on TV too!
616587952_394318775727947776 x	@donavonroberson @Buster_ESPN I agree!! Said the same thing!! It's crap..
616587952_394317307847401472 x	RT @RealSkipBayless: How is that obstruction? Middlebrooks just dived for the throw, didn't TRY to trip Craig, who stumbled over him inside?
616587952_394317152095723521 x	@BrookeMorrisonn they better!! That was ridiculous..
616587952_394314510825422849 x	He stayed down to stay out of the way...
