757044222_397882545963937792 x	RT @JordanFWhite: @CBSPhilly see you all tomorrow!!
757044222_399372290275569664 x	"The number of "Followers" you have does not make you better than anyone else. Hitler had millions, Jesus had 12." -F. Ocean
757044222_399032484060336128 x	@midnightmosaic @mroomphilly have a great show :)
757044222_399029570747105280 x	RT @LVwithLove: Why would you bring a kid under six to Walt Disney World? So 20 years later, they can say "Thanks for bringing when I could?
757044222_398934409455218688 x	RT @midnightmosaic: @jennag812  please #RT #Philly show @mroomphilly tomorrow https://t.co/hE2qHuzdga
757044222_398270821530996737 x	RT @cwphilly: #WEB EXTRA: Local Musician Jordan White Performs: http://t.co/phCMuNsV0n
757044222_398267512548126721 x	Long tiring day = no more leftover Halloween candy
757044222_398207953003491328 x	RT @JordanFWhite: Here's the clip from today's interview/performance on @cbs3talkphilly with @UkeeWashington  http://t.co/4sKZZj1edy
757044222_398129780731969536 x	RT @JordanFWhite: Sound check at @cbs3talkphilly, live a little after noon with @UkeeWashington http://t.co/nlj4NaRvxS
757044222_397057741098717185 x	@midnightmosaic @GravityGiven awesome :)
757044222_398114336305979392 x	@midnightmosaic I'll be at @HardRockPhilly tonight for happy hour if you're around, @JordanFWhite is their resident musician this month
757044222_398086554607812608 x	RT @JordanFWhite: Will be performing LIVE on CBS-3 Philadelphia show @cbs3talkphilly w/ host @UkeeWashington today (11/6) at 12PM.  Tune in?
757044222_397057985907683328 x	My road dog Trix http://t.co/8dmbCwtvFU
757044222_396101722507993088 x	it?s 2013, why hasn?t a bank had the slogan ?it?s common cents? yet?
757044222_396062696166391808 x	a kid just scarfed down a Hershey bar before leaving my porch. Isn't there rules against that?
757044222_396049941279567872 x	I recruited Trixxy into handing out candy with me. As if she had a choice #Chihuahua #halloween2013 http://t.co/oxMkM3s0GQ
757044222_396048431669460992 x	What's the proper response to 'trick or treat'?
757044222_395210717030137856 x	@midnightmosaic good! how are you doing?
757044222_395215247419506688 x	@midnightmosaic awwww :)
757044222_395216463683809281 x	@midnightmosaic Cool, where at? I manage a musician, so most of my weekends are spend working
757044222_395217282533564416 x	@midnightmosaic yes, I do PR and some bookings for @JordanFWhite -- M Room is a very cool place
757044222_395218248146239488 x	@midnightmosaic sounds good. My email is Jenna@JordanWhiteMusic.com
757044222_395210595827326976 x	@katebilo it's creepy to touch anyone without permission, unless you are good friends with them
757044222_395209283690070016 x	RT @JordanFWhite: @stephanjenkins I wish I met Lou Reed / out on his darkened sea / I felt it when his blood would flow / doesn't take 1000?
757044222_395208789676158977 x	The Olympics is a giant competition to determine whose ruined childhoods were worth it.
757044222_394800395748261888 x	"One chord is fine. Two chords are pushing it. Three chords and you're into jazz." - Lou Reed http://t.co/zjBbmtBUvY
757044222_394291324029239296 x	Sometimes I want to just give it all up and become a billionaire
757044222_343389750964678657 x	@Galaxy66 see you soon for @JordanFWhite performing at happy hour!!
757044222_393570054862016512 x	RT @lvfaces: @jennag812 lol. So true. stoping for that Starbucks could be the difference between being 2 minutes early or a half hour late ?
757044222_393346171877720064 x	running late increase the chances of getting stuck behind a school bus #AmericanHorrorStory
757044222_392722055017140224 x	@PhillyNewsGuy This is a play by play of an accident. If you haven't heard it - it's great. http://t.co/hcNk9wec6Q
757044222_392315270691164162 x	@ReverbNation what happen to my profile? It set up a seperate "musician" page and now I cant find anything.... help!
757044222_392329105800044544 x	@ReverbNation just sent you a DM -- thanks so much for your quick reply!
757044222_392281775369498625 x	@LizBartolai yes, everyone is having issues with Facebook
757044222_392284679090364416 x	@LizBartolai yea I hear ya -- kinda makes you wonder what people did before #Facebook
757044222_392284511825715200 x	Facebook down. Panic in the streets, people go around with their photos asking "You like?" #Facebookdown
757044222_392280906645258241 x	With Facebook being down, this might be the most productive day ever witnessed. #facebookdown
757044222_391650222994358272 x	Vodka is just awesome water.
757044222_390934796207407105 x	I laughed way too much at this, https://t.co/hGQWKFiNqQ
757044222_390859684497739777 x	Wine for cats? Don't think so, my cat looks like he'd be a mean drunk!  http://t.co/0l76ikkElL
757044222_390836212841209856 x	Congratulations, U.S. Government, you are officially more embarrassing than my dad.
757044222_390803679496138752 x	RT @JordanFWhite: Thank you @BrittSween, @DaveKuharchik & everyone at NBC @PA_Live for having me http://t.co/nNcP0cxXbT
757044222_389016502030315520 x	Moose is now up to 31lbs #doberman #dobie #doberman_akc #4months http://t.co/7ZZJZ6muzK
757044222_388773915780452352 x	RT @RileyChihuahua: #workit pups! http://t.co/jECteByHhT
757044222_388773844200456192 x	@Radio1045 you should have @JordanFWhite on your show, he is November's resident @HardRockPhilly musician
757044222_388729830852014080 x	My business associate for the day #chihuahua #teamtrixxypup #workfriend #puppy #pupkat http://t.co/H9tMG4IbCJ
757044222_388282616245268481 x	Mumford and Sons is Jimmy Buffet for people that sunburn too easily.
757044222_387999186861711360 x	RT @MovingTargets: Hear from @jennag812 + @NatMoraisBR about optimizing your Facebook marketing LIVE: http://t.co/tQMzOa0QbP. Starts at 2 p?
757044222_387668685021659137 x	Burger King's new fries. Low fat, and lightly salted by your tears.
757044222_387564191738900481 x	Just want to point out the NRA's plan to stop school shootings is literally the plot of Kindergarten Cop.
757044222_386284858135552000 x	@PhillyNewsGuy what are your thoughts on this? Was "Breaking Bad" Finale All Just A Fantasy In Walter White;s Head? http://t.co/km7vIfKgUL
757044222_385187454074241024 x	RT @RileyChihuahua: Check out me & my sisters! We are models http://t.co/jECteByHhT
757044222_384674215758004224 x	62 episodes in #BreakingBad. PeriodicTable element #62 is samarium, used in the treatment of lung cancer. It's detail, Mr Gilligan....
757044222_383741428217946113 x	?@BuzzFeed: 11 Predictions For The Series Finale Of "Breaking Bad" http://t.co/2zKojpDxxZ? @PhillyNewsGuy
757044222_383457357529120768 x	RT @JordanFWhite: Throw me a bone, lol http://t.co/2ZpODpZ3uf
757044222_383429170354589696 x	Seems legit.... http://t.co/yjabk2W8js
757044222_383039642859089920 x	Pretty little puppies #chihuahua #doberman http://t.co/mFyQSPluiq
