22021524_393886333288325120 x	Don't get me started (@ Children's Medical Center - @childrenstheone) http://t.co/3YXnTR1ylx
22021524_373898803293999104 x	@dcschrader @PWine_1_1 @goldkid96 @janice_winston @learyjen radio silence 4 hours #roadtrip
22021524_367725182657384449 x	I Spy D40 @Pwine_1_1  RT @janice_winston: @RedCrossPhilly responding to fire at 800  blk Chelten Ave  http://t.co/PmMFngBPcy
22021524_365890131351199744 x	I'm at New England Aquarium - @neaq (Boston, MA) w/ 3 others https://t.co/S4FZXz32J1
22021524_365216152403714048 x	@PTWine_One_One not me!! @janice_winston @dcschrader and @goldkid96 will have to handle it all without me for 4 days ;)
22021524_358194413341655040 x	@dcschrader ohhhhhh nooooooo
22021524_356223305914650625 x	?@MontcoAlerts: ABINGTON | MONTGOMERY | DWELLING FIRE | 2325 OAKDALE AVE | FIRE SHOWING FROM THE DWELLING? @PTWine_One_One @goldkid96
22021524_341740151107641344 x	@RedCrossPhilly responding to a fire in 3100blk of Cedar Street in #Philly to assist displaced residents.
22021524_306092534453645312 x	@goldkid96 holy what??? are you ok?
22021524_305433723418071040 x	@dcschrader Scary huh?
22021524_301697525595901952 x	First day in my new spot and only half my stuff is here- sounds like a job for my volunteer :) http://t.co/ygLxRKDk
22021524_301340195024941057 x	@dcschrader think someone could pick me up at 30th street about 2:10? #packedtoomuchcrap
22021524_347466654025920512 x	@HurElizabeth I just rode through on @amtrak and we went slow through the area too- check for delays!
