42116751_394549735530717185 x	We scored
42116751_397109139677388801 x	Coleman u fuckin suck u idiot
42116751_397108954905714689 x	How do u run into the kicker
42116751_400115778319822848 x	Complete bullshit that jackson cany get me 3more points. Fuck u bucs
42116751_400115509569814528 x	Refreshing but its not working. #dead http://t.co/qnRJUodIKn
42116751_400079259236327425 x	I love it when a big fella scores but it's a wadte of 6 fantasy points Vincent Jackson could have got me
42116751_400069060156989441 x	@EthanfromNJ  RT @darrenrovell: Jack & Coke in a can http://t.co/9m080f5TVQ
42116751_400067343453552641 x	My dads a veteran but I guess it doesn't count since he fought for my country
42116751_400063260537659392 x	I feel like jordan when someone talks shit to me during drinkin game. Lol
42116751_400063051720044544 x	I played one game of beer ponf at topdog and once the other team started talkin shit I ended the game
42116751_400062724514009088 x	99 percent of the time when I talk shit to someone is just for fun or to get in their head
42116751_400059879811198976 x	Kc has a bf unfollow.... na no way just gotta put in more work
42116751_400058211296100353 x	Anyone have that new jack and coke in a can?
42116751_400054313265139712 x	@6hris_Best haha lets go
42116751_400047404948652032 x	Th shit eminem says is so fuckin magically ridiculous.  Its unbelievable
42116751_400046562111668224 x	Last years season of walking dead was better than this season
42116751_400044587856961536 x	Snapchat me at radigga9  Or  Don't snapchat me at radigga9
42116751_400026882478833665 x	Djokovic. Great win. Now time to win the davis cup
42116751_400004670607085568 x	Lets go Djokovic
42116751_399975759336706049 x	@jeffhigman @EthanfromNJ thanks for the useless advise it was just bad luck
42116751_399923913305899009 x	@EthanfromNJ lol I needed that and I needed to win but prolly won't
42116751_399923641250754560 x	@EthanfromNJ venaterie. I got him in 2 leagues but I might lose to raj bcuz of it
42116751_399919216859811840 x	My kicker got me 0 points yesterday. 2nd time in 3 weeks my kicker did that. I'm down 6 wit vjackson vs clay
42116751_399918989947977728 x	RT @Rozay_55: @MarkGersh @ItsRadomir lmao we are better than this
42116751_399752072503250945 x	Brees enough wit throwing tds. Fuck I'm down now
42116751_399731186551230464 x	RT @MarkGersh: Next time I show up in court i'll be naked and just wear a law suit #MMLP #eviltwin #eminem that's real rap @Rozay_55 @ItsRa?
