214744597_212988337328365568 x	Ugh.....not feeling so great.....
214744597_211919058201870336 x	Having a ball....at da pride fest!!!!!!!!!
214744597_210494705681698816 x	Rushing home so i can cook dinner.... :)
214744597_209039677108404224 x	Just chilling..... :)
214744597_208647968809680897 x	Missing my nephew very much.........free moyoske......
214744597_207170765982924800 x	Cooking out enjoying the day with my family........
214744597_203891486167810048 x	My feelings r so hurt....... Never thought u would make me feel as bad as I feel now....
214744597_190295154903617536 x	Today was a great day....ran into a girlfriend I haven't seen in over ten years.........lol n she got me drunk on tequila shots...........
214744597_190175476399079426 x	Omg.........having a great time......
214744597_188630344025640960 x	Out with my baby eating breakfast.....
214744597_187294247727271936 x	Ugh.....first I wanted it......now I don't....will definitely return it tommorow morning....
214744597_173813784304041984 x	Ugh teens suck....... Lol
214744597_171108612243066880 x	Me n my babygirl braking night......luv her.....
214744597_159331494198910976 x	Viendo Casos de familia.........
214744597_158230757947604993 x	Crab cakes, French fries, n chicken ceaser salad yummmy.....
214744597_158221206976335872 x	Woo
214744597_157903697731518464 x	At my babys graduation.......congrats kiarra yayyyy u did it....yayyyy!!!!!
214744597_66241821910630400 x	happy cinco de mayo!!!!
214744597_66236000380268545 x	talking to my mom and her boyfriend, n grandaughter running around the house with  a balloon
214744597_26122097319219200 x	#Nuvo is looking for models!  2 win a free T-shirt click here:  http://nuvostars.promojam.com @sparklingnuvo
214744597_3566158661816320 x	Soooo hungryyy
