23334094_294915479007526912 x	Almost time for my yearly twitter post...
23334094_52002888301547520 x	@queencarmen haha..  that is awesome.
23334094_1436074788 x	is happy with the idol results..
23334094_52002200876105728 x	@jeruhmeezyTN09 my bad
23334094_3567695626768384 x	@megmen I have drank only water since April.  I want to look good for  2011.  Haha
23334094_3522786710528000 x	@megmen no more sweet tea for me.  Only water.  :)
23334094_3520413439107072 x	@megmen I am about to go to chick-fil-a right now..  haha
23334094_667148921872384 x	If U see 'Due Date' tonight im outside in the Waffle House scene. My head takes up one side of the screen. http://tinyurl.com/2eh9g7k
23334094_666142318268417 x	@tawny_kitaen I <3 you boo..  just sayin..  ;)
23334094_29341313843 x	Hope you got to see 'The Walking Dead' tonight!  My main scene was cut, but I was in the large group in the alley and p? http://lnk.ms/DlxHN
23334094_27904732777 x	@ericditzian contact me, I wanted to share something with you..
23334094_27599438005 x	For every person that tweets #beatcancer, $0.05 will be donated by paypal.   support & retweet!
23334094_27500719321 x	This still cracks me up..  it never gets old.. http://lnk.ms/4ZYVT
23334094_27070560308 x	I would love it if you would join my music page on FaceBook!    http://lnk.ms/FL6qM  http://lnk.ms/FL6qM
23334094_25934892470 x	@queencarmen at least you can work.  I watch all of the postings for things I qualify for and cant even apply!  :P
23334094_25934662371 x	Time for a change of appearance.  How do i make my hair grow quicker?  haha
23334094_25905527650 x	Love @kandi 's new song 'leave u'.  Can't wait to hear the whole album this November!
23334094_24860307136 x	I just won a free movie night from @redbox! #thanksabillion
23334094_15238309770 x	Exclusively for #ultimatetruebie followers, the final #trueblood minisode. #waitingsucks http://twitvid.com/SRLZI
23334094_14919196251 x	Has been calling it "THE twitter" ever since I saw Betty White in the "You Again" trailer.. http://bit.ly/clCo2L   #fb
23334094_14870206672 x	10 hours later...  My computer is Virus free!  Norton has the WORST customer service in the world..  Well,  maybe after Dell... #fb
23334094_14452786537 x	@megmen i am guessing you got the job?!   You JUST got your name plate!
23334094_14179965345 x	Happy Birthday to @Kandi !!
23334094_14124981496 x	*decisions..   decisions..
23334094_14111225569 x	can you have a hangover from too much water?
23334094_14111189340 x	@queencarmen must have been a realllllly good movie!  ha
23334094_14071582616 x	@megmen i have 4 of the 8!   The other 4 can wait.  this pizza is too good.  lol
23334094_14071093627 x	more pizza.. followed by reeses pieces.  i am starting to see a trend..  #fb
23334094_14071042768 x	@buckhollywood love that show!  Reminds me of the days i would stay home sick from school and watch tv.
23334094_14022999411 x	@Kandi what is the girls name at 3:24 on the left.  I remember her from school..
23334094_14022699560 x	@Kandi  LOL   that was a flashback!  awww Tamera!
23334094_14004809209 x	eating reeses pieces..   what classic candy do you miss?  #fb
23334094_14004742034 x	@megmen had to repost that one..  Oh oh oh oh
23334094_13995021538 x	I am missing the beach right now...  #fb
23334094_13995001646 x	@Kandi Im organizing a big group cruise for later this year.  You should put a group together and come!  only 4 days...
23334094_13957414949 x	Late night left over pizza  <3  #fb
23334094_13383856615 x	cool auction idea!   http://www.deborah-gibson.com/   #fb
23334094_13347305054 x	My cell chimed in with 11 voice mails earlier...   Some over a week old...  Thanks technology..  #FB
23334094_12537338034 x	How many of these songs do you remember?  :)   http://www.myspace.com/legacyrecordings/music/albums/the-essential-babyface-8105783
23334094_12494336490 x	Will maybe get to work on 'Big Mamas House 3' this week!  sweet..
23334094_12493373492 x	Want your Real Estate License?  Any State.  It's the family business..   http://www.rowlettcareerschool.com/ga-georgia.htm
23334094_12480812007 x	http://tweetphoto.com/19131742 @LanceBass Wish someone could hold traffic long enough for me to ride a bike all the way to the bottom.  :)
23334094_12480183982 x	listening to the Brian McKnight CD "Anytime" for the first time in several years.  *sigh
23334094_12466412907 x	Officially weened off of sweet tea and soda..  The headaches, cold sweats and shaking have all passed.    :)   *twitch
23334094_12410076116 x	off to the gym.   One stomach flu away from having abs again!
23334094_12408801066 x	follow my musician friend DragonFly www.twitter.com/dflymusic
23334094_11067400093 x	miami bound at 11pm..  i must be insane..
23334094_11058285670 x	@megmen  dard..  too bad you dont still live there!  I can bring people!
23334094_11057513918 x	@megmen im a terrible biff..  you still have your place in miami?  I need a place to party with P-Diddy
23334094_10963688544 x	I hope Rosie takes the spot from BAHBWAH!   http://www.popeater.com/2010/03/23/rosie-o-donnell-the-view/?ncid=webmaildl2
23334094_10963671384 x	@megmen Hope it all comes together.  So much going on...
