437450654_356816033576779776 x	http://t.co/RhKQEyNfZl
437450654_356815058937982976 x	http://t.co/ni6MBUXFOe
437450654_356806181286723586 x	http://t.co/avH7ZLAbkc
437450654_387587049307381761 x	Isn't this tbe truth live my Mom http://t.co/DRmLoJtFWD
437450654_395155918750355456 x	http://t.co/gXcm8fkdG9
437450654_394964750531956736 x	Oh yeaha :) won't forget this for sure...lol http://t.co/iHBHrUg0yU
437450654_387544453407182850 x	Sad... very sad... http://t.co/aKmKHslUzU
437450654_394967068790898688 x	http://t.co/4Lgpxks9DZ
437450654_387476547055005696 x	Lmfao.... http://t.co/vlBIF2Ra1S
437450654_396178754470297601 x	3:30 a.m. awake with pain once again :(  Had my doctors appt. today & I am scheduled for exploratory surgery. &... http://t.co/dwtHEkVZrs
437450654_396114257999581185 x	Happy Halloween with few of my favorite people!
437450654_396114253343891457 x	I posted a new photo to Facebook http://t.co/2jKZXKQ9NU
437450654_396114252907692032 x	I posted a new photo to Facebook http://t.co/4sQx0OnE9F
437450654_396105044786819073 x	Happy Halloween with a few of my favorites. http://t.co/DomsiiX22z
437450654_395745279996993536 x	Been totally wiped out the past 3 weeks or so have been the worst pain wise & not sleeping due to it. I get up at... http://t.co/nt1BO8OWQl
437450654_395639096749481985 x	This is. Sooo good. And very simple to make... http://t.co/sLTT11SKay
437450654_395377022433628161 x	I posted a new photo to Facebook http://t.co/EJafyR43q3
437450654_395365693480108033 x	I posted a new photo to Facebook http://t.co/B3TrBFciag
437450654_395365541080092672 x	Shocktoberfest http://t.co/wknHgRm45D
437450654_395347651438190592 x	I posted a new photo to Facebook http://t.co/Yfc57zDLUH
437450654_394934368889614336 x	Elijah left the prison with all his organs(flags).... http://t.co/JixVc97p9H
437450654_394932501744857088 x	More pics from shocktoberfest http://t.co/CZ4b3tzbqv
437450654_394931510471446528 x	Shocktoberfest baby....we had a blast...we were zombified..lol http://t.co/AbO3zD5liq
437450654_394925866112659457 x	Where did the weekend go? Went way too fast....Mondays suck.
437450654_394871891900375040 x	Andrew took our nephew to the shooting range for the first time yesterday he did awesome shot our flock,357,22... http://t.co/PRw3v4tyq1
437450654_393874970331197440 x	Can't wait tomorrow night going to shocktoberfest with my hubby Andrew Tinneny & my nephew Elijah Groff..it's his... http://t.co/UzxlM9oD1S
437450654_393466957539708928 x	http://t.co/9UdXnBWHtG
437450654_393449896356761601 x	Q102 Win Tix to Terror Behind the Walls | Contests http://t.co/JjpWv89CCn via @Q102Philly
437450654_393435878585954304 x	Oh my, oh my... http://t.co/NY4ll1vLp3
437450654_393435727087689728 x	Don't ever say yoy can't do something or next time you complain about something that's not serious let this put... http://t.co/bALyv2QBYR
437450654_393428004925222912 x	http://t.co/TArjIvyt2I
437450654_393157904175357952 x	Absolutely love this... http://t.co/ztk0eKZBjO
437450654_392841044842139648 x	http://t.co/uZicppTIoJ
437450654_392829914241449984 x	The kid magnet...kids are crazy about Andrew:) http://t.co/8zOlBMfjx8
437450654_392829223611555840 x	Rozie is such a Ham...love her http://t.co/BG7r3M9pp1
437450654_392705648560861184 x	I'm one lucky babysitter ...I got two of the most coolest,lovable,& kindest kids & anyone who knows them will... http://t.co/UB7hB5qSWq
437450654_392629764189462528 x	http://t.co/xuXbHZqm3c
437450654_392627281937440768 x	http://t.co/JL0fWeeA9Y
437450654_392627020963655680 x	http://t.co/kqdZEgvMYl
437450654_392626870803365888 x	http://t.co/zFx0W4qXQy
437450654_392482786667278336 x	Would. SOOOO  love to go to Disney World ;) http://t.co/gmZMXEXZRY
437450654_392403940177743873 x	The only thing missing is a spotlight & my microphone ..can't even go in the bathroom without them tailing me. Lol http://t.co/vXlxYDWkUk
437450654_392340005261045760 x	At the park with my buddies :) beautiful day for it http://t.co/3r15JfVd3l
437450654_390914436866646016 x	OMG...it's all over now.This ain't even right...lol http://t.co/VqMxjFcMBZ
437450654_390588411872284672 x	http://t.co/13S1HbcTH2
437450654_390480535660658688 x	Lol http://t.co/Uka7T5AM39
437450654_390476862671314945 x	So true :) http://t.co/kWUurl9Cub
437450654_390467305509249024 x	http://t.co/VO5zEGnOmx
437450654_390463768867532800 x	Heard awesome things about this attraction.... http://t.co/tGUTypiVsX
437450654_390016118837874688 x	These recipes are killing me its gonna be a real nice fall/winter..have plenty to make ;) http://t.co/jnGgdML07U
437450654_390015636094476288 x	Lmao...too Funny http://t.co/dIUrgZguc4
437450654_390001176885747713 x	OMG...this looks/sounds banging... http://t.co/Ld2cKFpgfd
437450654_390000913076592641 x	I'm so making this...adding to my baking list... http://t.co/NUuyPw8bXc
437450654_389767873846976512 x	http://t.co/Ow9815DU24
437450654_389713047008198656 x	http://t.co/dhFpj1WVPV
437450654_389575636852813824 x	It's a wig, its a mullet, no wait its Joe dirte...lmao http://t.co/k0KTqVOTlv
437450654_389573889333805057 x	Kids of Walmart http://t.co/5oy0qMxZwd
437450654_389455326145032192 x	http://t.co/naiN9BITC4
437450654_388829619895300096 x	OMG...look out totally splurgimg hitting Wendy's drive-thru. Late night for both of us at work. Wow and its 9 o'clock eating fast food.
437450654_388757864992366592 x	Was so happy it was Friday & my hubby has off tomorrow, was thinking sleeping in & figuring out something to... http://t.co/lEVnU13n4V
437450654_388721148298420224 x	This weather is great ..IF YOUR A DUCK
437450654_388649397958873089 x	OMG..I am so making these bad boys http://t.co/2y3ZKjpDwc
437450654_388635521347366912 x	Ark building party at my house! Bring two of your favorite animals! Last name A-L bring pizza, M-Z bring beer.
437450654_388628722468655104 x	http://t.co/3hkedltKDK
437450654_387465243560910849 x	This is scary. Really.... http://t.co/UNCmWnsWcU
437450654_387439131883995136 x	http://t.co/1weuYkNRxE
437450654_387438962828001280 x	http://t.co/cHZ97fElZq
437450654_386340311888171008 x	I forget what it's like having 2 & 3 year old running around house,bathing & getting them to bed...lol. have my... http://t.co/O2jXtb0eRB
437450654_386223959617703937 x	http://t.co/hRhPFaozZt
437450654_385789751422230528 x	http://t.co/FoD8kw3UWf
437450654_385776292643082240 x	It's starting to sink in I'm going to miss you guys so much..really sad sitting here after you guys just left...
437450654_385669824535203840 x	Lol http://t.co/zpTlcqjpX1
437450654_385367973327687680 x	Wow what a doozie yesterday was worked 12 hours which wasn't the issue it was just stressful life issues alot... http://t.co/1liWGbaAnO
437450654_385111772392214528 x	So angry right now..my husband busts his ass working 60 hrs a week & boss can not pay him today. We have bills... http://t.co/LvFEexnDpi
437450654_385092675772219392 x	Lmao http://t.co/yhQxsY13ss
437450654_385003372094296064 x	Lord we have tons of spiders n bugs that I have never seen before and only a few miles from were we use to live... http://t.co/Sd8c4Zxs1A
437450654_384952677668368384 x	is out of order, there are no spare parts and didn't come with a warranty as is a one of a kind model. Please do... http://t.co/yUO5kC2SWV
437450654_384949722357567488 x	Pretty cool..this is a must read http://t.co/mHUSZwdXvL
437450654_384946884734767104 x	http://t.co/XnIVVnRt8z
437450654_384762989087186945 x	http://t.co/F71IxhIGBM
437450654_356803200600375297 x	Yep that's me.ahhhhaaa http://t.co/9LY2X7wX2j
437450654_383759437946560513 x	Had such a wonderful birthday. Thank you again everyone for all the wonderful birthday wishes it really meant alot :)
437450654_383712662749605888 x	I am so grateful to have such h wonderful friends..held me a surprise party last night ..it was awesome. Love u all http://t.co/MIA9rbKjts
