1618797666_395642911481929729 x	RT @jcmccaffrey: Yawkey Way t-minus four hours. http://t.co/g32ArbzUov
1618797666_396073884468142080 x	RT @Snoopy: @DanAngelo1123 :) Beagle Hugs!
1618797666_396073564790456320 x	Charlie Brown and the #GreatPumpkin is a halloween staple I hope never goes away
1618797666_394116032606257152 x	RT @JimmyKempski: The Eagles reportedly had a deal done to acquire Tony Gonzalez 5 years ago:  http://t.co/fjwHd15PKj
1618797666_394111441797931009 x	RT @BBTN: Game 5, 2008: 2B Chase Utley, @Phillies #WorldSeriesWebGem http://t.co/7hjiYtpCnX
1618797666_394086942008422400 x	RT @ESPNStatsInfo: Since 1969, Game 3 winner in World Series tied 1-1 has won 16 of 18 series. Exceptions- 2003 Yankees & 1979 Orioles. @El?
1618797666_394082550492454912 x	RT @PatGallen_975: This piece on Bison Dele/Brian Williams by @SI_ChrisBallard is one of the best I I think I've ever read. Go, now. http:/?
1618797666_393408547997753346 x	@MikeMerget975 have you seen this http://t.co/wheIJ8ouoY
1618797666_393218157805977600 x	http://t.co/8wJPAzJPPM #WorldSeries #johnlester #MattHoliday #RedSox #CarlosBeltran #DavidOrtiz @PhillySportLive
1618797666_393200409033981952 x	@SheilKapadia @Tim_McManus I hope these admissions mean that he is going to grow into being a better leader #wishnumber10would
1618797666_393199077279551488 x	@jaysonst I think the Red Sox may have used up all their good luck in the first two innings ending with Beltran in a hospital #unfortunate
1618797666_392636554964791297 x	@darrenrovell phillip defranco said you said that 8% actually went to breast cancer- tell me the cut is higher this time
1618797666_392419361425612800 x	@Tooch975 Because they fell apart quicker than the 1960s Eagles
1618797666_392419111751655424 x	RT @Tooch975: 33 years ago today #Phillies won their first World Series. Why does '08 feel so damn long ago if that's only been 5?
1618797666_386995252617150465 x	can't believe #cowboys are going to need to score 50 points to beat the #broncos
1618797666_386972686041100288 x	Time for some math... Drafting Peyton Manning = Best fantasy decision all year #undefeatedlove
1618797666_386952519592583168 x	let's go Broncos!
1618797666_386947164733059072 x	RT @darrenrovell: The last time Tom Brady didn't throw a touchdown in an NFL game (1/3/10), "Do You Remember" was the #1 song in the US.
1618797666_385205164832866304 x	#Pirates starting off inning 2 with 2 homers almost as sweet as the @ClementeMuseum overtones during TBS pregame #closetPiratesFanInPhilly
1618797666_384778728460406784 x	. @darrenrovell prob not via https://t.co/slaZVY0Sxs
1618797666_383636051836665856 x	Eagles Lineup Combinations: A Tale of Two Sides of the Ball http://t.co/96D2SInKZX via @BleedingGreen
1618797666_383344349536206848 x	@BrandonGowton email wouldn't work- here's my resume  https://t.co/rcO8LqPR5q
1618797666_383343717433614336 x	@JPAllenismyname @jimmyfallon love those two #borntoentertain you seen the jimmy fallon lip sync battle? http://t.co/47Ux9gWN0q
1618797666_382959271232561152 x	RT @JPAllenismyname: #Hashtag #TimberlakeTuesdays are the best on @jimmyfallon! http://t.co/4PS1a8eL3E
1618797666_382610416288813057 x	2013 Resume - https://t.co/IYJTj9XNXe
1618797666_382513350975836160 x	@flyersnation Flyers Give Read a Four-Year Contract Extension http://t.co/hFqSk5Osi5
1618797666_382169578253451264 x	Flyers Give Read a Four-Year Contract Extension @phillysportlive http://t.co/hFqSk5Osi5
1618797666_382162781216071682 x	Flyers, Read Agree To 4-Year Contract Extension ? CBS Philly http://t.co/SyfciJIt8i
1618797666_382142285372063744 x	RT @KDTrey5: Man Drew Brees is a surgeon..
1618797666_382141914750808064 x	RT @darrenrovell: College football favorites won 55 of 57 games this week (via @RJInVegas)
1618797666_381963702368350208 x	RT @darrenrovell: With 2nd place finish in the FedEx Cup, and $3M bonus, Tiger Woods crosses the $125 million mark in on-course earnings.
