21536488_396739991180558336 x	Wow. Get well soon, John Fox.
21536488_399983101872316416 x	Watched the Stamkos injury GIF. Ouch ... I don't know why I do these things. Get will soon. #NHL
21536488_399981967472467968 x	Seeing "Stamkos" and "stretcher" in the same tweets is not good. ...
21536488_399936277723635712 x	Bryz to Oklahoma City? That's going to be great. Not quite BryzVegas, but it'll do. #NHL
21536488_399923737039880192 x	Is anyone really surprised by the Braves stadium thing? They are overdue to change cities again, anyway. #BOStoMILtoATLtoCOBB #MLB
21536488_399745618328829952 x	This show should be on NBC every Sunday night. Just a different team each week kicking Dallas' butt.
21536488_399743693525381120 x	There are 2-3 games each NHL season where you just burn the tape, forget it, and move on. Tonight was one for the #Caps. Forget about it.
21536488_399726417845313536 x	Uh oh. ... #Caps
21536488_399693737074241537 x	Very carefully. RT @nflredzone: How did Andre Johnson catch that?! #HOUvsAZ
21536488_399693561303535616 x	Yeah, Andre Johnson still has all them skills. Good grief.
21536488_399692700259061760 x	Mendenhall fumbled in a key spot? No. That's impossible.
21536488_399644881603534848 x	I'm at @BedBathBeyond (York, PA) http://t.co/jR5FjNezDV
21536488_399626431439056897 x	I'm at Richard M Nixon Park (York, PA) http://t.co/CmsDKtFy9s
21536488_399619131303280640 x	I'm at William H Kain county park (York, PA) http://t.co/4PnRITpCPO
21536488_399397280987357184 x	Nice win, Pitt.
21536488_399387248719716352 x	#1PointNight. Choked away the other. #Caps
21536488_399381611764260864 x	Take a dumb penalty, that's what you get. #Caps
21536488_399366041299468288 x	Any more goals this period and Smith is gonna be looking for a fight. #Caps
21536488_399365921388511232 x	Ward!!!! #Caps
21536488_399364703027093505 x	Dear Coyotes, need the #Caps to play with just 2?
21536488_399363353421701120 x	Ugh .... RT @UEAthletics: MBB UPDATE Purple Aces - 57 Martin Methodist - 51 13:08 2nd half
21536488_399362505312448513 x	Mike Smith, a noted goal scorer, now working on winning the battles along the boards past center ice. Epic. #Caps
21536488_399358577917181953 x	Keep taking penalties, Coyotes. #Caps #DeadlyPowerPlay
21536488_399357346125598720 x	The hell was that Troy Brouwer you marvelous bastard. #Caps
21536488_399356107014946817 x	@YesThatBrooke @Harry_MiniumVP I think they are 1-A independent.
21536488_399351124823531520 x	Volpatti with a nice DDT to end that bout with Chipchura. #Caps
21536488_399347997017776129 x	RT @Harry_MiniumVP: ODU leads 52-38. Heinicke has thrown for 526 yards, the second most of his career.
21536488_399330024261550080 x	Duke could finish 9-3. #UVA will finish 2-10. #LondonBall #OhButTheRecruits #ShutUp
21536488_399343285388316672 x	@YesThatBrooke ... Start breaking commits, London has to go and someone else who can recruit 757 AND coach football is needed. ...
21536488_398623005611261952 x	Good. Didn't deserve points there. Like missing the PK after a dive.
21536488_399344174782099456 x	@YesThatBrooke ODU has done a lot of stuff right so far. Fun team to watch. And ... Wait for it ... They have a real quarterback.
