1895617063_388479167496724480 x	Nifty run by Cutler and at least he knows how to and when to slide.
1895617063_388478498744307712 x	RT @p24c: Didn't even know @GabeLandeskog92 was the captain of the Av's #youngcaptain
1895617063_388477860744527873 x	RT @Ike58Reese: For real Devin Hester, yelling at the kicker?
1895617063_388477813407625216 x	Wonder if Nessler will get reprimanded for calling Jacobs a "bull in a China shop." These guys always have to be worried about offending ppl
1895617063_388476157966155776 x	Marshall is a beast. Gonna be a huge night for him. Love the green cleats and nice gesture of him donating to charity to match incoming fine
1895617063_388475832815321088 x	If the #Tigers win this game, I think they win the World Series. Really thought they were gonna win it last year
1895617063_388475123764039680 x	Cutler looks sharp tonight, solid #TNF game considering this is two straight good ones after various poorly played sloppy games #NFL
1895617063_388466292401115137 x	Brandon Jacobs may have to run the #Giants back into this game
1895617063_388465108302974976 x	It's almost as if every Giants get the ball they're going to turn it over. This is beautiful #TNF #giantsvbears
1895617063_385603714029191168 x	#TheBlacklist is such a good show and James Spader is a really solid actor although he's got a cocky streak about him. #NBC #NBCBlacklist
1895617063_385603448341028864 x	Did you know the Eagles haven't won a home game since September 30, 2012. That's now about to be 368 days. #darktimes
1895617063_385603122405867521 x	RT @JohnBorukCSN: 287 games have been played by the 4 pro franchises since the last time a Philly team was 2 games over .500 (Sixers 12-10,?
1895617063_385584450769526784 x	Another frustrating #Flyers game.
1895617063_385566600046579712 x	Kills me to say this, but the #RedWings in the #East is criminal. @_RD3_
1895617063_385565968040460288 x	RT @ESPNStatsInfo: Delmon Young has 9 postseason HR in the last 3 seasons, most in MLB
1895617063_385565905704747008 x	Delmon Young, because why the hell not, right? #RaysvIndians #MLBPostseason #MLB
1895617063_385565570374332416 x	Huge goal after early first period of peppering Bernier. #Flyers #NHL #NHLFaceOff
1895617063_385545821082902528 x	Floyd "Money" Mayweather will face Amir Khan on May 3rd in Vegas. #Boxing Wish he was fighting Danny Garcia instead.
1895617063_385469856558358528 x	#NBA2K14 is unreal #LeBron Path to Greatness mode is really awesome. I love this game, amazing. #NBA #Heat #PS3
1895617063_385219254041448448 x	I'm not greedy, I just wanna see one Stanley Cup in my lifetime. #LetsGoFlyers #NHL #Flyers
1895617063_385210782080073728 x	Damn I forgot Greg Oden signed with #Heat . IF he plays, that's a big "if" that would be another key contributor for them. #NBA
