126033542_395544172561588224 x	@MiroSheregi uh oh miroooo (;
126033542_394995989070630912 x	CAN YOU HEAR ME NOW?
126033542_394981298759938048 x	@J_Hard1 yooo jonnnnah!
126033542_394980970102681600 x	i would do anything to be with you right now
126033542_394943385435648001 x	Options? Lol talk about a slap in the face...
126033542_394926301133688833 x	Ughhh i really wasn't ready for that
126033542_396617254651301888 x	?@rachelfackk: Good luck Freedom High School! Whoop Liberty's booooty(: #freedomfamily #forever ????
126033542_396520239909052416 x	RT @Country_Words: It's a holiday when we're together, I wanna stay with you forever, somewhere, somewhere sunny and 75. -Joe Nichols
126033542_396407082511253504 x	I hate 76... #parkinglot
126033542_396373081146785792 x	Philly for the weekend!!
126033542_396347541518032896 x	Can you trim during no shave november? Lol it could get ugly.
126033542_396340626129948672 x	Turned out to be a beautiful day
126033542_396335004571435008 x	"We hate to see her go, But love to watch her leave. With that honky tonk badonkadonk"
126033542_396300237247373312 x	RT @beeisforbeeauty: It's the most wonderful time of the year.   No shave November #scruff ?
126033542_396296348687138816 x	"Don't you know, Ain't nothing in the whole wide world, like a southern girl."
126033542_396294869628764160 x	"But tell me, did the wind sweep you off your feet?"
126033542_396281697119252480 x	Hello #NoShaveNovember !!
126033542_396276963654246400 x	"We all got a hillbilly bone down deep inside, no matter where you're from you just cant hide it."
126033542_396125247680028672 x	RT @Country_Words: Funny how a melody, sounds like a memory. -Eric Church
126033542_395544822553255936 x	RT @Country_Words: A heart don't forget something like that. -Tim McGraw
126033542_396112182389518336 x	RT @CaIiforniaLove: Just don't get your hopes up with people you're attracted to, you'll save yourself the stress.
126033542_396111357335986176 x	its crazy to think the nfl season is halfway over already... seems like we were just going nuts after that week 1 performance. #Eagles
126033542_396108193497358336 x	RT @Country_Words: Hey baby, all we got is all night, come on now we're runnin' outta moonlight. -Randy Houser
126033542_396086502251196416 x	"Yeah that look in her eyes got me comin' alive and drivin' me a good kinda crazy, When she says baby, everything gonna be alright."
126033542_396078539516436480 x	"Its over when its over, aint it baby aint it?"
126033542_396034841814507520 x	#tbt miss this place soooo much #california #beautiful http://t.co/owT6bvy4Bq
126033542_395996064698073088 x	Hopefully she looks like sadie robertson???
126033542_395994938540060672 x	New girl at work is from down south... Please God help her have a southern accent. #DreamsDoComeTrue
126033542_395989952649240576 x	A week off of school right now would be golden...
126033542_395988512212017152 x	Its going to be really interesting to go back to my 10 year reunion and see what everyone has become.
126033542_395987186916794368 x	@chambiiii ericaaaaa!
126033542_395983690163298304 x	Best fantasy football name: Weeden My Brownies
126033542_395982918549786624 x	The password is taco
126033542_395953181890338816 x	5 years ago today... One of the greatest days of my life. #phillies #worldchamps #2008 http://t.co/ilQzra8nEz
126033542_395929862135095296 x	NCC flag football time!
126033542_395881152537710593 x	Messy buns and yoga pants?
126033542_395746567619379200 x	RT @NCC_Confess: "GO to the Game Saturday. Women's Volleyball. #Orange #Undefeated #SupportGirls "
126033542_395746478679142400 x	Lol the ping pong episode is the funniest king of queens episode
126033542_395743972901281792 x	Time for bed... 8am class every morning takes its toll.
126033542_395737170620600320 x	lol AI couldn't have worn a suit? what a stud lol #Sixers
126033542_395729007754240000 x	i really like brett brown hahah #Sixers
126033542_395727768941764608 x	RT @highkin: UPDATED COLUMN: The Larry O'Brien Trophy is headed from South Beach to South Broad Street http://t.co/HqMGQVRxLH
126033542_395727168409313280 x	clap your hands, everybody. for philadelphia 76ers.
126033542_395722200785117184 x	RT @Country_Words: Go to bed, dream of you, that's what I'm doing these days. -Rascal Flatts
126033542_395715170066264064 x	RT @FightinForPHI: Who has the most steals (7) in a debut in NBA history?  Michael Carter-Williams.
126033542_395711092086673411 x	we better boo the crap out of bynum on nov 8th...
126033542_395701025132531713 x	RT @1_michaeldeluca: Every time Michael Carter-Williams has the ball I'm like "who's that white dude?".
126033542_395700716326899712 x	RT @corrado_19: #Sixers first quarter this season reminds me of the #Eagles first quarter this season, so don't worry they'll still suck...
126033542_395697808856342528 x	RT @OfficialReview: If the Sixers win, ESPN will show one highlight of LeBron James dunking then show the final score.
126033542_395697476118007808 x	RT @Country_Words: We laid a lot of memories down, like tattoos on this town. -Jason Aldean
126033542_395697087180206080 x	RT @CForClarity: This would be so Philadelphia sports if we win tonight. And it would feel oh so good.
126033542_395637300908277760 x	RT @ChipKellysBalls: If you buy a white #Ford Crown Victoria at a police auction & DON'T remove the spot-lamp, you should know EVERYONE els?
126033542_395634566503071745 x	RT @Country_Words: Keep on dreaming even if it breaks your heart. -Eli Young Band
126033542_395632585537093633 x	really upset i missed that iverson press conference, stupid class.
126033542_395632475440812032 x	i just wanna talk
126033542_395629052133789696 x	first time i've cried since saturday... #regressing
126033542_395627074146545664 x	Im sorry there is no bigger and better thing
126033542_395624952332054528 x	It doesn't have to be this hard for either of us... #easysolution
126033542_395620300999905280 x	We would be talking about relationships in speech class today...
126033542_395613103012212736 x	RT @kimhein7: It's so funny how little the amount of people that are here for me is
126033542_395606403613999105 x	We are so close everyday but yet so far away
126033542_395597987327795202 x	Fun lunch with @PaigingAmber but now back to class :/
126033542_395599577128398848 x	@PaigingAmber this is true... #sucksforyou
126033542_395603230132273152 x	@PaigingAmber hahaa im kidding good luck(:
126033542_395553270615126017 x	"Baby you can crash my party ANYTIME."
126033542_395552319452246017 x	RT @Strange_Em: November is right around the corner...hairy legs here I come #noshavenovemeber #manlyproblems ?
126033542_395550830403010560 x	RT @ChristmasCount: ??????????? ??????????? ??????????? ??????????? ??????????? ??????????? ??????????? ??????????? ???????????  56 DAYS UN?
126033542_395548863668318209 x	@Andi_Leighxx what a great student(:
126033542_395549288924590080 x	@Andi_Leighxx oh then it doesn't matter hahah
126033542_395548791702425600 x	Baby I will wait for you If you think I'm fine it just ain't true I really need you in my life No matter what I have to do I'll wait for you
126033542_395548072731615232 x	Women crush wednesday @sadierob she's gorgeous and a country girl... can't get much better.
126033542_395545090971561985 x	french vanilla cappuccino #heaven
126033542_395542703523389440 x	"'Cause I've got a hand for you,  I've got a hand for you. 'Cause I wanna run with you. Won't you let me run with you and hold my hand?"
126033542_395541352093470720 x	hootie and the blowfish was pretty amazing
126033542_395380285724164097 x	RT @Country_Words: Here's to the nights we don't remember, and the friends we won't forget. -Lee Brice
126033542_395380254774427648 x	RT @franklin_seth: Look we're in fourth!! @PHISportsPhans @_Philly_Talk @FightinForPHI @PhillyFanboard http://t.co/li8Rc5OcPC
126033542_395376114714951680 x	Life is too short, so kiss slowly, laugh insanely, love truly and forgive quickly.
126033542_395376018879680512 x	RT @LukeBryanWisdom: Life is all about making choices. Always do your best to make the right ones, and always do your best to learn from th?
126033542_395375099554959360 x	can't wait for the first snow!
126033542_395373692890673153 x	RT @NuteIla: #IfWeDate http://t.co/4pvIPBJzWi
126033542_395371530999197696 x	ahhh what the heck, bored. http://t.co/vXUgU6uzSg
126033542_395370269969100800 x	maybe everything doesn't happen for a reason?
126033542_395369626374512640 x	RT @Country_Voices: It's supposed to get a little cool tonight, looks like I'm gonna have to hold you tight. #JasonAldean
126033542_395369460263288832 x	RT @KDursoPhilsNet: October 29, 2008. 9:58 p.m. Five years ago tonight. This happened. #2008WorldChampions #Phillies http://t.co/VquEEyGZC9
126033542_395368985689980928 x	@sadierob has a really good voice(:
126033542_395367520950964224 x	lol at this @DuckDynastyAE Duck the Halls christmas album... its awesome!
126033542_395356828038479872 x	duck the halls is out?! i LOVE christmas time! #duckdynasty
126033542_395355796743008258 x	@PaigingAmber stop tweeting all of your good grades :P
126033542_395356357861183488 x	@PaigingAmber well I'm not shocked by your non lack of smarts lol
126033542_395355751189086209 x	RT @Country_Words: Til my last day, I'll be lovin' you. -Justin Moore
126033542_395355644884422656 x	RT @Country_Voices: Just to see you smile, I'd do anything. #TimMcGraw
126033542_395352035622928384 x	Why does my phone keep dying at 20%?!
126033542_395349080236646400 x	Hey #flyers are winning again? Do we have hope philly? Haha
126033542_395348986078695424 x	Ughh not having a good night. I would give anything to be with you right now.
126033542_395339517886214144 x	RT @Country_Words: That's a memory that'll get you when you look back, here's to the good times. -Florida Georgia Line
126033542_395293201512165376 x	wait sopoaga is actually playing this season? #Eagles
126033542_395280957949100032 x	RT @iTweetFacts: Stress Relievers  ?Chocolate milk ?Music ?Sleep ?Video Games ?Sex ?Sarcasm ?Hugging ?Cuddling ?Kissing ?Reading ?Exercise ?
126033542_395278865733779457 x	Half a tank in two days... #gasguzzler
126033542_395276600201474048 x	You only truly know how much you love something when its gone.
126033542_395241498943688704 x	RT @Country_Words: We're the kinda crazy people wish that they could be. -Hunter Hayes
126033542_395240490335236096 x	"Cause you don't know her like I do, you'll never understand. You don't know we've been through. That girl's my best friend."
126033542_395229167031427072 x	"Southern girl rock my world"
