477423817_347461899924934656 x	Got my XTU tickets. I'm a happy girl?
477423817_288491903169736705 x	@TimMansmann came home today to my dad watching that damn Moonshine show. Made me think of our sweet ass bum night.
477423817_248380019699757056 x	?@CauseWereGuys: That one guy who has half of a beer and starts acting wasted. #WeAllNoticedFag? @TimMansmann - haha, who could that be?!
477423817_248418378098802689 x	@TimMansmann haha, I saw it & the first thing that came to mind was that story I heard about the Monster energy drink, aand everything else.
477423817_244198364579778561 x	Someone move to the beach with me, please!
477423817_200108307304812546 x	@TimMansmann We need to plan a phillies game ASAP TimTim ?
477423817_197636657992826881 x	This 6am thing and I are not getting along, at all.
477423817_187014528914034688 x	@TimMansmann I miss you :(
477423817_187021480880635905 x	@TimMansmann soon please!
477423817_187023166151991297 x	@TimMansmann oh god, not okay! tell him I said happy birthday:) and okay, well let me know when and I'll see what I can do
477423817_389730545867161600 x	Ah, no traffic, got to campus early, got my coffee .. Signs of a good day?
477423817_389750531130130432 x	@KingOfAllChucks haha, oops, sorry! That just means tomorrow will be good:)
