860524428_339851229301731328 x	Only 2 days left to purchase access to the Notary Test for $10 Off.
860524428_339095690137440256 x	We honor the Men & Women in uniform today http://t.co/I1PD17hpep
860524428_338509919621898240 x	http://t.co/lGAJKGltM8
860524428_397369002382884865 x	RT @InmanNews: Want a scary and addicting job? Try real estate  http://t.co/1EU9l1IzTd via @TBoard
860524428_385584902617702400 x	RT @LegalRealEstate: Real Estate: Fannie Mae Announces Numerous Selling Policy Changes http://t.co/WQtwob6qms | by @BuckleySandler
860524428_383341199970803712 x	Hi @JeffDGorman the nursing home staff should have ID on file.     However the ID must meet the State's satisfactory evidence requirement.
860524428_379703087918628864 x	Limited Time Offer  - Access To The Course is Still FREE http://t.co/JeNg5wukAB
860524428_379702915658563584 x	RT @skillshare: GIVE BACK TO SCHOOL: We're donating 100% of proceeds to arts & music education and offering 25% off online classes! http://?
860524428_373476570436227072 x	RT @GAFROOFER: @ThePANotary Thank you for following! Have a great Holiday weekend everyone!
860524428_373109863750324224 x	RT @zillow: 30-Year Fixed Mortgage Rates Fall for First Time in Five Weeks: http://t.co/BWYbfr6Nxh http://t.co/qGc06u1iw0
860524428_373109591007322113 x	RT @HousingWire: As market shifts, NAWRB changes its name http://t.co/mAaELUtta2 #hw
860524428_365064708174655488 x	RT @TechCrunch: Who Will Disrupt Real Estate? http://t.co/UqtrllbJdV by @fredericl
860524428_364767452502032385 x	@necolbert Thanks. We will follow you on FB. http://t.co/G0b1LQGVor
860524428_364128481229012992 x	Great business lunch @PFChangs http://t.co/P5giscXK2r
860524428_360488839732666369 x	RT @westcoastescrow: You've got mail! - Under a cost-saving plan by the U.S. Postal Service, people moving into newly-built homes will... h?
860524428_359732480846217216 x	RT @ALTAonline: Plz RT: Attn #TitleActionNetwork members - We just launched a national alert! Visit http://t.co/mSe7qyrOwR & login to take ?
860524428_358589441684033536 x	@mortgagetday Good Morning!
860524428_358246315899101185 x	@FoxPointProgram Thanks a lot !!!
860524428_358218750103146496 x	RT @TrodatUSA: Thanks for following @ThePANotary!
860524428_356879180958408706 x	Free Mobile Notary Service. http://t.co/OqeSY6Dcr0
860524428_354248315954663426 x	RT @SenatorAlloway: It is estimated that up to 250,000 people visited Gettysburg over the past 10 days. @GettysburgNews #Gettysburg150 http?
860524428_352814612724465664 x	Interactive Post on the battle of Gettysburg. http://t.co/70NKSsdqpZ
860524428_352808936858062848 x	Happy Independence Day!!!!
860524428_352616658285768704 x	RT @PhiladelphiaGov: A huge crowd came out for @peternero & the Philly POPS! on Independence Mall @July4thPhilly #whyilovephilly http://t.c?
860524428_351815581848190979 x	Special Delivery for all PA Notaries  http://t.co/NjFGuuwRIo
860524428_345612620159651840 x	Our registration is back up and running. Don't delay Sign Up today @ThePANotary.com/register
860524428_345576964465242112 x	Our registration page is being updated. #holdtight #new #notaries
860524428_345181791767891968 x	One of our students told us all Notaries should join linkedin
860524428_345181270260711424 x	RT @mashable: .@BillGates Joins LinkedIn http://t.co/YGeFzenBRW
860524428_345180840176795648 x	There's no excuse for any Notary not to know #PA #Notary #Law the course is #free
860524428_344238098252697600 x	RT @emilypflug: It may be rainy, but it's still gorgeous at @penn. @ Locust Walk http://t.co/YxhqFd9Csr
860524428_343151233483288577 x	RT @Penn: Free online class taught by @PennNursing profs aims to foster dialogue about improving the future of aging societies. http://t.co?
860524428_341658017210716162 x	RT @JBelmontNotary: @ThePANotary Let us know if any of your Pennsylvania Notary Public members want to get listed on http://t.co/V2W7Ixl ...
860524428_340472174215323648 x	@ThePANotary: It's the last day to take the test for only $19.99. Lock in the price you have 90 days access #notary #pennsylvania
860524428_337413800615628802 x	Super Excited about the #thepanotary FREE course #notarypublic #notary #panotary http://t.co/YgAXdiubmi
860524428_337353089986199552 x	http://t.co/sT9ceWgC78
860524428_337301889257447424 x	5 Steps to Become or Renew Your PA Notary Commission on a Budget http://t.co/VfqMzxYRvo
860524428_335483177260953600 x	Instructions for Apostilles http://t.co/JZUHtRK8nn
860524428_334339232686538752 x	Think twice before notarizing a deed in Philadelphia http://t.co/HMKLznKQkZ via @twitterapi
860524428_331594533877985280 x	Sample Notary Seal | The Pennsylvania Notary Course http://t.co/4yHHUJpJam
860524428_331593526959808512 x	Notary Seal vs. Embosser | The Pennsylvania Notary Course http://t.co/bXPkBhuGCB
860524428_327540970512072704 x	Check out "Become A Pennsylvania Notary" on Vimeo http://t.co/egpZrEr023 #Vimeo
