1566685974_392866900050739200 x	@MikeVick  how do you deal with this. Seriously.
1566685974_396048218892812288 x	@FOX29philly  I will always love Iverson. Always.
1566685974_396047590355382273 x	@KacieFOX29 @FOX29philly That was the funniest thing ever. I laughed my butt off. Awesome.
1566685974_396045211610406912 x	@FOX29philly I have never laughed so much during a news cast in my life. I was actually at work and had to find it. You rock. All of you!!
1566685974_396044402168037376 x	Happy Halloween to all!  Be safe but have fun!!
1566685974_395709445004488704 x	@KacieFOX29 @MollyESullivan @CSNPhilly  I'd love to see you doing sports. Your more dedicated then I am. Hugs!!  And I love my boys. :)
1566685974_392844764544245760 x	@MikeVick Man I can't say I respect anyone more than you. You have handled controversy unreal!  You are the man!  You are the man. Kick butt
1566685974_393178568580427776 x	@MaximusD16 I won't judge -you will be judged. That's what i truly believe. How do know he has no remorse? I see him totally different. Ugh
1566685974_395354539995717632 x	@MaximusD16 @McCueJoseph what do you for a living??  Really.
1566685974_395349420008824833 x	@MaximusD16 @McCueJoseph oh yea and we throw snows at Santa too. Get real.
1566685974_395350349932163072 x	@MaximusD16 @McCueJoseph  balls I meant.  Ugh doesn't sound right.
1566685974_395348664425910272 x	@howardeskin @MaximusD16 if we lost a few more games I'd be there with you. But we are still in it. We are.
1566685974_395345157341851648 x	@howardeskin @MaximusD16 seriously!!  Howard tell him.
1566685974_395344946963947520 x	@MaximusD16 @howardeskin l give you that.
1566685974_395344646895071232 x	@MaximusD16 @McCueJoseph
1566685974_395342714088456192 x	RT @MrHIIILIFE24_7: @mccue_dawn thanks for more music go follow @MikeyyLee?
1566685974_395339616263602176 x	@MaximusD16 @McCueJoseph are you a Philly fan!?
1566685974_395337068450435073 x	Watching the Coven myself. I can handle it. Some really can't. It's scary.
1566685974_395336442370859008 x	@MaximusD16 @McCueJoseph   Actually it is FX whoops.
1566685974_395333295892099072 x	@MaximusD16 @McCueJoseph   I think you watch too much The Coven on AMC.
1566685974_392864273724358656 x	@zaydre19  please help me. This dude is hating on Vic and I'm gonna kick his ass.  So sick of it.
1566685974_395332589403504640 x	@MaximusD16 @McCueJoseph I don't think he's a witch!!  What are you talking about. You don't know me!! Your nuts. Why are you following him?
1566685974_394599812190191616 x	@RoobCSN  not what I want to hear but true. :(
1566685974_394598982535888897 x	@FOX29philly @TMZ   Ugh!
