1864910491_394282163434438656 x	PROTECTED
1864910491_394538410851196929 x	Victor Cruz out of game right now. Getting x-rays on neck.
1864910491_394537421372948480 x	It's only 12-0. Can we PLEASE score?
1864910491_396640132826427392 x	On the bright side, #EAGLES FOOTBALL TOMORROW!
1864910491_396639311623647232 x	#EagleNation, you've been pretty quiet this week. What's going on? #EaglesTalk
1864910491_396354803976388608 x	Brandon Boykin would likely return kicks and DeSean Jackson punts if Damaris Johnson can't go Sunday. #Eagles
1864910491_396354375276584960 x	Connor Barwin (back), DeSean Jackson (ankle), Nick Foles (concussion), Jon Dorenbos (groin) are probable. All will play, Foles starts at QB.
1864910491_396353431340085248 x	Questionable: Chung (shoulder), Damaris Johnson (ankle), Casey Matthews (hip). #Eagles
1864910491_396353165630898176 x	LB Jake Knott (hamstring) doubtful.
1864910491_396353076803940352 x	As expected, Mike Vick ruled OUT for Sunday vs. Raiders.
1864910491_396352652558475264 x	Bill Walsh (2-14), Jimmy Johnson (1-15) were 1st-year losers before champs. Jeffrey Lurie sees similarity in Chip Kelly.
1864910491_396025452336517120 x	Lurie didn't say it directly, but you can imply one thing from his interview w/ Geoff Mosher. He hopes Nick Foles can be the franchise QB.
1864910491_396023218672504832 x	#Eagles owner Jeffrey Lurie says that Chip Kelly has all of the elements needed to be an outstanding NFL head coach.
1864910491_395986519099711488 x	DeSean Jackson (ankle), Donnie Jones (left foot), Casey Matthews (hip) and Michael Vick (hamstring) were all limited for the #Eagles.
1864910491_395945911186391040 x	LB Jake Knott only Eagle not practicing today.
1864910491_395940608386551808 x	DeSean Jackson tweaked ankle yesterday, Chip says he will give it a shot today.
1864910491_395633217048678400 x	We will always love you, Allen Iverson.
1864910491_395622487209562112 x	DeSean (ankle), Donnie Jones (left foot), Casey Matthews (hip), J. Peters (shoulder/finger), Thornton (knee) and Vick were limited today.
1864910491_395596667506147328 x	Chris Polk, Damaris Johnson, Jake Knott out of practice today.
1864910491_395596474173906944 x	Chip Kelly on long-term QB situation: "It's a disservice to our fans if I'm thinking about who our QB is next year."
1864910491_395595965241241600 x	Chip was asked if QB instability is going to be more or less permanent. "God I hope not" he says.
1864910491_395595501816791040 x	Chip also made it official, Foles starts Sunday. #Eagles
1864910491_395595223059169280 x	Chip said that MRI on Michael Vick revealed that hamstring strain was on same spot as first injury. Obviously, he's out for Sunday.
1864910491_395594508030971904 x	Chip Kelly said Sopoaga trade was designed to get younger players more snaps - Geathers, Logan and Square.
1864910491_395552920084971520 x	Rookie Bennie Logan now listed as starting DT (AKA nose tackle) on #Eagles depth chart.
1864910491_395382483426217984 x	RT ?@RoobCSN: With Sopoaga gone, Cole (122) now has most career starts on Eagles. DeMeco (110), Vick (109), Herremans (108), Peters (105).?
1864910491_395294720110628865 x	B. Logan, Clifton Geathers will see increased playing time at DT with Sopoaga gone. Damion Square will likely no longer be healthy scratch.
1864910491_395293631235756032 x	Isaac Sopoaga signed a three-year, $12 million deal with the #Eagles on March 12, 2013. Now he's in New England.
1864910491_395279029479440385 x	Former #Eagles WR Freddie Mitchell sentenced to 3 years in prison in tax-fraud case.
1864910491_395278449692405760 x	Trent Cole: Fans keep us going. It's part of the motivation. We're all together in this.
1864910491_395277941216903169 x	DeSean Jackson: As an offense, I think we just have to go back to the basics... Play together and just do the things we need to do.
1864910491_395277769439182848 x	Return of Nick Foles. #Eagles http://t.co/zPBi5BRv97
1864910491_395277137764433922 x	WR Damaris Johnson, RB Chris Polk, LB Casey Matthews did not practice today. #Eagles
1864910491_395276749996826624 x	Bill Davis: There's a handful of guys who have made a steady improvement, including Nate Allen... One week at a time he's gotten better.
1864910491_395276466273128448 x	Bill Davis: Terrelle Pryor most mobile QB Eagles have faced, makes you say "wow" watching film.
1864910491_395276286782078976 x	More on trade: #Eagles sent 2014 6th-round pick to New England along with Sopoaga. Received 2014 5th-round pick.
1864910491_395275871441141760 x	Pat Shurmur: We've gone over Dallas tape with Nick. Sometimes you just miss throws.
1864910491_395275388873891840 x	Official: #Eagles will trade DT Isaac Sopoaga and draft pick to New England for a higher draft pick.
1864910491_395274750177869824 x	Nick Foles (concussion) returned to practice today, and had a "great" day. Will start Sunday vs. Raiders. #Eagles
1864910491_395274289571958784 x	Reason for optimism this week: Raiders special teams are coached by Bobby April. Was #Eagles special teams coach from 2010-2012.
1864910491_395273491588874241 x	Trade deadline is in 20 minutes. #Eagles are on verge of trading Isaac Sopoaga to New England.
1864910491_395025540828393472 x	In case you missed it: Nick Foles will likely start Sunday vs. Raiders. #Eagles
1864910491_395026291843690496 x	@howardeskin RT ?@PHISportsPhans: @GoEaglesNation Where did you hear that??
1864910491_395014373951168513 x	Nick Foles will be back at practice tomorrow, likely to start vs. Raiders. (Via @howardeskin)
1864910491_394957756798889984 x	Howie Roseman show: WIP caller is "bored out of my mind" and says Chip needs franchise QB. Howie "understands where you're coming from."
1864910491_394898442235183104 x	Chip: You have to look at the injuries when you weigh the QB position going forward.
1864910491_394898130015371264 x	#Eagles defense is one of two NFL teams to hold opponents to 21 points or less in the last 4 games.
1864910491_394839193618481152 x	Chip said on WIP that Barkley is healthy, doesn't think Vick will be ready to go for Sunday, and needs to see where Foles' status is.
1864910491_394642015893598208 x	PROTECTED
