99155416_396121859319529472 x	I judge people based on their admiration for candy corn...which sucks.
99155416_396096993610592256 x	So Paul Rudd is in Halloween 6... haha wow
99155416_396093992342790146 x	Dr. Loomis may be more horrifying than Michael Myers himself.
99155416_396096379795161088 x	@RealDrLoomis hahahaha holy shit. that was awesome
99155416_396095990941224960 x	For a guy who doesn't run, Michael Myers is very fast.
99155416_396091946512297984 x	If the 'Halloween' movie series had any other name, it would make a hell of a lot less money on this day every year
99155416_396090383358119936 x	"Steve, what are u gonna be for Halloween?" "Bro, I'm gonna be a sleep-deprived kid who abuses over-the-counter medication to fall asleep."
99155416_396080211533377536 x	Steve Downie, on arguably the best team in the NHL..goes to arguably the worst in the PHI. Meanwhile, Talbot had 2 pts in 11 gms; goes 2 COL
99155416_395904716422778880 x	The Red Sox must have done something really good...@E_Kaufman has sent 23 snapchats in the last 4 days.
99155416_395880166280691712 x	"More tricks than treats" is the most used phrase on television news today... Listen out for it nationwide.
99155416_395879144149749761 x	Today, we remember something special...@maxgongaware's 2009 Halloween costume...a traffic cylinder he temporarily stole & cut arms out of.
99155416_395878731551887360 x	Great...now Joe Buck will be back on NFL on FOX... @MBarkannCSN @GovEdRendell @36westbrook @LesBowen @RoobCSN @tpanotchCSN
99155416_395718903776550913 x	RT @PhillySportPast: INSTANT HISTORY: @MCW1 of the @Sixers just set an @NBA record with 8 steals in his debut. #SixersTalk
99155416_395692517980921856 x	RT @BoopStats: When was the last time the Eagles led, 19-0?
99155416_395692357120569344 x	Haslem and Mario Chalmers have been put on the bench. 76ers start 19-0 vs Heat
99155416_395691872040927233 x	76ers start 15-0 against Heat
99155416_395690637313327104 x	9-0 76ers over Heat to start the game...
99155416_395690155995967488 x	"Introducing your starters for today's 76ers-Heat game...Evan Turner, Michael Carter-Williams...taking on the All-Decade team."
99155416_395679427025063936 x	It's amazing how much of an impact the media has. Because of the media, a lot of people don't like Allen Iverson. It's a real shame.
99155416_395677266501726208 x	RT @alleniverson: Philly I'm back!!! #FromAIWithLove ... #TheAnswer http://t.co/KrN1axDp7w
99155416_395667596093059072 x	?You used to think the suspect was the guy with the corn rows, now you see the police officers with the corn row." -Allen Iverson. love 'em
99155416_395643191417790464 x	I miss those Sprite 'Sublymonal Advertising' commercials that used to make me cry.
99155416_395636518204612608 x	I haven't slept for more than 4 straight hours on a week day...in one month... That's not very fun.
99155416_395551633246932994 x	The Jersey Shore episode of It's Always Sunny just started...
99155416_395551536194940929 x	@brosephjunior don't call him trashy...that's my dude. how's he trashy anyway? That sounds like racism to me...
99155416_395538844491460608 x	RT @maxgongaware: "Sometimes I have to go pee pee and poo poo at the same time, but sometimes I don't." -Astute Kindergartner
99155416_395538485412909056 x	RT @corrado_19: Watching the #Sixers lose by 50 then switching to Shane Victorino popping champagne at Fenway. Welcome to the the Terrordom?
99155416_395333625119379456 x	RT @AdamSchefter: Browns placed WR Travis Benjamin on IR and signed WR Armanti Edwards.
99155416_395333417203552256 x	RT @RoobCSN: When I told Freddie in 2009 that he had two of the top 20 plays in my book, "The 50 Greatest Plays in Eagles History," he said?
99155416_395298604027375616 x	Follow request for Elon Hall of Famer, known to many (maybe just me) as the People's Quarterback, Scott Riddle...still pending.
99155416_395291489372090368 x	RT @CourierTimes: ICYMI: Pennsbury grad Pepper looks for strong senior year at Temple: http://t.co/VwTPkrxD71
99155416_395283376870924288 x	RT @BoopStats: Vegas Vic has the Sixers over/under for wins at 17.5 ... The Eagles have a better chance of reaching 17 wins this season tha?
99155416_395267609316163584 x	4th and 26...and 37 months in prison. http://t.co/0YKLY58Roa
99155416_395266558102360064 x	RT @caplannfl: Ex-NFL player Freddie Mitchell gets 3 years in prison in tax-fraud case: http://t.co/RwcwRpwxVM
99155416_395032719144804352 x	Every house in NC has a vaulted ceiling.
99155416_394969292594098176 x	For a first-hand look at why I think sports shouldn't do division winner-automatic top seeds for playoffs, google, "NFC East."
99155416_394963271511318529 x	Devin 'The Don' Donnelly would make a great team mom...
99155416_394961798686048256 x	RT @DNFlyers: The Flyers are 2-0 since Ed Snider met Pope Francis last week. Have their prayers been answered? http://t.co/n0MxIKo8dj
99155416_394948160176807937 x	RT @36westbrook: By far the hardest part of my job is talking negative way about guys you really care about!! But as an objective analyst, ?
99155416_394944083312930816 x	Right now, Elon senior @brosephjunior is a projected early 2nd round pick in the "He could work anywhere he wants to" draft. Could be 1st rd
99155416_394924746766180352 x	Marcus @MVFive Vick hasn't been in the news since the summer. I'd say give him three weeks until he says something about the Eagles... haha
99155416_394923892495880193 x	RT @TonyBrunoShow: Attention twitter! @MarcusBarkleyQB  is NOT @MattBarkley brother. It's a joke account poking fun at Marcus Vick. #comeon?
99155416_394916190025302016 x	Retweet if you've thought about the 'Three 6 Mafia" in the last five years....EXACTLY. zero retweets.
99155416_394920238984097792 x	@rvarner haha valid point
99155416_394917883731378176 x	@brosephjunior just got an e-mail from Athletics- featuring several athletes- including A. Swim...w/ no batting gloves...#IGotPantsOnBigGuy
99155416_394909335320801280 x	RT @buddyguylawson: General paranoia regarding your Tinder account #WhiteGirlProblems
99155416_394568633684213761 x	hahahahahha had to wait all the way until 4:57 to hear about Godzilla from the @GovEdRendell hahaha @MBarkannCSN @36westbrook
99155416_394565672845328384 x	@36westbrook- doin a great job on post game today sir. Keep that up!
99155416_394564508804345856 x	@MBarkannCSN I'd like to see @TheRealDGunnCSN interview more offensive players. D is doing pretty well but I wanna hear from O guys.
99155416_394558511767498752 x	Eagles (4-12 last yr) are 3-5 with new head coach. KC Chiefs (2-14 last yr) are 8-0 under Andy Reid.
99155416_394557908483973120 x	@MBarkannCSN: RT @TonyBrunoShow Ed Rendell, who paid fans to throw snow balls at the Vet, rips fans for booing this shit show? #wow
99155416_394557597992640512 x	RT @TonyBrunoShow: Ed Rendell, who paid fans to throw snow balls at the Vet, rips fans for booing this shit show? #wow
99155416_394557547069190144 x	Eagles Head Coach: "We gotta do a better job." haha Sounds like another guy I know...
99155416_394554177596039168 x	The NJG have allowed the 2nd most PPG this year, in the NFL. The Philadelphia Eagles just scored zero offensive points against them.
99155416_394553854831775744 x	Bright spot: Gov. Ed Rendell says the weather was nice...
99155416_394537065221615616 x	@RoobCSN I was wondering the same thing haha how's he gonna do that last week, then defend this one?
99155416_394536883692118016 x	Bradley Fletcher with a Brian Dawkins suplex... that injures Victor Cruz haha love it. Suplex > Salsa Dance.
99155416_394532804958388224 x	RT @RoobCSN: I'm not sure why, but A.J. Feeley was just introduced at halftime. He does not have a helmet. #EaglesTalk
99155416_394526833456062464 x	We, as Eagles fans, are out of jokes for the season this year haha
99155416_394526430241230848 x	RT @Birds_feed: Matt Barkley standing with offense on sideline; Vick on bench.
99155416_394523516164644864 x	RT @JOrtiz268: I hope he reads all your slander and finds you one day lol @SteveUnoTres: Illegal formation. #72...Justin Pugh... haha
99155416_394520490460450816 x	Illegal formation. #72...Justin Pugh... haha
99155416_394502041508536320 x	North Wrightsville Beach. http://t.co/nC8iWZUklc
