343679423_344175135391088640 x	Getting more from "The Ellen DeGeneres Show" with #ViggleTV   #Ellen #viggle
343679423_396367640765034497 x	@jeanniemai @Mowryfamilyfanp @TheRealDaytime @sallyannsalsano @495Prods @TelepicturesTV YAY! I hope I will be able to watch..
343679423_396359718265831425 x	@TheEllenShow and @DeGeneresTV what is the web address so we can send you emails to the show? I can't find it anywhere. PLEASE HELP!!!
343679423_396356984137474048 x	@TheEllenShow I watch you show everyday. I really wish you could help me and my family out at this time. Looking for a job. I need your help
343679423_396356487745765377 x	@dredajoker yeah your crazy. I knew it! Lol you look like you had fun. What did your shirt say I couldn't really see it.
343679423_395909168692867073 x	@dredajoker I see you downtown with @FOX29philly @Good_Day_Phillyz ypur craxking up!!! Wherr is your costume??
343679423_396355892997672961 x	@dredajoker @FOX29philly lol your crazy.. I didn't know I spelled all those words wrong in my tweet. I was writing fast.. Lol
343679423_395915637211414528 x	@KacieFOX29 ok Kim K. @Qdizzy as kanye lol
343679423_395906202963427328 x	@SheinelleFox29 you go beyonce' @MikeFOX29 ok Robinthicke @JennFredFOX29 ok Miley @SueSerioFox29 as cruela @KarenFox29 Katy perry
343679423_395904393364504576 x	Having been watching my @FOX29philly phamily... I love watching this morning! I'm in here cracking up at these costumes! I LOVE THEM!!
343679423_395584860082810880 x	@Bethenny please follow and comment on my tweets. Do you really follow or tweet your fans?
343679423_395584581987876864 x	@OMAROSA it was the way you did it. You should have let @Bethenny speak and let her tell you her thoughts, then maybe she would have made up
343679423_395584207092584449 x	@OMAROSA I like you as a person and the things that you have accomplished but it was so defensive. I did like that you wanted to make up but
343679423_395583934987120641 x	@OMAROSA how are you a minister talking the way you are talking. I think that when you went in @Bethenny you were defensive & you shouldn't
343679423_395583536171728897 x	@Bethenny you do have a brand and its your line if Skinny girl, it's you being honest, it's you helping ppl. It's helping ppl with business
343679423_395583233493975040 x	@Bethenny how she call you sweetie then when you say it she gets offended. I wonder if her fianc? was still living would she react like that
