23785401_387214703627616257 x	@midnightmosaic wish I had known about @TheGrapeRoom! That's in my hood.
23785401_382878489978089472 x	@jennyyysue blame the sloth.
23785401_399236471183659008 x	God grant me a treadmill that charges my phone and the balance to crush this candy while I run.
23785401_398809568945254401 x	Yogis can we please ditch #Lulucrombie now?: Lululemon Founder: Yoga Pants Problem is Women's Bodies http://t.co/OSqyrP4Em7 via @HuffPostBiz
23785401_398515069413113857 x	Just got tix for Doctor Who: The Day of the Doctor 3D http://t.co/tngFtDAI1P It's in a decent number of theaters in the area!
23785401_398096521721573376 x	It's beginning to look a (little) like Christmas at @B101Philly! #StockingsForKids #TeamChristmas http://t.co/KKZ0RoQX9H
23785401_397911670414397440 x	"Make a wish" "I'm afraid to"  @NewGirlonFOX is doing a scarily accurate representation of what would happen if I ever met Taye Diggs
23785401_397733891579985920 x	#Radio is 3rd-highest in psychopaths, so there's your career advice, Young Kids With Dreams: http://t.co/BmFVorE4Ju
23785401_395956793714565120 x	As someone whose hometown smells like tomato sauce every Fall: deal with it, Sriracha Town http://t.co/S6EFRQSbPr via @SmithsonianMag
23785401_395950811387559936 x	Warren Zevon is on @B101Philly right now. God bless Halloween. #WarewolvesOfLondon #ahoooo
23785401_395926520147243008 x	Thx I decided to go as myself this year ;) RT @midnightmosaic: @_AndreaDuffy Happy #Halloween the #horns are #hot ;)
23785401_395245550133444608 x	Happy National Cat Day, may your sits always fits. http://t.co/xF0zwOynrN
23785401_395175419865231360 x	What's the correct name to use for shipping Michonne-Daryl? Micharyl? Daronne? #WalkingDead
23785401_394511707798007808 x	I'm at UA Main Street Theatre 6 - @regalmovies for Twelve Years a Slave (Philadelphia, PA) http://t.co/d0IkLTTEb5
23785401_394089592762421248 x	"On All Hallows' Eve, when the planets align, the zombie chairs arise to stalk your office..." (It's a? http://t.co/D6gOsB6aAq
23785401_393751386888093696 x	People pee themselves at @TerrorAtESP (and worse)! Now I feel better about "just" being a crybaby: http://t.co/c8gIXek4Sh via @phillymag
23785401_393028255722512384 x	Sherlock and Downton on the same night! I'll be on my fainting couch till January: http://t.co/F1HLVQJmyO
23785401_392991185783894017 x	Traffic was so bad in Manayunk this morning I was sure I'd see Gandalf on the Green Lane Bridge http://t.co/rBbjtEH4VC
23785401_392647293339697152 x	Already planning a bananas-ridiculous Kimye Wedding Theme Party, not at all ashamed in the least.
23785401_392296666910314496 x	Scenes from #facebookdown '13: http://t.co/E38UrD2dF2
23785401_392290180259782657 x	Heeerrrrrre's your Christmas Music Survey!: http://t.co/neflSgwk2y @b101philly #HappyMonday #vote
23785401_391976402654072832 x	I'm at Hair Cuttery (Warminster, PA) http://t.co/yntRr1ivJP
23785401_391942587281444864 x	#Warminster PA! Come hang w/me & @B101Philly 1-3P at @haircuttery Street Rd: Games/Prizes/Balloon Animals/Impulse pixie cuts #maybe
23785401_391725141647839232 x	While you're watching #TheWhiteQueen finale tonight, remember this is the King Richard who ends up buried under a parking lot.
23785401_391646401148772352 x	I just earned the 'Beer Party' badge on @untappd! http://t.co/z6Rc6ogpmb
23785401_391626915872010240 x	First to brunch, so lets see how many beers in I can get before everyone else shows. (at @KhyberPassPub w/ 7 others) http://t.co/CFe8RI6waR
23785401_391611450453925888 x	Is this the narrowest row house in #Philly? @ silverwood street http://t.co/vLtQ5DYFqH
23785401_391598936588570624 x	Actually, men at the gym, walking up to a woman you don't know and asking her how much weight she's lost is a TERRIBLE IDEA #TheMoreYouKnow
23785401_391301252342349824 x	Congrats to New Jersey, the latest #Equality state! C'mon PA, lets shock the pants off everyone and be the next one.
23785401_391201090513162241 x	This is very important/accurate RT @The700Level: Tastykakes, ranked http://t.co/eGQrqp7vpd
23785401_390839218903457792 x	RT @PhillyInquirer: Independence Hall, Liberty Bell to reopen at noon for tours http://t.co/NRZVyWxfrq AccessCode C24Z
23785401_390836323135004672 x	We're purple for #SpiritDay on @B101Philly! http://t.co/XVBqKTLb0a
23785401_390823129213599744 x	Where's the petition I sign for a Stevie Nicks cameo on American Horror Story?
23785401_390668408393826305 x	I'm good watching #AmericanHorrorStory before bed but I CAN NOT EVEN with those opening credits. #fastforward
23785401_390511064871600128 x	RT @pourmecoffee: This should really end with a giant Monty Python foot crushing the Capitol.
23785401_390488178333069312 x	The only way I'm making it through today is to keep asking myself: "What Would Olivia Pope Do?"
23785401_390171778347061248 x	I like @Tinder for all these reasons, but whoever says they don't get junk shots is a lying liar http://t.co/JFfE8uuuW4 via @thecut
23785401_390159431440162816 x	Movie Tavern is coming closer to Philly; it can't get here soon enough! http://t.co/uINIVK1MQR via @phillydotcom #drinks #flix
23785401_390115930078191616 x	Tina and Amy are hosting the Golden Globes in 2014 AND 2015! And then I guess running for Prez in 2016 or why not just lock that in forever?
23785401_389799025269940224 x	In the canon of Open Letters to Miley Cyrus, Sufjan Stevens wrote the best/most hilarious/perfect one: http://t.co/gmDi6vtVma via @EW
23785401_389764223506841600 x	Yunk/Rox peeps FYI RT @thephillydog: Please keep an eye out for Queenie - she's been missing for quite a while :( http://t.co/SPPKfKqcXe
23785401_389433606650994689 x	So nice to be able to watch #WalkingDead this season without the obligatory She's-Not-Like-All-Andrea's Apology Tour afterwards.
23785401_389003931567009792 x	@midnightmosaic werrrrkinnn. It's my weekend airshift week.
23785401_389124708333281280 x	@midnightmosaic 2
23785401_389095102150635521 x	The weight room music at the gym is set to "70s Porno Soundtrack" again. It's...motivating.
23785401_388663673545175040 x	"Why won't you listen? I have so many ideas to make us work! I need my cat/panda back!" Drunk-dial your ex OR http://t.co/2sNFRNxAHo #same
23785401_388282675779604480 x	Based on the foot traffic in my neighborhood, the 7:50 Norristown inbound is the Hot Man Train. Damn I wish I took SEPTA.
23785401_388073292147728384 x	Can. Not. Wait. for #AmericanHorrorStory Coven tonite! And for the subsequent hours trying to sleep with the lights on...
23785401_387563917633150976 x	@midnightmosaic mornin'! ?
23785401_387567124136595456 x	@midnightmosaic another beautiful day at The Bee!
23785401_387580123421368320 x	@midnightmosaic 9a - 2p
23785401_387583725682565120 x	@midnightmosaic we don't stream. :( you're not anywhere Philly metro?
23785401_387580001941336065 x	Two things I spend my day defending my love of, mashed up for convenience: Miley + Mumford - Little Wrecking Ball: http://t.co/yxuywvVqZH
23785401_387202252597108736 x	@midnightmosaic hanging with Philly on the midday shift at @B101Philly! Doesn't get any better :)
23785401_387206114049531904 x	@midnightmosaic we're Adult Contemporary (so: Hits). Where'd you play in Philly?
23785401_387384776262709248 x	@midnightmosaic nice! :)
23785401_387221598945951744 x	RT @DunkinPhilly: Coffee break? Remember "@Eagles Win.You Win" Free Med. Coffee coupon on DD App TODAY in Greater Philly Area! http://t.co/?
23785401_386880494392332288 x	@midnightmosaic lovin life! U?
23785401_386926043225153537 x	@midnightmosaic yoga master class! #SoFun #Bendy
