725322121_394611658720419843 x	@StarMomager thank you so much! Means a lot!
725322121_392724292602851328 x	@gloriaburgess Thanks for the story!
725322121_390961239217545216 x	@NorthernRags same to you!
725322121_396130206911434752 x	@LAClippers are playing now! #tbt me and @deandrejordan @blakegriffin32!!! #LA http://t.co/WSCWwR19LX
725322121_396123561196134400 x	RT @DONTJIMMYMEJULZ: Happy Halloween guys! - Now quit reading tweets and go out there and bury someone alive.
725322121_396122692329275392 x	RT @lizcomedy: Next Grin & Barrett Show on November 7th.  Grisley Pear 7pm.  Free show.  Great comedians!  Awesome energy.  Free raffles.
725322121_396027833220202497 x	#tbt Just to think wearing a hat indoors was shunned upon not to long ago! I remember restaurant staff always asking me to take my hat off!
725322121_396022417044164608 x	My latest published bio!  What do you guys think? http://t.co/T1ffFXh5dG
725322121_396023956181762048 x	@Paradoxkid Thanks for the support!!! Means a lot!!!
725322121_395926018801688576 x	????????  HAPPY HALLOWEEN!  ????????  ?????????????????????????? My ABSOLUTE HORROR photo ???? #solofan #dad #live http://t.co/lNpeSU6ShL
725322121_395921202385911809 x	"I think the team that plays best is going to win." - Football commentator playing it safe.
725322121_395811222815121409 x	I'm a great shooter! One time I hit the side of the barn! #RealStories
725322121_395804525631504384 x	"The first step to loving others is to love yourself." - Me  #Truth
725322121_395714384715980800 x	My vicious dog!!! Rawr!!! #WatchOut http://t.co/lCuzQ0DqDK
725322121_395615592821977088 x	Can't put down the UCB Comedy Improvisation Manual written by @MattBesser @mrmattwalsh and #IanRoberts!!! Must Buy! http://t.co/FCjiX7u6NG
725322121_395606793893584897 x	RT @UCB_Workplace: Humor is an unsung leadership skill, says @forbes: http://t.co/Zy25ekBXy9
725322121_395586577356713985 x	One time, I tried testing my attention span... But I gave up after a few seconds. #TakeTheTest
725322121_395441422356074496 x	I'm an idealist. I don't know where I'm going, but I'm on my way.
725322121_395442843201703936 x	@ingrediments Vegas?
725322121_395442679615471617 x	@nickanderts True that!
725322121_395440434572304384 x	It's better to have a small group of friends that are positive and supportive, than a huge group of haters. #LoveDontHate
725322121_395435512967614464 x	There are no limits on SUCCESS. #HardWork + #Dedication = #Success
725322121_395403467805573121 x	@LaKidWise  Congrats!
725322121_395393332345466880 x	When someone tells you about how great something is.. But you end up finding it terrible... #ALotOfStuff
725322121_395390984130818048 x	RT @ThelIluminati: The less you worry about what people think, the less complicated life becomes.
725322121_395375432226181120 x	RT @AnnaLakomy: @IBReynolds thanks for the follow! i love how you're a black belt ambassador against bullying ;) they dont' stand a chance!
725322121_395322180885417986 x	@RealMiguelCotto   Happy Birthday, Champ, and best wishes for a great year to come! http://t.co/MUdHMewWWY
725322121_395216883596554241 x	?@NutShotzFTW: @IBReynolds aren't you like famous or something? Your name sounds familiar xD? - One Day!
725322121_395213656184467458 x	@GTVARGAS1 Thank you!
725322121_395168223877812226 x	RT @40billion: "As we look ahead into the next century, leaders will be those who empower others." -Bill Gates http://t.co/fR8oJQLScs
725322121_395051900380274688 x	Never let anyone get in the way of your goals! Only YOU can be YOU, and nobody in the world can be YOU better than YOU!!! #YOU
725322121_394868616983613441 x	RT @KevinTweeted: The Countless Benefits of Volunteering | MTM Blog http://t.co/HWs4kx4CTN
725322121_394836310151553024 x	RT @traychaney: @IBReynolds 4days left In Oct doesn't mean we stop talking about BULLYING! The anti-bullying campaign  continues http://t.c?
725322121_394826408851017728 x	"Whether you think you can or whether you think you can't, you're right."   - Henry Ford
725322121_394722280233639936 x	Comedy comes from the things we find least funny. That's the key! #KeepItReal
725322121_394707229443518464 x	@ASSSSCATLA @gabeliedman  One of the best performances EVER!  You guys Texas Chain Saw Massacred tonight's performance in a good way!
725322121_394706170230763521 x	RT @ASSSSCATLA: Tonight's @ASSSSCATLA monologist is @gabeliedman! http://t.co/PJu8s5nGNv
725322121_394332199605903360 x	When you can't figure out how on Earth someone got a particular job... Sometimes I can name a million people that could do it better... #Why
725322121_394465837148426242 x	@KDILOUIE  John Galt!
725322121_394647035858530304 x	@KDILOUIE  We are!
725322121_394617253968105473 x	All it takes is one person to make a difference. #Truth #HelpTheWorld
725322121_394485159359033344 x	Bullied when I started a new school, it's awesome to share my story with others and help create bullying awareness! http://t.co/QTecOfYgMB
725322121_394611614055288832 x	RT @StarMomager: @IBReynolds to be so young, and to be doing so much already for the world.  #impressive #character Seriously #FF this #act?
