34007204_399439646209224704 x	@SabrinaEGilbert i njoyed myself tonite..first timer thanks for a good time #phillyturntup!!!!
34007204_399437938221518848 x	@SweetSpotNation thank you for busting my cherry!!! First timer nd njoyed every minute. The host was off the chain...see u soon...
34007204_399020095751483393 x	RT @BestofCapricorn: #Capricorn woman have a serious and cautious nature and are not prone to emotional displays. Trust me--they do have a ?
34007204_398463549195821056 x	RT @NeNeLeakes: Pat yourself on the back this morning, Pray over yourself and tell yourself YOU CAN DO IT
34007204_398461855598772224 x	RT @thebravoholic: If you find yourself having a a bad day, just TWIRL. I just did and now my coworkers think I am insane, but hey, I feel ?
34007204_397596139161006081 x	@ReaganGomez for her sake i hope it's all for t.v. if not then she's a fool. Penis can't be that good!!!
34007204_397595695055511552 x	RT @ReaganGomez: This ep of Love & Hip hop?  She can't talk about her marriage...babies 1 month apart...and she 's snitching by talking abo?
34007204_397365946375213056 x	@SheinelleFox29 rookies has been thru "hazing" for a longtime. They did it on #thegame to the new dude...blue.
34007204_393039106285907968 x	@mygirlshirley Ppl opinions...what they thought abt me..
34007204_391753131295395841 x	RT @WomenofHipHop: Oct 21  = TLC movie Oct 23 = Lola Monroe, "Lipstick & Pistols" Oct 28 = LHHNY Oct 31 = Lil' Kim, Hardcore Mixtape!
34007204_391751388016828416 x	Ok @TamiRoman I see u tryna give @DavidTutera a run for his money #itcangorealriteorrealwrong!!! #DavidTutera #DavidTUTera!!!
34007204_391043832579502080 x	RT @MarshaAmbrosius: No!? Put on #AloneTogether and put it on him Liv!!! #Scandal or nah ??? I love this frikkin show man!!!
34007204_389617107685478401 x	@JanelleMonae Wait  i missed it.... :(
34007204_389616501537247232 x	@JanelleMonae I wld njoy a #ElectricTour in #Philly!!!! Please make it happen!!!
34007204_389615690832834560 x	RT @JanelleMonae: What . An. Experience. #Philly #ElectricTour
34007204_387208935318757377 x	RT @LA_Reid: ?People have to forgive, overlook, forget. If we don't we are tying rocks to our feet, too much for our wings to carry!? -JoyB?
34007204_385760160192274432 x	@kerrywashington @ScandalABC IT'S THURSDAY ND CAN'T WAIT TO SEE OLIVIA POPE BAC N ACTION...BEST SHOW EVER!!!!
34007204_380883977940131840 x	RT @shanolahampton: Well @SHO_Shameless fans, just finished reading first two episodes of Season 4 and all I can say is... It is going DOWN?
34007204_367394115178463232 x	RT @DJDocB: For Bookings --> bookings@djdocb.com or 267 719 DOCB (3622) Follow me --> http://t.co/u9aZPb7VLL & Instagram--> DjDocB.
34007204_367147182023270400 x	RT @bevysmith: I see y'all really act up on twitter late at night....interesting in the same way Sharknado was....#ThatsARead
34007204_367144301601775616 x	RT @TrulyCapricorns: If #Capricorn would have treated you the way you treat them, I promise you wouldn't stick around the way they do.
34007204_367086629283840000 x	RT @WomenofHipHop: Lmaooo Erica comebacks are so much better. Just give it up shay...it's embarrassing ??????
34007204_367086336353632256 x	RT @LoveNHipHopFans: Shay is a rat bitch! Lol I'm just saying... #LHHATLReunion
34007204_367085680209309696 x	@MsEricaDixon u shoulda called BUCKY the palace pet kissing momma dee ass!!!
34007204_367083171646423042 x	@KimbleHairCare did u FIRE that UNGRATEFUL HEFFA ANGELA!!! I LOVE UR MOM!!!
