864971269_399580250419773440 x	RT @Eagles: Overheard at Lambeau ... #FlyEaglesFly http://t.co/nbedxwrL32
864971269_399570220894801921 x	@Eagles road trip crew ready to root our birds to victory at the frozen tundra #flyeaglesfly http://t.co/OJ4OaF9K4I
864971269_399361285864714240 x	RT @Eagles: Feeling the love from #Eagles fans en route to #PHIvsGB! http://t.co/1QcZJRLpKB
864971269_399361101999005696 x	@Eagles thanks for being such a special part of our road trip!
864971269_398935796498960384 x	@eagles road trip crew career day at Chicago school for the deaf - inspiring both ways! @EYP taught us well http://t.co/MNbUuz0vBR
864971269_398864099439681536 x	Trying to find the next big thing in #healthcare technology? Look at what people are wearing!  http://t.co/JCrbKG2HzE #mHealth #healthIT
864971269_398846427188580353 x	#Telemedicine: an #innovation whose time has come. Patients and #healthcare professionals can now connect virtually  http://t.co/8MRS5tPpMf
864971269_398824847339290624 x	#Startups and established companies have meet new criteria of #healthcare: transparency, austerity & wellness  http://t.co/onH4lRbV9D
864971269_398548472460083201 x	Too early for spring training? http://t.co/X0kqH5g1se
864971269_398187099297292288 x	Will  #VCs steer #startups toward more effective #mHealth apps? Read more here: http://t.co/BTMpJXecwQ  via @mhealth_news
864971269_398175834680209408 x	@SpitzStrategy Welcome to  Philly, will look out for some posts from the event
864971269_398175326175379456 x	Population  v. #personalizedmedicine: we need to make room for both! http://t.co/ssFhZUEzN0  #healthcare via @mcgibbons
864971269_397809110537609216 x	"Maintain  patient-centric care" one of 5 tips for focusing on the patient, not the  #device: http://t.co/XsDy449NX4 #mHealth
864971269_397795762517467136 x	Agree @DrLen. Being ?patient centered? is a call to  action. How to realize the promise of personalized #medicine" http://t.co/7S8UEfeodx
864971269_397790111653322752 x	Glad to announce speakers from @GSK and @IBX  #PhillyBizForum2013 this month http://t.co/JNKUnZ4XW7 #philly
864971269_397788730792357888 x	RT @PharmExecutive: Can predictive analysis improve decision-making and health outcomes in life sciences? #pharma http://t.co/MOzC1Uwarw
864971269_397779565801504769 x	Incredible  #tech. 3D printing: from novelty to real world #innovation http://t.co/kdkVnVhPQH
864971269_397462394529542144 x	What  should countries do to encourage #entrepreneurship in #lifesciences?  @glengiovannetti http://t.co/xJZKPXnEkp
864971269_397451765861187585 x	Speakers from leading organizations in Philly incl @Phillies @EYP ++ coming  together for #PhillyBizForum2013  http://t.co/lRpXOYXHi5
864971269_397446606846689280 x	RT @marrigo: Mhealth trends: More behavioral health apps but few for disabling chronic conditions http://t.co/Z4JGWvgspq
864971269_397039674926960642 x	"Breakthrough  #innovation can occur anywhere" @GlenGiovannetti's new #EY blog post on  #entrepreneurship in #lifesci http://t.co/xJZKPXnEkp
864971269_396380031674351616 x	clever  #infographic pulling together 40 trends shaping future of medicine @berci  http://t.co/HmuPaplz2f. http://t.co/jgYJDTjTvs
864971269_396362122005053440 x	RT @LucyBerrington: "I'm most excited about which consumer behavior change products fail" ? what doesn't work is crucial to identifying wha?
864971269_396340220410351616 x	Inspired by over 7000 women at #pennwomen conf with our next president?? As keynote http://t.co/xbqnx7VuUZ
864971269_396011891098517505 x	@PhillyBusiness: 800 local business leaders meet Nov 20  at #EY Philadelphia Business Forum http://t.co/QyLJZtshjO.  #PhillyBizForum2013
864971269_396002152490860544 x	@RobertPearlMD  @kevinmd good points, like that perspective. Need to change common mindset  around prevention http://t.co/xYxt2lL43G
864971269_395988237904117762 x	Fresh  ideas for tackling old problems are vital for changing #healthcare via  @KatieSully14 @FierceHealth http://t.co/w7O3e2RDYX
864971269_395644282490474496 x	@PhillyToDo local business leaders meeting at #EY #Philly Business Forum, Nov 20 #PhillyBizForum2013 https://t.co/bVNW3XO1Yj
864971269_395619838418104320 x	Behavioral  motivation - next billion $ opportunity in #healthcare? http://t.co/tttmiRgceo #BE4HC
