270365554_380463613452255232 x	@ShooterMcGavin_ tank for clowney
270365554_396351309026447360 x	Mr. Feeny is very smart with many subjects including art. But he can't help me with my frustration come on topanga
270365554_396350283301023745 x	Reader Email: Upper Darby Is Home To World's Saddest Basketball Hoop - http://t.co/s2Jy1hGoZm grande made it on barstool
270365554_396114414572961792 x	RT @adamskyfalling: Worst October 31st ever
270365554_395778491998031872 x	Anyone saying we won the World Series no you didn't the team you like did you're not on it.
270365554_395692838437937152 x	RT @adamskyfalling: @pohlig24 red jacket green jacket who gives a shit
270365554_395686260867477504 x	@adamskyfalling you're gonna die clown
270365554_395434008924127232 x	@NotHartsy19 it's not cheating if it's under the covers
270365554_395422750426562560 x	If you fart underneath a heated blanket it smells 100 times worst than under normal blankets
270365554_395262246672420865 x	@JusJulean91 hahahahaha yeah
270365554_395262958009610240 x	@JusJulean91 I asked the ud police if they knew of anyone that escaped from there and they said no
270365554_395213642431741954 x	Is it parade day yet
270365554_394556856758059008 x	I love day drinking #darty
270365554_394290345208729600 x	Nothing like a nice cold mgd
270365554_393589655087886336 x	@adamskyfalling I hope grande likes pumpkin beer cause I know I lost the bet and that's what he's getting
270365554_393922380592316416 x	@adamskyfalling you'll get that sometime
270365554_393916266811256832 x	@adamskyfalling no changes. I'm not made of money I can afford shock top
270365554_393899499518976000 x	Anyone know when firellos in Clark's summit closes
270365554_393589136034398208 x	@CHADy_ICE yeah but in the terrible section
270365554_393247029268594688 x	RT @MeatElite: Can't sleep at least #duckdynasty is on
270365554_393177330803556352 x	I love sunflower seeds
270365554_392820921050099712 x	@ManicMandy77 it's seriously who you do it with I drank with good friends and never had a problem it's who you surround yourself with
270365554_392819686288916480 x	@ManicMandy77 all I'm saying is id rather see drinking than hard drugs
270365554_392818575926624256 x	@ManicMandy77 yes I do drink and I graduated from ud and I turned out just fine so it doesn't effect you unless you let it
270365554_392816983638827008 x	@ManicMandy77 I didn't know I retweeted I was to busy underage drinking
270365554_392816717703180288 x	@ManicMandy77 I'm not the weirdo who's concerned with what other people tweet you fucking dumbass
270365554_392815720603852800 x	@ManicMandy77 @UDPolice @ChiefMChitwood not you're weird cause you didn't @ the person who called you weird right @CHADy_ICE
