242421399_381033337852538880 x	@rheahughes i found a video of last nights fight. the view isnt great http://t.co/O0BPq0cY3x
242421399_381032199472300032 x	@AngeloCataldi  David Alers plays for the @DetroitLionsNFL
242421399_371969149188456448 x	@Espngreeny meeter is 3.3 feet vs yard being 3 feet
242421399_368766627158188032 x	RT @olobersyko: I invented a word, snodge, to describe the foreskin. Go give my definition a thumbs up if you like it :)  http://t.co/0O2o4?
242421399_368766610837737473 x	@olobersyko it puts the lotion on its snodge
242421399_366907888951754754 x	RT @MichelleDBeadle: Apparently not washing one's hair for 4 days does not lead to sweet dreadlocks. #science
242421399_359420392420945920 x	RT @iamrickyhoover: Always love good reviews on #yelp this one is soooo awesome! http://t.co/64ii4QdaxE
242421399_356516895802920960 x	RT @MattyMullins: Just a few folks in an amphitheater :) I love you guys so much! #philly http://t.co/1G22RgtpZv
242421399_356445881857347588 x	RT @coreytrivium: Watching dudes rocking out and high fiving to Taylor swift is the gayest thing ever
242421399_353918112862715906 x	RT @NiceAssYogas: http://t.co/nfklFsniiJ
242421399_353544396341383168 x	RT @babesdaiIy: Rt or you're gay... http://t.co/388EnwZrTu
242421399_353362136031965185 x	RT @AdamSchefter: Brett Favre thinks Dwight Howard is really indecisive.
242421399_353222655698153472 x	@TylerCarter4L @_scoutLA @therettes fuck all the hate You guys are unique nd bring another dimension to this music and i love it #Hooligans
242421399_353155973361725440 x	RT @MyDickIsCalled: I call your girlfriend Pinky Toe. I bang her on every piece of furniture in my house.
242421399_353155385932259329 x	RT @MyDickIsCalled: My dick is called Nintendo Cartridge. Girls blow it before they stick it in.
242421399_352802978333339649 x	RT @NatePlay60: Guys it's okay, they're just fireworks. Aaron Hernandez is still in jail.
242421399_352719799144546304 x	RT @aaronmatts: Who's getting stoked for our new album?!
242421399_352236518187872257 x	RT @ManlyAsshole: You weren't meant to be in the kitchen? Then why are you filled with milk and eggs?
242421399_62011122366164992 x	#drinkinbeer at #mycrib
242421399_351837083981193220 x	@FRONZ1LLA  bought it at midnight  as soon as it came out homie! Sickest shit ever! #fuckaillegaldownload http://t.co/5wXwl0FvnV
242421399_351829706775068672 x	RT @FRONZ1LLA: Ey homies: Hook your boy up with a Retweet! Our new CD just came out Tuesday, hit this link and grab it on iTunes ?  https:/?
242421399_351828769893396480 x	RT @ATTILAga: Maybe if more people purchased our CD instead of illegally downloading, we could be on all of Warped! It helps more than you ?
242421399_351759910217859072 x	RT @BestOfYT: http://t.co/Oicqyinjfq
242421399_351137207769251840 x	Tonight.. @abrband is going to carry me they this shitty night at work. Cant wait for july 12th!! @VansWarpedTour http://t.co/CL7uqZ1SSg
242421399_350415928019779584 x	Damn @Jrue_Holiday11 i aint ready to see you leave @Sixers . Loved watchin you play i wish ya the best of luck with the @PelicansNBA
242421399_350161189084475393 x	RT @BurneyDinesur: if u RT diz ul becoem an puerpl dinesur
242421399_349407418091978752 x	RT @BurneyDinesur: an aple a day keps teh fagets awey
242421399_349407075350216704 x	?@therettes: You guys liking the new flippen real world? ?? Omg hilarious!! Love you guys
242421399_349405070812643328 x	RT @issues: Dat nu #FlippenRealWorld http://t.co/pQBPGTBGiF
242421399_349392241590161408 x	@ATTILAga @FRONZ1LLA @chrisATTILA @attilanate @AtTiLaSean @kalanAdamb #AboutThatLife get it right now #dopeasfuck http://t.co/bEhLvzq8r6
242421399_349388858716209154 x	RT @OoohBurn: http://t.co/qbQuU4BkeT
242421399_349367534677532676 x	@FRONZ1LLA bout to go and make sweet love to this album. http://t.co/eCxvJXhd4X
242421399_349364876726124545 x	RT @notbryzgoalie30: what is everyone watching 2nite? animal Planet special on black hawk birds??
242421399_347937523525369857 x	RT @TelleTWA: I'm not a heat fan or a bandwagon dude, but LBJ hate wagon just got silenced. One of the best players of all-time. Just enjoy?
242421399_347602443284144128 x	Time for some @DreamonDreamer1 and bed. Work at 10 am ?
242421399_346319252447436800 x	RT @FRONZ1LLA: If you don't eat beef jerky, fuck you
242421399_345630024029843456 x	RT @AKGrin: Still can't stop listening to new BMTH
242421399_345023568276488192 x	RT @FlyersNation: @AaronRodgers12 You should grow a beard for the next NFL Playoffs.
242421399_345023533992259587 x	RT @AaronRodgers12: This playoff hockey is a great watch.  #amazingbeards #
242421399_215438752569491456 x	ATTENTION EVERYONE!! Go support @TheWordAlive  and theyre front man @TelleTWA and buy the new cd #LifeCycles theyre simply amazing!!
242421399_163390258480816128 x	RT @MikeVick: RT @CutonDime25: Pro bowl mad fun ... N Hawaii is great ..... But next year I want to b playing n the super bowl bet that- ...
242421399_162697641472434178 x	@C_Giroux28 first pick tonight in the fantasy draft? You and @Hartsy19 on the opposite team? #girouxhartnellrivalry lol
242421399_161862193124614144 x	@realbobrovsky..your the man bob! You deserve to be #1 goalie on this team, way batter than bryz. Keep up the great work. #Futurehalloffamer
242421399_158892269397737473 x	RT @KingJames: Man I'm seriously addicted to #TempleRun #GameApp
242421399_102832114852048896 x	#replacebandnameswithpancakes  Avenged Pancakes Bullet for my pancakes Suicide pancakes Pancakes shall perish The devil wears pancakes
242421399_102830794522902529 x	RT @merabloom: #replacebandnameswithpancakes Pancakes Sevenfold <3 LOL
242421399_97120418367934464 x	Im loving all of the moves that the @Phillies nd @Eagles r making/ made. Now they just gott get my man @DeseanJackson10 sign. He deserves it
242421399_90017989277138944 x	@xB_A_Dx 56 more days til what!? Ur birthday!?
242421399_88941795974717440 x	RT @BenAfuckingA: Our next fucking album is going to be filthy, unapologetic MAYHEM....I'm writing the next generation of heavy fucking  ...
242421399_88939928498610176 x	RT @MitchLuckerSS: 6 more till our new record #TheBlackCrown hits stores & itunes who's picking that shit up!?!
242421399_88939900010901505 x	@MitchLuckerSS I pre-ordered my copy of #TheBlackCrown the day the pre-order sales started. Can't wait to listen to it and fuck shit up!!!!
242421399_86611982635106305 x	@xB_A_Dx aye girrrrrrl ;)
242421399_79065470623424512 x	#SwampPeople is my shit!
242421399_77592287563091968 x	@SteveHughes728 nd @xB_A_Dx is my maybe negros!
242421399_77526616967872512 x	I love @xB_A_Dx #shemyboo
242421399_67391808287678464 x	@blakegriffin ill take the bulls n ill also take the celtics in game 7 with the grizzlies winng in 6. Don't sleep on the grizzlies
242421399_66405728130314240 x	#illpunchyouinthefaceif you don't get on ur knees n lemme blow on ya face! Lol
242421399_63025002680823808 x	Let's go @NHLFlyers! Fuck them garbage ass sabers up! #StanleyCupChamps!
242421399_62860480976388096 x	#tragicmoviedeaths vin deasel in saving private ryan
242421399_62859674512400386 x	@Thepresidentcb Wat kinda move u think will happen?
242421399_62691279217238016 x	#tragicmoviedeaths everyone that died in Takers. Lol sike na, who cares about chris brown
242421399_62584099449217025 x	RT @MLBStatoftheDay: Roy Halladay has struck out 39 and walked 6 over 37 1/3 innings this season.
242421399_62489753513230336 x	#DontHollaAtMeIf it smells like u just whipped ur ass. Girl u gots to #KeepItFresh
242421399_62285656247910400 x	Congrats to @Phillies, @Sixers and @Flyers!
242421399_62155512581591040 x	#stayawayfrommeif you got more hair on ur ass than I do
242421399_62022640835117056 x	Damn. Stomach hurts. #droppinduces on #theshitter
242421399_61975928422674433 x	@ErnestoRiveraJr Haha thank you. Hopefully its nice so we can get our #teamkobe on tomorrow
