374187305_392984084894720000 x	@piomandato who you got pio? How many games?
374187305_393183161112625152 x	@piomandato pio I swear I meant to send this earlier but sox in 7
374187305_392822875096633345 x	@jreds79 Guinness does sounds wonderful right now
374187305_391914739636649984 x	RT @ShaneVictorino: #BostonStrong
374187305_389866573030522881 x	@jreds79 hey Jen I would love to meet you in person sometime talk p&s among things, what do you think?
374187305_389020988887040000 x	@laina622 if you were my teacher if have the biggest crush on my teacher
374187305_387200542289956864 x	@PrestonSteve933 @xfinity_tv what if we don't have xfinity? Is there still a way to watch them?
374187305_386494967537221632 x	@lindsey_hetrick so I'm guessing that's a no?
374187305_386310060625780736 x	@allisonmack I hope you have a good one too Chole!!! -From Smallville's #1 fan
374187305_386080817547870208 x	@PrestonSteve933 daily rush for not your average listeners?
374187305_385870714454024192 x	@MeetatMacLarens my brother and i in 2002 #SuitUpDay http://t.co/PtIQB9taBr
374187305_385226582941782016 x	@NickMcIlwain1 nick I agree btw I'm not your average listener Pete, it's like the Phils in '07-'08 back in the playoffs since '93
374187305_384349729540558848 x	@lindsey_hetrick am I crazy enough to think that you would grab a coffee with me sometime?
374187305_383425716781465601 x	@jreds79 Thanks I appreciate that I hope your having a good evening
374187305_383412388315557888 x	RT @lindsey_hetrick: @retro46kroz thanks so much, Peter! I'm super excited about it! :)
374187305_383312808210747392 x	@lindsey_hetrick little late but congrats on getting the spot in the calendar for @PrestonSteve933 !!!
374187305_383089734777831424 x	RT @jreds79: @retro46kroz just to let you know, I voted YES!
374187305_382915472166883328 x	@jreds79 thank you very much!
374187305_382915164816678912 x	@lindsey_hetrick thanks for the kind words I appreciate it
374187305_382374574496559104 x	RT @HIMYM_CBS: Once more for your viewing pleasure! #SpoilerAlert #HIMYM .@JoshRadnor http://t.co/urmYJfgTul
374187305_382295592736526336 x	RT @HIMYM_CBS: Dun dun DUNNNNNNNNNNNNNNNNNN
374187305_380864708108353536 x	RT @phillyphan108: Come the fuck on
374187305_380857525371154432 x	RT @InsideNFLMedia: "I thought the Eagles fans handled [Andy Reid's ovation] with a touch of class & I'm proud to say I am from this great ?
374187305_380830933555101696 x	RT @BleedsOnB: If fans boo McNabb during his retirement ceremony then we just make the national media seem right about us. Don't do it.
374187305_380731784205697024 x	Thanks @donovanjmcnabb for being my hero in my childhood I am so happy for what's going on tonight for you #EaglesHonor5
374187305_380731085120106496 x	RT @ThorMovies: #JaneFoster (Natalie Portman) returns in this poster for @Marvel's #ThorDarkWorld from @POPSUGAR: http://t.co/daczhCj63F
374187305_379652837661499392 x	RT @mor100: Agreed, my friend!  The "Arkham" games are frigging phenomenal! RT @retro46kroz @mor100 Steve I can't wait for arkham origins f?
374187305_379575836137254912 x	@mor100 Steve I can't wait for arkham origins for Xbox 369
374187305_379295049248690176 x	RT @36westbrook: Great pregame show !! Now just need the birds to get things going!!  #FlyEaglesFly
374187305_378535881763999744 x	@MsKristinKreuk for that my crush on you has gotten so much bigger
374187305_377558547053420544 x	@brrridgeasaurus how have you been the past 5 years?
374187305_377242412009390080 x	@AntoDaBoss aaaaahhhhhhh
374187305_377216539998826496 x	#FlyEaglesFly wooooooo
374187305_377213109129465856 x	@AntoDaBoss got lucky for your first td of the season so don't go nuts if you think you deserve it
