204578277_396778913843539968 x	My liver told me no not again. FLYERS
204578277_396769240851955712 x	10 dudes smelling candles at Yankee Candle store. And no ladies around. Is the world ending. Craziness.
204578277_396767408704479232 x	RT @FlyersNaSchenn: Wow Emery in net tonight. This club is trying to eat my liver at even faster pace than usual.
204578277_396765867993989120 x	@SEACRESTOUT  Yeah what was going on ? People hate on the Flyers beat it.
204578277_396764830725832704 x	@save_thekilling  impressive since it's not on right now.
204578277_396763749295869952 x	Slayer and Black Sabbath wmmr...
204578277_396750486193586176 x	@GutterTheGreat @NHLFlyersHockey @dmaco215  miss him !
204578277_396753647025266688 x	@dmaco215 @GutterTheGreat @NHLFlyersHockey  is it Homer or is it Snider? It's a mess.
204578277_396755155120824321 x	@dmaco215 @NHLFlyersHockey @GutterTheGreat  Snider is the gate keeper. So we gotta suffer.
204578277_396756686616399872 x	@dmaco215 @NHLFlyersHockey @GutterTheGreat  I dread watching in a few hours. How bad can it get ? They need to pay fans at this point.
204578277_396757386045964288 x	@GutterTheGreat @dmaco215 @NHLFlyersHockey  oh no you poor man lol.
204578277_396758095256616960 x	@GutterTheGreat @dmaco215 @NHLFlyersHockey  Hahaha.  My liver told me to pick a new team.
204578277_396757931771060224 x	@dmaco215 @NHLFlyersHockey @GutterTheGreat  Same here ! Lol I can't take this team anymore.  At least the bar is entertaining.
204578277_396756785929150464 x	RT @FlyGoalScoredBy: It's Saturday night. Let's get drunk and make terrible decisions. Like watching the Flyers.
204578277_396755736237465600 x	@BelieveInZito  Bars rob people of that extra hour.  Kicked out at 2 not 3.
204578277_396756412317319168 x	@BelieveInZito   Tell about it lol. Anarchy.
204578277_396755874003570688 x	@TonyFan1420  I know hysterical.
204578277_396755425024278528 x	RT @FlyersNation: Martin Brodeur has a .879 SV% in six starts.
204578277_396754601187508224 x	@dmaco215 @GutterTheGreat @NHLFlyersHockey  oh for sure. Someone needs to tell him it's 2013 different game now.  Move on.
204578277_396754319883915264 x	@GutterTheGreat @dmaco215 @NHLFlyersHockey  Homer is turning into a Clarke. Will Hexy be next ? I don't think it will matter.
204578277_396752563712057344 x	@dmaco215 @GutterTheGreat @NHLFlyersHockey  they need new scouts period.
204578277_396753957890318336 x	@dmaco215 @GutterTheGreat @NHLFlyersHockey  excellent.  I love that one.  I think Pronger coming into the scouting realm will help too.
204578277_396753406880391168 x	@dmaco215 @GutterTheGreat @NHLFlyersHockey  man at this point what can we do? Terrible.  Now Downie hurt.  We can't win.
204578277_396750099730411520 x	RT @CrossingBroad: No shit. We saw the game ?@howardeskin: Fighting not #flyers friend. That how I?m told steve downey suffered a broken bo?
204578277_396749869546995712 x	24 I can watch that show until my brain oozes  out of my eyes. We need a Jack Bauer for real.
204578277_396746551982559235 x	Secret State looks pretty good.
204578277_396746135882465280 x	@terilyns68  amen lol.
204578277_396745555642421248 x	Wow new show Black Mirror on Direct tv audience network has some Fringe like story lines. Starts Nov 12.
204578277_396743148841730048 x	@Gymrat_01 @FlyGoalScoredBy  Hahaha . You're lucky tonite.  Everyone is hurt.  I need the hard stuff JAMESON.
204578277_396745096890429440 x	@Gymrat_01 you realize they play again next Thursday.  I am thinking of going to that game.  Tickets should be like $5.00 lol.
204578277_396744605158612992 x	@Gymrat_01 @FlyGoalScoredBy  I hope the two devil AARP players are in tonight.  Marty and Jagr. Jagr breakaway was impressive other night.
204578277_396744135929257984 x	@Gymrat_01 @FlyGoalScoredBy  lol understatement.  I am glad that I did not pay money to watch.  Whew dodged a bullet there.
204578277_396742441812111360 x	RT @FlyGoalScoredBy: 5pm reminder to make sure you have booze if you plan on watching the Flyers tonight.
204578277_396698050804342784 x	RT @TaurusWeAre: Everything about a #Taurus woman says keep it real and keep it steady.
204578277_396651082686148608 x	I think Mason said screw you guys and gave up. Good for him. He needs help you know.
204578277_396650836048506880 x	Devils. Ugh I can't watch.  FLYERS  can play good hockey.  We all saw that. WTF  play it.
204578277_396650071120674816 x	@terilyns68  I'm not mad it was expected at that point. It was too late in my book. They need some spark to move their asses.
204578277_396646656080633856 x	I can't find my Flyers jerseys. Oh well maybe they will win now.
204578277_396643888980819968 x	@Dave__Donnelly  I am waiting for the temps to drop it's still warm in nj. I have a craving for stew.
204578277_396643370380304384 x	@DannyReagan  that was great. Lol
204578277_396643179908587522 x	RT @MarkMcMillian29: ?Weakness of attitude becomes weakness of character.?
204578277_396470551633723392 x	@dmaco215  for that time it was good.  Loved it.
204578277_396471546535243776 x	@dmaco215  Hahaha.  Oh jeez. Thanks a lot. ; )  lmao
204578277_396472805933715456 x	@dmaco215  Hahaha true !  STP is awesome.  Kids.
204578277_396473882427002881 x	@dmaco215  I know those were good times. I got my butt kicked a bit playing with my brother and his friends.  They toughened me up lol.
204578277_396474588198342656 x	@dmaco215  Yup.  We sure have. People need to get their asses kicked a bit. Lol
