877099578_393230844258557952 x	Come wake me up..
877099578_394891656287096833 x	It never fails
877099578_395780183736582145 x	I would punch past me in the face. Hard.
877099578_395774438571929600 x	@hmh_622 were fuckin funny
877099578_395775014051385344 x	@hmh_622 yeah.. Duh..
877099578_395774404971352064 x	RT @hmh_622: Well. This explains our friendship. @sstewart41692 http://t.co/d94ZKyPpfP
877099578_395770973326032896 x	I don't care if we don't sleep at all tonight Let's just fix this whole thing now
877099578_395766827340419072 x	Lmfaooooo http://t.co/jqt69ZIS1n
877099578_395728677935136768 x	Nowhere else to go but up from here :)
877099578_395722115204124672 x	This whole "catch Jeremy" thing bugs me.. Has anyone tried calling him?
877099578_395718429576929280 x	RT @Will___Ferrell: My wife is gorgeous, selfless, amazing, highly intelligent and looking over my shoulder as I type.
877099578_395706858993774592 x	I can't believe I've never seen "zombieland"
877099578_395708764189233152 x	@Finger_Poppin idk man I've seen the end but never the whole thing lol I'm watchin it now though
877099578_395709671496892416 x	@Finger_Poppin I see that lol
877099578_395705461904637953 x	If the only thing that comes off at the unmasking hour is the mask, you have done something wrong
877099578_394890617223798784 x	Never have I tried harder at anything ever
877099578_395691104776904704 x	I was wondering what this loud sound was earlier.. Found out half the tiles in the bathroom fell off the wall..
877099578_395665252085276672 x	Hot diggity dog thanks for calling me on the telephone!
877099578_395584978118926336 x	I wonder if dogs feel like they're in a foreign land with us English speaking folk
877099578_395561558505312256 x	Looked down to a spider on my arm. Smacked it and it disappeared.. You Criss Angel mutha..
877099578_395417413623111680 x	Am I the reason you breathe or am I the reason you cry
877099578_395415306912280577 x	I've got another confession to make, I'm a fool
877099578_395409151935119360 x	LESGOOOO  https://t.co/XyiGUhf94L
877099578_395398703583731712 x	If there's a will there most certainly will be a way.
877099578_395377798950301696 x	If you only knew
877099578_395286630891651072 x	@FrankWatts3 I needed that one lol
877099578_395287405168574464 x	@FrankWatts3 well it deff helped here
877099578_395286790136819712 x	People have rebuilt bigger obstacles than of this
877099578_395258708621406208 x	The world is a dangerous place not because of those who do evil, but because of those who look on and do nothing.
877099578_395239682226659328 x	A female body builder used so much steroids that she grew a penis.. That's a real story last week..
877099578_395246850371891201 x	@FrankWatts3 yeah look it up she grew a one inch penis.. Poor guy..
877099578_395247353755484160 x	@FrankWatts3 you try growing a clit lol
877099578_395247817192509440 x	@FrankWatts3 yeah she still has her vagina but there's a clearly formin penis. She is beefy
877099578_395248263923642368 x	@FrankWatts3 yeah I just revisited it. Her clit grew into a penis lol. So gross
877099578_395247240509267968 x	@FrankWatts3 but it's a penis.. Next to her vagina..
877099578_395234180466233344 x	Gotta Love Jeni.  https://t.co/g4gUg046Wv
877099578_395221660757794816 x	It's national cat day ! @hmh_622
877099578_395222533370163200 x	@hmh_622 ??
877099578_395224818020139008 x	@hmh_622 ?????
877099578_395226215096668160 x	@hmh_622 it's French.
877099578_395226814320087040 x	@hmh_622 I see what you did there
877099578_395221547167649792 x	RT @Will___Ferrell: I just changed a light bulb with a beer in my hand if anyone needs a man for something.
877099578_395062702218805248 x	#drunkkkk
877099578_395067403299606528 x	@hmh_622 #retwwett#whatupp
877099578_395067546052751360 x	@hmh_622 noooooooooooooui
877099578_395067780157820928 x	@hmh_622 ?
877099578_395067908394455040 x	@hmh_622 ???
877099578_395037692594900992 x	Are you feeling it now, Mr. Krabs?
877099578_395036021860995073 x	http://t.co/2gMdntH6Zm
877099578_395009441482825728 x	RT @TheGeorgeCarlin: "You never see someone taking a shit while running at full speed."
877099578_394983214080483328 x	I cannot wait to get off
877099578_394941986127347712 x	Lamb of God- Descending. That's about right.
877099578_394922978288226304 x	Where I go I just dont't know, I got to, got to, gotta take it slow.
877099578_394921428694208512 x	Deeper than the deepest Cousteau would ever go. And higher than the heights of what we often think we know.
877099578_394910599483637760 x	You're such a sweet addiction, you should celebrate
877099578_394902831364579328 x	So this is how being kicked while one is down feels
877099578_394861532078538752 x	I'm a detective! I will detect!
877099578_394878229518897152 x	@hmh_622 who?!
