706530730_398111498985566208 x	http://t.co/FXMCfEFuDI
706530730_398111419797094400 x	http://t.co/zXqRICNNEk
706530730_398111357650087936 x	http://t.co/ultZfivIXi
706530730_392101666444828672 x	I got mine #fuckcancer http://t.co/bRirQ1o6Wf
706530730_392075260813914112 x	Just posted a photo http://t.co/HpW3N6vGkS
706530730_392074943128952832 x	#nocaptionneeded http://t.co/6oMNg0vv7I
706530730_391595958582386689 x	These two !!! #lovethem http://t.co/3ESqFavZ1j
706530730_391595791028326400 x	These teo!! #lovethem http://t.co/jmSUI88Gwv
706530730_391309030326829057 x	#realshit http://t.co/IoWOfDuMYG
706530730_391251615069782016 x	Just posted a photo http://t.co/6d4SUahm9Z
706530730_391178180222263296 x	#realshit http://t.co/IWQlNPc1kL
706530730_391174634307334144 x	Just posted a photo http://t.co/Yg5KfotjS0
706530730_390818240244776960 x	Just posted a photo http://t.co/ArV7gu6lys
706530730_390535101270224896 x	Just posted a photo http://t.co/osDrj2AXMO
706530730_390449069753376768 x	This was on good day this morning!! Please girls be careful, this animal is around the Hunting park,? http://t.co/DhWv2BcpFV
706530730_390445761223471104 x	RT @KacieFOX29: Don't forget...today is National Boss' Day. Anddd everyone loves a suck up!
706530730_390444880566427648 x	RT @OShanBinSmokin: @noreaga Can I please get a RT for my missing autistic/mute cousin from Queens NYC http://t.co/aGKhLDIAF5
706530730_390100434922516480 x	I want to wish the love of my life a happy happy birthday! My baby is 3years old today! Happy birthday? http://t.co/K63dS6ZCZK
706530730_389814757030899712 x	Lol!! http://t.co/uEvDHJytQx
706530730_389750255304310784 x	Just posted a photo http://t.co/OVyP4iXpQG
706530730_389748534616268800 x	Just posted a photo http://t.co/hfLHcJspCU
706530730_389745127713161216 x	http://t.co/toBU3zGwyi
706530730_389745042937884672 x	http://t.co/sT4Eht6uYV
706530730_389744943771951104 x	http://t.co/yFOb2aWhcj
706530730_389744883189448704 x	http://t.co/UfD19HxqGY
706530730_389744818894954497 x	http://t.co/UZp8TcfN5o
706530730_389744635708727296 x	Pumpkin carving with the family ????? http://t.co/9X37NEaI0m
706530730_389739157893185538 x	Good morning! There's nothing better than to be able to work from home!! http://t.co/no3EwqjWnt
706530730_387944525005877249 x	http://t.co/LVQPgCTgKd
706530730_387944168364212224 x	http://t.co/Gb71SZdGpy
706530730_387943207717568512 x	http://t.co/t0yMh394f9
