543553285_393015862581821440 x	How bout those...... Forget it we suck
543553285_392073717591072768 x	#eaglesnation simple yes or no... Do the eagles haves qb on this team that can lead them to the sb?
543553285_392774166904324096 x	@EaglesNews1 ask her if her husband gets also hurt when he farts being that he's so fragile
543553285_392040665351073792 x	YOU SHOULD BE UPSET WE LOST NOT HAPPY VICK IS COMING BACK SMH...DISGRACE
543553285_395318288525557760 x	@Dustinbradley69 lmfao
543553285_395728840234131456 x	@Inc0gnito__ word
543553285_396481072873345024 x	RT @TheNFLFan: RT - @CutonDime25  Fav- @ArianFoster
543553285_396478422140338176 x	RT @StilettoNanuet: Happy Halloween from everyone here at Stiletto! http://t.co/Rtsnuisiir
543553285_396474482753560576 x	RT @NOTSportsCenter: REPORT: #Eagles QB Michael Vick is out this week with a paper cut, says there's no way he can play through that kind o?
543553285_396455143715373056 x	@RIPDMB Pryor gonna kill us
543553285_396456974331961344 x	@RIPDMB agreed but aecmustvhave a great gameplan otherwise gonna all over us... Hope foles does well
543553285_396456550430408704 x	@RIPDMB agreed
543553285_396455255019634689 x	@THEREALEDP445 where the fuck is that video
543553285_396455752447311872 x	@THEREALEDP445 if that was with nitrofreak tho smh
543553285_396456115669852160 x	@BelieveIn_7 he cool just wrong bout every prediction
543553285_396045975816794112 x	I give you a scare for Halloween the eagles scored 3 PTs not 10 3 PTs in 2 weeks.... #boooooooooook
543553285_396022824009469952 x	Marco borriello!!!!!!! 1-0 per la Roma!!!!!
543553285_396045678730051584 x	@KevinDFranco I'm 1000 pct Italian brother big time Roma fan cause of my father and brother
543553285_396045587097067520 x	@KevinDFranco look at my bro twitter @Zomp10 his pic is me my bro and the legend
543553285_396044898694356993 x	@Redden420 lmfao
543553285_396044883708088320 x	RT @Redden420: Happy Halloween.    The only scary story I have tonight is the Eagles offense.  BOO.
543553285_396044790087049216 x	@KevinDFranco that's been my squad I met them all including my man totti
543553285_396032248363106304 x	Forza Roma
543553285_396029101381013505 x	Dieci partite trenta punti.... E un sogno  e non molliamo Mai... Siamo primo posto forza Roma
543553285_396021275233366016 x	@Dustinbradley69 Dustin stfu u ain't had no sex
543553285_396021144140390401 x	@CesarMv7 sorry to hear that
543553285_396020996173733888 x	@BelieveIn_7 classic
