20194471_320687314688937986 x	Meeting Abby http://t.co/GbzmjnO7Sz
20194471_398650839134650368 x	@KBarrettFox29
20194471_398088713273876480 x	I love how @kellyripa claims she's a germophobe yet is sitting within arms length of a sick man. Smh.
20194471_396351180898828288 x	Conrad murray is the creepiest
20194471_396351003030999041 x	@thesidecarbar do you take reservations?
20194471_395932641557741568 x	@kristinco @naj1230 RT @cwonderstore: Psstt? We?re having a sample sale in November at (cont) http://t.co/E0kJYrKYN2
20194471_395909773105053696 x	@SheinelleFox29 @MikeFOX29 new #fox29 mascot http://t.co/rMiDl3WBwZ
20194471_395905548136505344 x	Made his newborn debut on fox, mom and dad met at fox and dad still works for fox so only fitting? http://t.co/AWtR5moPL1
20194471_391932180446072832 x	@TacoMondo your brisket empanadas were lifechanging...
20194471_391554735419170816 x	@citysports my husband is so obsessed w his #cstee he wore it when our son was born http://t.co/xcwLE1I2Of
20194471_390932902453997568 x	@nbcphiladelphia http://t.co/0ydDvxw47h
20194471_390815337069158400 x	HahahahRT @Carrie_Br4dshaw: If women are bad at parking, it's only because we've been lied to about what 8 inches is.
20194471_387248874340880385 x	I just entered Katie's baby shower giveaway! Over $7,000 in gear from Aden + Anais, Serena & Lily and more! http://t.co/gfHA1pWPxQ
20194471_385733698102243328 x	There are few things sweeter than that first sip of coffee
20194471_383971124427902976 x	@simplesugars any plans on coming to philly anytime soon? Would love to try your scrubs!
20194471_383957526452383745 x	It's embarrassing how excited i get when one direction comes on the radio...f them and their catchy songs
20194471_383589092476612609 x	Fox29 military day. Thank you for defending our freedom! @ FOX 29 (WTXF-TV) http://t.co/8YjMv2EsGo
20194471_383352479284334592 x	@nbcphiladelphia just as guilty as the rest of them.  Smh. http://t.co/LO30QStk6B
20194471_383325622254067712 x	if something is sold out online why don't they just take it off instead of saying 'sorry it's sold out'...#petpeeve
20194471_382335849410863104 x	Helloooooo flannel sheets!
20194471_382270579598192641 x	Hoodie and flip flop weather is the best!
20194471_381967859070812160 x	Are the #emmys an award show or a tribute to every person that's died in the past year
20194471_381878415235616769 x	16 Things To Start Doing For A Day That Ends As Well As It Starts | Thought Catalog http://t.co/wslkkP8XUU via @thoughtcatalog
20194471_381160521291952128 x	@6abcnews you're absolutely killing me #excercise ??? http://t.co/1WicFpkNl5
20194471_381104643876466688 x	had my first pumpkin spice coffee from @Wawa today and it was everything i remember it being
20194471_380909810868580352 x	RT @usweekly: How much do you love this?!? Blake Lively's sister recreated the #TeenWitch dance at (cont) http://t.co/935qJkMSqz
20194471_380899931852394496 x	@naj1230 I'm a sucker!
20194471_380889366388039680 x	Why did I buy the industrial sized bag of Halloween candy today?  Never going to make it...
20194471_380876051251228672 x	Might need thisRT @thecoveteur: Holographic nail polish. Discuss: http://t.co/LsTAg9qNr4 (cc: @essie)
20194471_380875418129403904 x	Um I thought donovan mcnabb still played football? Guess not. #oops
20194471_380332648977010688 x	@kristinco just had a premonition jessica biel is preg
20194471_379756811869773824 x	Nolan enjoying his first phillies game @ Citizens Bank Park http://t.co/kkWgNRLB8J
20194471_379228936187936768 x	Good luck Aunt Nikki and Aunt Dana! #rocknrollmarathon http://t.co/bzm0N5wB86
20194471_379091168115818496 x	@naj1230 valid point. Good luck!!!
20194471_379025564239417344 x	Goodnight @ The Ritz-Carlton, Philadelphia http://t.co/5evGLDlNwh
20194471_378977290103058433 x	@naj1230 are u carb loading!?
20194471_378868083743789056 x	Everyone in this house loves foxsports1 http://t.co/UgqG0nPI8m
20194471_378865835806564352 x	Lamar... you're killing me!
20194471_378697923380662272 x	RT @emilygiffin: Thrilled to announce the title of my new book, THE ONE AND ONLY! Will be in stores (cont) http://t.co/3zpo1DiBuQ
20194471_378675898025005057 x	3 months old today! http://t.co/M2S8EJYrnn
20194471_378556342539399168 x	@paultyahla whoa!
20194471_378510121443540993 x	With the headless horseman #sleepyhollow #fox29 @ FOX 29 (WTXF-TV) http://t.co/v2CLQoMAI0
