16152567_396243223070654464 x	@sheinellefox29 #lookatmefox29 Richie as a zombie soldier in South Jersey http://t.co/aqNPJXUe2N
16152567_396238287020388352 x	@SheinelleFox29 @MikeFOX29 #lookatmefox29 My beautiful Jessica, She's 18 today! She was Columbia from Rocky Horror http://t.co/g4t2n0t0W2
16152567_389126072899739648 x	Yummy #tirimisu #caramel #darkchocolate http://t.co/oDvTn1DiTA
16152567_387684477277073408 x	#spider #creepy #furry #monster #runaway http://t.co/1XIIDl1VbK
16152567_387684066524684288 x	HAPPY HALLOWEEN! LOL #spider #creepy #halloween http://t.co/HArRXXrLmo
16152567_386839997015658496 x	Finally!!! Something other than PUMPKIN!! LMAO Way to go #yankeecandle #thanksgiving #turkey #stuffing? http://t.co/82r2DVABWK
16152567_386521365668720640 x	Jess's selling up a storm at the National Park Fall Craft fair! Stop on over before they're all gone!? http://t.co/3jCaDjfiVn
16152567_380525539653861377 x	AWKWARD!!! Ginamarie molesting @nickuhas #BB15
16152567_380523628145963009 x	Why won't anyone tell Aaryn her eyebrows are horrendous?? Are there no mirrors in that house or are they just carnival mirrors!?!? #BB15
16152567_380523058806931457 x	@jamesrhine BAHAHAHAHA
16152567_380521121340481537 x	HAHAHAHAHA She said she's sorry for defending anyone....give that girl a dictionary and copy of Rosetta Stone!! #BB15
16152567_380519756748824576 x	What was your biggest game move Ginamarie? #BB15  https://t.co/U2TBWlpF46
16152567_310535201283518464 x	Jess & Kellie prepping for a night out! http://t.co/fHkBcr2jz0
16152567_380518717106683904 x	Wait let me change that....Biggest game move was being a filthy floating pussy #BB15
16152567_380518479767830528 x	Come on Ginamarie snap the eff out of it and stop saying UMMM!!! #BB15
16152567_380517948877971456 x	Biggest game move...being a filthy floating rat!! #BB15
16152567_380517443179126784 x	This better be worth my $25 spent on the WORST.LIVE.FEEDS.EVER. #BB15
16152567_380515156167778305 x	OMG!!!! TOTAL SHOCKER!!! #BB15
16152567_380514372185227264 x	Maybe America's favorite won't be as big of a disappointment as this entire season! #BB15 #BB15Finale
16152567_380510216930213888 x	PUT YOUR BOXING GLOVES ON in that jury house!! #BB15 #bb15 finale
16152567_380509713513086976 x	Bringing Andy will be the #biggestmistake #BB15 #bb15 finale
16152567_380509224583065601 x	Finally the finale!! May the biggest racist win!! #BB15 #bb15 finale
16152567_379701154986602496 x	And for their next number.....#tennis #gateway #winning xx_bubblegumpop_xx @ Gateway Regional High School http://t.co/w7SZ0Vbffn
