159261266_396352549172699136 x	@youtube what would you rather be doing? lol
159261266_396361338408030208 x	@asot get @bennicky on #ASOT650 and i'll fly there and take shots of vodka every time he mixes a 140 track!
159261266_396357851959943168 x	@DesMcMahon Stand up and announce your plight and trade naming rights to a future track for a port. lol
159261266_396236569591693312 x	@REALPACMAN24 who's gonna win the nba finals
159261266_396237238759358465 x	@REALPACMAN24 boom
159261266_396051651716341761 x	@Eminem not gonna lie i'm listening to your album online but as always i'll be buying it too. Thanks for all these years!
159261266_396027243241406464 x	RT @SportsCenter: "Obviously, he made a mistake in judgment. ... That's what young kids do." - Mark Cuban, on Dwight Howard's decision to s?
159261266_395719558004490240 x	RT @The700Level: Watching Victorino pound his chest. Badass. Miss you, postseason baseball in Philadelphia. :(
159261266_395588047250935808 x	RT @DevinMyers10: "4 years ago he couldn't hit, now at 36 he looks like Barry Bonds, yea I'm suspicious. He's getting in front of 98 mph he?
159261266_395274452705243136 x	RT @danieltosh: there's an argument to be made that the boston red sox are the ugliest group of men in the history of baseball. new #tosh t?
159261266_394441026083250176 x	Jake Peavey's comments just shrank the strike zone for his teammates the rest of the series.
159261266_394434884007374848 x	RT @hunterpence: Don't think the controversy should be on the umpires here.  When you throw the ball away they typically score.  That's bas?
159261266_394089945729884160 x	@MikeVick the division is wide open if you stay on the field! Score on that first drive Sunday!
159261266_393780774807158785 x	@BillSimmons 27 years since Buckner. 2 Errors in the 7th last night. 2 + 7 = 9 game winning streak in the WS ending.   Ut ohhhhh.
159261266_393581244988264448 x	RT @ProFootballTalk: Even bad NFL football is still NFL football, and we'll wish we had bad NFL football in late February.
159261266_393557916453969920 x	@AndrewMFnLally he's a World Series monster
159261266_392731388870270976 x	@britenitesnyc @marlo_music
159261266_392489898353369088 x	RT @poisonpill76: This is the worst sporting event ever broadcasted
159261266_391621027051995136 x	See ya Roseland!  http://t.co/MXOdPfqW9A
159261266_391611888838000640 x	@AndrewMFnLally feels like 5 years tops. my 40th bday is in 10 minutes
159261266_391244063975800833 x	@jessssicathies We're all wondering how its going down there! Hope its good!
159261266_390979777521135616 x	@AndyVoegeli thanks for those BB pics dude! Awesome stuff.
159261266_388745941890510848 x	@RoobCSN @CSNPhilly Birds should do it high school style and ride from the hotel dressed for the game. stay out of that locker room!
159261266_388741759758389248 x	@Eagles boycott this tampa game! we don't need to add staph infection to are mountains that need overcome.
159261266_388741218743504896 x	@DesMcMahon @DJ_Eco its true, and i bought some. so go make so festival jamz for my bank account! lol
159261266_387930156306022401 x	@HARRYMAYES975 @975TheFanatic he's like a small dog. All bark, no bite.
159261266_387782059307327489 x	@AndrewMFnLally lololoo
159261266_387783279543615488 x	@AndrewMFnLally its pathetic they can't sell the place out
159261266_387777353365340160 x	@TrevorRocco RDG son ! lol
159261266_387644045586989056 x	@ultra @asot @arminvanbuuren now sell ASOT only tickets.
159261266_387636168981893120 x	@bennicky the funniest shit is he keeps trying to sue Pharrell for the use of the phrase "I am". Guy is a disgrace!
159261266_386996661320708096 x	RT @ESPNNFL: Tony Romo just pulled a Tony Romo. WOW!!
159261266_386996568257490945 x	Classic Tony.
159261266_386509142501773312 x	@InfrasonicRec Intelli-Trance. Complex melodies like the old days...not just festival fart noise. lol
159261266_386833766406426624 x	@MysteryIslands @InfrasonicRec lololol
159261266_386686555462852608 x	@YoWalleyB I'm gonna need you to post more pics tomorrow night 9pm-10pm! I don't know what I'm gonna do with myself.
159261266_386451528611295232 x	RT @Sara_Walsh: Best story we'll report this am-Jack Hoffman, 8, who scored td in #Nebraska's spring game, told his cancer is in remission.
159261266_386253215559593984 x	@AdamSchefter Richardson trade was pure genius now
159261266_386250890300383232 x	@AndrewMFnLally he's pretty damn close to the play. And of course Wakefield is defending them. Hahaha http://t.co/W9FouYFAyZ
159261266_386252177913966592 x	@AndrewMFnLally I would have no opinion on it if the sox weren't the baseball police throwing at guys over "disrespecting the game".
159261266_386246907833892864 x	JV move out in the @RedSox pen! Thy really should have had arod.
159261266_386247830194892800 x	@AndrewMFnLally birds of a feather.
159261266_386249403197313024 x	@AndrewMFnLally it had to be someone right there for him to think it was a teammate.
159261266_386113638626779136 x	@DJ_EncryptD pretty standard man. Hahah how about you
159261266_385957913648705536 x	RT @TheDailyShow: Tonight! Republicans outraged WWII vets turned away from national park, also live in quantum universe without cause and e?
159261266_385916946371186689 x	#TNFisBetter Send those tickets! lol
159261266_385908265617342464 x	@orjan_nilsen After you play there my list is pretty much finished off of dj's i wanted to see live. Bring it!
159261266_385854186635526144 x	@asot I know its impossible but lets have some #ASOT650 ONLY tickets for Miami. $500 for just ASOT aint right son!
159261266_385414168897011712 x	@DJ_Eco Dude, that makes me insane! Equal rights much? lol
159261266_384761481793138689 x	RT @BryanCranston: The opening lyrics to Bad Finger's song at the show's end is Walt's prophecy, "I guess I got what I deserve...my baby bl?
159261266_384682479892045824 x	@BryanCranston, @BreakingBad_AMC  fear not, I will carry on the family name proudly. #GoodbyeBreakingBad
