130554124_395745294400237568 x	Allen Iverson
130554124_395717877577564160 x	That'll do Sixers... That'll do.
130554124_394273131986448384 x	World Series of Jerks.
130554124_386951789129793536 x	Fuck yeah! #Eaglestalk
130554124_386947564266082304 x	#LOLGiants http://t.co/tK5Rc36cBR
130554124_385207697383387136 x	These Pittsburgh fans are animals. Respect.
130554124_384479224817811456 x	Okay, Al, we get it.. Wilfork wasn't faking it.. Christ sakes- for a New Yorker you have a very poor understanding of sarcasm.. Lest..
130554124_380825269751525376 x	Is it just me, or is the "PGA Champion" one of the least impressive belt-holders in sport?
130554124_380531294998118400 x	Great Conan monologue tonight.
130554124_380525408112107520 x	@bigdave0908 TRUTH! Donald Fagan's Nightfly is good shit.
130554124_380524935560847360 x	Holy Douche Chills MelB.!.. Takin that opportunity to plug your single?   More like, Classy Spice. #AGT @HowardStern
130554124_380474914383613952 x	?@CrashburnAlley: . @ToddZolecki could you imagine a conversation that involves both Sarge and Bill Cosby? Topics Include: Sweaters and Hats
130554124_380474232825991170 x	I think it's actually happened... I think I've morphed from a Scotch drinker, to a Bourbon drinker... USA! Ever since Sandy..... @NQATom
130554124_379352228945219584 x	?@earlmanwich: FIXED: [Heaven] is watching the Giants trying to establish the run with Brandon Jacobs.?
130554124_379352012787548160 x	3 teams matter: 1-0 against those teams. #SilverLiningsPlaybook @RabbiStrom
130554124_379082789930672128 x	So like.. How come you can't see your reflection in a picture of a mirror?
130554124_378332727105556480 x	@HowardStern: Said you'd sign first 1k Calendars.. Promise to buy one either way- curious if I even have a chance at one of first 1k still??
130554124_378333564846489600 x	@HowardStern oh my- that was even worse! How about this: Calendar.. You sign w/ lovely Beth.? Happy still, I buy it I can............ It is.
130554124_378338544059973632 x	@HowardStern just got.. sig. no sig. whatever, Just thrilled to help a good cause- thank you for making it affordable to help. Feels good.
130554124_378333241738264576 x	@HowardStern spent 10min on that tweet and it still sounded like a person without a hold of the English language.. That's life I suppose ugh
130554124_378242070223142912 x	Hundreds of helium balloons being used to cross Atlantic http://t.co/6yv8zU4HlH via @washingtonpost @HoawrdStern @SternShow  ACK! ACK!
130554124_378153728903106560 x	What a colossal asshole: http://t.co/ltRRIHWGpb
