23549282_397600698637901824 x	@SteveKJames did you find it weird that hellmann's favorited your tweet?
23549282_399761822892306432 x	people who tweet "i love my life" do not work for a living. fact.
23549282_399763451108548608 x	@SteveKJames duh.
23549282_399760215194619905 x	cool version of a song you've heard a thousand times: Beastie Boys' Isolated 'Intergalactic' Vocals http://t.co/S2kl8Qpxql @Radio1045
23549282_399754721759481856 x	@BeavisCumia @LynsieLee @AnthonyCumia lynsie is the best. love the audio. kind of sounded like velcro only waaay hotter. fantastic.
23549282_399695577304563712 x	RT @HollzinSeattle: Here are the links to yesterday's awesome show with @ScramblerinChi: http://t.co/IEbiqgR87c  http://t.co/sFFmzzBM5Y
23549282_399694439007805440 x	@SH4RKYx416 http://t.co/IQdKrznB0V
23549282_399670337849135104 x	RT "@GhettoViine https://t.co/ZZ2Q29N07M"  -this is what i picture the inside of @AnthonyCumia's house looks like, with 3 main differences.
23549282_399659981449883648 x	not for nothing, but shouldn't twitter have an edit function better than "Delete"?
23549282_399583713148665856 x	every time one of the characters says ghostststs in Call of Duty: Ghostststs, I think of this @cokelogic classic: http://t.co/DTH65cCTWL
23549282_399572020239024128 x	good story on @CBSSunday today about twitter. while they have 230 million users, their net profit is $0. I (barely) make more than twitter!
23549282_399553900485029888 x	RT @Rorschach7: Thanks to @LinzBella @boboxm103nyc @Lady_Trucker and @SCRAMBLERinCHI for making a great @ItsAllAbout_Mee yesterday! http://?
23549282_398655505826344960 x	RT @OpieRadio: A great animation from @Cokelogic Fez talks Animal Beards @theibang https://t.co/EBCenTsJFs now if it's ok with U I'm going ?
23549282_398505205970767872 x	RT @robcorddry: The real bonus to the @siriusXM app is the 3-5 minutes it takes to load. Time to reflect on things like how shitty the @sir?
23549282_398489831300665344 x	"Shawn F. is now following you!"... http://t.co/4s7wCYNhkU
23549282_398486644695007232 x	RT @Swishergirl24: Twitter stock just went public like I haven't invested enough in this fucking website.
23549282_398327662361313280 x	@frankruptcy @EastSideDave not sure what's sticking out of his left pocket, but it can't be good.
23549282_398246631411580928 x	RT @TheRevBobLevy: levyland live now show starts at 8 come on and here a maniac ramble http://t.co/m6QVLL8NME ?    RERWEET FUCKERS HAVE SOM?
23549282_398064149961248768 x	The new O&A Podcast is up! Ep. 26 features @RealTimConway & @johnvalby http://t.co/Zf8l8WzOP2  @OpieRadio @AnthonyCumia @JimNorton @notsam
23549282_397900404731969536 x	@Lou_Albano thanks a lot man. I appreciate it.
23549282_397880804698619905 x	PROTECTED
23549282_397894534170181632 x	@Lou_Albano I have a few ideas I've been playing with, but the next song is going to be about a totally different subject.
23549282_397899683164864512 x	@Lou_Albano plenty of shoehorning and everyone will hate it (which is exactly what I think of all my songs before they get to my soundcloud)
23549282_397759476985384961 x	@Swishergirl24 which reminds me, i should probably go ahead and change my calendar from September to November now.
23549282_397761480759603200 x	@Swishergirl24 2011... I'm also gonna have to go ahead and buy a new calendar.
23549282_397758547121156096 x	RT @Swishergirl24: Commence six months of the clock in my mom's car being wrong.
23549282_397754031050719232 x	i think @notsam should have done an @IHateStevenSing live read in the middle of the oliver stone interview.
23549282_397756230187241472 x	@velascolaw not sure, jaime. i'm trying something different that will hopefully be done in a week or so depending on how busy i am with work
23549282_397748642880049152 x	@InsideMissEmily congrats! but get that tire pressure checked or you'll be "student most likely waiting for roadside assistance."
23549282_397739492737429505 x	@Uninterestingmm @pogojoe2011 @erockradio he blocked me again just after the cell phone incident even though I told people not to call him:/
23549282_397746231805349888 x	@pogojoe2011 @Uninterestingmm @erockradio yeah, i don't get the "block" thing. unless your tweets are malicious, there's no need for it.
23549282_397747576595677184 x	@pogojoe2011 @Uninterestingmm well that won't get you blocked any quicker...
23549282_397736175739228160 x	As discussed on O&A: Two Planes Collide Caught On Skydivers Video Camera http://t.co/jmeFzyH2xZ via @ebaumsworld @OpieRadio @AnthonyCumia
23549282_397734024564572162 x	@Uninterestingmm thanks! here's what you're missing: dr. who and simpsons pics and this interesting quote: "i NEVER donate to the Red Cross"
23549282_397602263188795392 x	@SteveKJames it's makes it look like a major corporation is endorsing your erock joke:)
23549282_397605711611322368 x	@SteveKJames nope, no free stuff from @PepperidgeFarm yet. i don't think they'd support my use of their products... http://t.co/uwG7owyKPb
23549282_397610308203597824 x	@SteveKJames haha. well, i hope i didn't make people not want to buy them based on the end result:/
23549282_397612884110639104 x	@SteveKJames it's think its a northeast thing. do you get tasty cakes? they used to be local but I think they're everywhere now.
23549282_397614816208379904 x	@SteveKJames yeah, I'm not a baked goods kind of guy, but the tasty cake lemon pie is the tits.
23549282_397617475871047680 x	@SteveKJames is that from Seinfeld?
23549282_397615170811600896 x	@LynsieLee Helloooooooo..... Norman.
23549282_397592412169592833 x	switch over to @jimmykimmel. @ArtieQuitter is up next to promote his new book. should be a very interesting read.
23549282_397606085428645888 x	@DFParker78 cool. i'll definitely have to check it out.
23549282_397458502136119296 x	@LukeUsingForce no problem at all, Luke. glad to get the word out.
23549282_397381105969790976 x	RT @BuzzFeed: "The Simpsons" paid tribute to Marcia Wallace via this chalkboard message http://t.co/yYWhZ27DEE http://t.co/XzCm5KP45Q
23549282_397098179566387200 x	@erockradio dude! did your dick explode when you saw this pic or what?
23549282_397079183236403200 x	RT @TheRevBobLevy: in my life ive done so much good for people and pussies wont stop me.  let Levy back in @SIRIUSXM #Levy2014 the people h?
23549282_397067357513715712 x	@AaronImholte thanks man. i really appreciate it. i may have another song up soon about a certain cat.
23549282_397052478673285120 x	@DFParker78 you're a strange man, darren. but that's pretty cool;)
23549282_397052054792704000 x	@billglass6 i tried to come up with a sam song once but it never came together. @LukeUsingForce made a couple of good sam songs tho.
23549282_397009919788191744 x	RT @EastSideDave: Last night's #DaveyMacSportsProgram @EastSideDave Birthday Spectacular is NOW up on @SiriusXM On Demand!!!  http://t.co/b?
23549282_397009049080070144 x	RT @Rorschach7: You missed a WILD and crazy show on @ItsAllAbout_Mee .. Its one for the records. Holly still isn't talking to me http://t.c?
23549282_396790944684470272 x	@LynsieLee you are, without question, my favorite person to follow. smart comments AND occasional boob pics? it's twitter gold here, people.
23549282_396774209684512768 x	RT @BeavisCumia: @AnthonyCumia being attacked by #MonsterBeavis #LFTC http://t.co/N7RvVGb8Cp
23549282_396332452014067712 x	@OpieRadio @rolandos99 that face looks familiar.... http://t.co/XflDA5y2MK
23549282_396328335816421377 x	The Walking Dead's Steve Yeun was named @PEOPLEMag's Sexy Man of The Week. In a related story, they named @erockradio Healthiest Producer.
23549282_396319759525879808 x	RT "@MentalityMag Brides Throwing Cats Instead Of Bouquets... http://t.co/jDOTx5YluP" -that @BeavisCumia really gets around.
23549282_396311408050438145 x	@AnthonyCumia @BeavisCumia Looking forward to the ustream coverage of the festivities tonight. Maybe some karaoke with @TheRevBobLevy?
23549282_396315608432013312 x	@TheRevBobLevy @AnthonyCumia @BeavisCumia noooo! hopefully you'll change your mind and do a duet with ant.
23549282_396115807471931392 x	RT @OpieRadio: Better screen shot of Cereal Wars with @rolandos99 http://t.co/sodJIUAJK5
23549282_395840303040450561 x	One year ago today, an opportunistic jerk exaggerated hurricane sandy damage at his home and called out. #neverforget @OpieRadio @notsam
23549282_395774962645991424 x	"Come on Kyle! Kick the baby! Come on bro! Kick the fucking baby! Let's see you try it, wuss!"- Ike @SouthPark #TamingStrange
23549282_395588895876059136 x	RT @HollzinSeattle: I think that @TheRevBobLevy healed @NarcZito !!!  (See attached) http://t.co/sM9RhDj0XF
23549282_395533069630705664 x	Episode 25 of the O&A Podcast is up! This week: Neil deGrasse Tyson http://t.co/Zf8l8WzOP2 @OpieRadio @AnthonyCumia @JimNorton @notsam
23549282_395044407361028096 x	"Tim Conway is a mean little bastard."- @JimNorton after being picked on during a great interview with @RealTimConway @NortonQuotes
23549282_395034664681082880 x	RT @RealTimConway: @JimNorton @AnthonyCumia @OpieRadio had a wonderful time with these guys. We laughed, they cried, I skipped breakfast. #?
23549282_394669947109908480 x	75% of homeland is carrie looking at herself in a mirror. we get it. she's fucked up.
23549282_394824879368720384 x	@billglass6 yep, I saw that sketch. since then, every time i see the daughter I say "dad? dad?" she's definitely the weak link on the show.
23549282_394683563171676160 x	@steveyknight stay safe stevey.
23549282_394671285122236416 x	@spoonman01 @steveyknight great show tho.
23549282_394649874429259776 x	PROTECTED
23549282_394657072022683648 x	@Baconeer wow. barely any tickets left for the new brunswick show. looks like 01/11/2014 at the Merriam Theater in Philly is the one.
23549282_394645045066104832 x	@JimNorton gave him the ol' "Walt Jr."
23549282_394640066263662592 x	@notsam the kendo stick is the equivalent of a handful of flimsy Palm Sunday leaves taped together. makes a good noise, tho.
23549282_394630705696997376 x	RT @WalkingDead_AMC: Lock the doors. The #ISOLATION begins now ? #TheWalkingDead ?
23549282_394507696365256704 x	the very talented rapper (and @erockradio jingle maker) @ZEPS freestyles on Boomer & Carton's radio show: http://t.co/HQ40HdY2y6 @OpieRadio
23549282_394614490576064512 x	@ZEPS no problem. great job!
23549282_394614142935388160 x	@Baconeer the big yellow one is the SUN! the one in the middle is the one they call the SUN!
23549282_394576856365957120 x	RT @OpieRadio: Congrats Chris Brown for graduating to hitting men. #TeamBreezy bitches!
