48325595_393708984139792384 x	It's wear leather day!?@KacieFOX29: And on Fridays we wear leather. http://t.co/wE13RkG8zc?
48325595_388597622388568064 x	Guess who got caught in the rain.....@FOX29philly @Good_Day_Philly #needacab? http://t.co/RZESVDonwD
48325595_398147509383888896 x	Here she is- @KBarrettFox29 ?@wonbyone_jn316: @SheinelleFox29  I can't find Keri on here! Please tell her thank you...
48325595_386939610309623808 x	Nice pics with @BigRubeHarley http://t.co/QzKhHpCUKv
48325595_396286755634024449 x	Ha! @WendyWilliams just talked about our Halloween sketch where I did my best "Wendy" impersonation. #how you doin! http://t.co/H9q25Ic2k0
48325595_397358689587171328 x	Is this a compliment? Lol?@aplusm29: Looking good @SheinelleFox29  Did you drop some lbs??
48325595_393809574538776576 x	Having an awesome time @AcadNatSci If your kids like dinosaurs they'd love it! http://t.co/FuorR5fHZn
48325595_370495369584857088 x	#tbt Pregnant w/ the twins on the beach in the Dominican Republic. My how life has changed! #wet hair #vacation http://t.co/oPdAaRCl2V
48325595_312532254708596738 x	@MikeFOX29 you inspire me.
48325595_354925552219590658 x	My babies are 1 today!! Thank you @Its_RyanJ! You're an awesome photographer! :-) http://t.co/Ehi3zYhvFO
48325595_375574498743164928 x	We're loving your back to school pics! Here's my little guy :-) #pre-k #LookAtMeFox29 http://t.co/5gS7rP7Ifo
48325595_90417735066075136 x	The best food truck in Philadelphia is.... and it's located....?? We'll pay them a visit.
48325595_382486649672052736 x	Is Grand Theft Auto too violent?
48325595_382465056040321024 x	Pencils??@FTWFTL: @SheinelleFox29 Pencils, #Phillies, and exact change, FTW?
48325595_349694145847238657 x	Today is my grandparents 63rd wedding anniversary! 63 years going strong..... Amen.
48325595_386105756522913792 x	You know you want it..... http://t.co/hUJyDTftEi
48325595_382459055983579136 x	Tweet 3 things you like. I'll start: chai tea lattes, Rice Krispie treats, babies
48325595_375985069703561216 x	Please vote! scroll down to philadelphia http://t.co/rxH35ZmQ8a  that was refreshing seeing some young brothas doing something positive
48325595_167977072189390848 x	Alright settle this, Mike just bought me a lottery ticket. Say I win the $330 million. How much should I give him? He's not getting half!
48325595_395933931171627008 x	Super fun on @FOX29philly! Thanks to the sixers dancers!! #Queen B http://t.co/hloXQPWkAT
48325595_357261996363759616 x	Has anybody ever tasted the Double Chocolatey Chunk Rice Krispies Treats? Might be the best snack ever.
48325595_395533841240432640 x	You're invited to come to 4th and Market at 8:00 am Thursday for our Halloween show! Trust me - you should go in late to work.... ;-)
48325595_395292256745181184 x	What do you do when you pull up to Sesame Place w/ eager toddlers and it's CLOSED!!!!!!!
48325595_146556790983753729 x	Our reporter Bruce Gordon is inside of the courtroom for Jerry Sandusky's Pre Trial hearing. He'll be tweeting. Follow him @brucegordonfox
48325595_174103710920736768 x	Good morning. Tweet me. What's on your mind this Monday?
48325595_371988226736926720 x	Dang?@ALBDamn: missed the #MTVMusicVideoAwards. apparently this pic sums it all up..So I guess I did see it lol http://t.co/FYAd0WwNxp?
48325595_52314404158582784 x	Good Morning! It's official.... I'm a "tweeter!" Talk to you soon :-)
48325595_392988350539657216 x	At http://t.co/mzQaoWQM9f there's a Facebook icon at the top left :-)?@vusmc: please give me a link to your Facebook page. I can't find it.?
48325595_392982889836859393 x	Ha!?@JForcella: @SheinelleFox29 If I like your page, will you NOT show Mike naked?? Yikes!!?
48325595_364729276764913665 x	@FOX29philly working on a project- who has the best pizza?
48325595_331350420700143617 x	Every morning- putting on my makeup! Send me a pic of your routine! I'll use it on the show this am :-)#lookatmefox29 http://t.co/4c0z9CanCa
48325595_355284960741031937 x	No insomnia cookies :-( ?@Section_8_Condo: Did you ever get your cookies yesterday ? @MikeFOX29 @SheinelleFox29?
48325595_355463353101074434 x	Lol We're obsessed-- but aren't there until am!?@insomniacookies: @SheinelleFox29 @MikeFOX29
