359277623_210569716874481666 x	I Will Enjoy every second of the day!!!!!!!!!
359277623_377775750864072704 x	@SBTonline Oi,meu nome ? Matheus Rodrigues e eu tenho 15 anos,a ?ris Abravanel estava como sempre certa,Chiquititas ? do p?blico adolescente
359277623_377774497492787201 x	@SBTonline Oi,Meu nome ? Matheus Rodrigues,eu tenho 15 anos e adoro a obra original de (Cris Morena),mais a nova adapta??o da ?ris ? ?tima!
359277623_377773376007200768 x	@SBTonline Meu nome ? Matheus Rodrigues e eu tenho 15 anos e sempre amei Chiquititas y Cont?nuo amando e a Chiquititas (2013) ? a Melhor!!!
359277623_377771771320991744 x	@SBTonline oi,meu nome ? Matheus Rodrigues e eu tenho 15 anos,eu Amava assistir Chiquititas quando eu era pequeno e Cont?nuo Amando! valeu!!
359277623_377469098176692224 x	http://t.co/tJvcMraZY8
359277623_377453850245857281 x	Chiquititas http://t.co/A0SIiwVHLi
359277623_298478383036260352 x	Con toda seguridad que quiero volver a descubrir mis mejores amigos!
359277623_298477980819271680 x	No estoy queriendo estudiar en la misma universidad que yo estudiaba el a?o pasado!
359277623_298476795156639744 x	No creo que mi padre no ha llegado todav?a a venir a buscarme, mi madre y mi hermana peque?a agente a salir ma?ana!
359277623_298475291439951872 x	Emocionado por volver a Barra Mansa, ahora Volver lecciones no poco animado!
359277623_298473232481255424 x	Ma?ana (martes - Justo el 05 de febrero) Voy a volver a Barra Mansa Rj! ?Gracias!
359277623_298440835366801409 x	Clipe Oficial  - Par Perfeito - Quando Toca o Sino 2: http://t.co/nVrUCzNv via @youtube
359277623_298381732107931648 x	Abertura de Violetta - HD: http://t.co/Z432tM3s via @youtube
359277623_297660518095798272 x	@SamuKNascimento Meu twitter @MatthewRodrigu6 Obrigado  Samuel Nascimento!
359277623_297660153120038912 x	@SamuKNascimento me ajuda por favor  Samuel entra em contato comigo n?mero de telefone da minha casa (24) 33268058 ou meu twitter
359277623_297659437387247616 x	@SamuKNascimento Meu Nome ? (Matheus Rodrigues dos Santos) eu moro no Estado do Rio de Janeiro em Barra Mansa,Fiz 15 anos dia 19 do 01 de 13
359277623_297658171319795712 x	@SamuKNascimento Se vc me conhecece iria saber q eu sou loco pela disney louco ? pouco eu sou Fan?tico! por favor Samuel me ajude!!!
359277623_297656736477765632 x	@SamuKNascimento  Samuel vc pode me ajudar por favor,por favor ? tudo o que eu mais quero ? est? no Disney Channel Brasil Por Favor!
359277623_297656323628228610 x	@SamuKNascimento e eu queria saber se vc pode midar uma m?ozinha ai! eu pelomenos gostaria de fazer participa??o em Quando toca o sino
359277623_297655304429117440 x	@SamuKNascimento @MatthewRodrigu6 Eu queria saber se vc ? poderia me ajudar. eu fico falando que eu tenho vontade de ser ator!
359277623_297654549307617280 x	@SamuKNascimento Oi Samuel eu sou seu f? e gosto de ver vc atuando na s?rie Original do Disney Channel Brasil como Dj em Quando Toca o Sino!
359277623_297339801915510785 x	@facugambande Facundo te adoro, soy tu fan y te admiro por ser quien eres! Y me encanta su trabajo en la serie de Disney Channel (Violetta)
359277623_297339077068460032 x	@lodocomello Lodovica te adoro, soy tu fan, te admiro por ser quien eres! Y me encanta su trabajo en la serie original de Disney Channel
359277623_297338035903807488 x	@TiniStoessel Sigue siendo esa persona que usted es tan maravilloso que usted va a llegar lejos. Mira donde est?s! Est?s en Disney!!!!!
359277623_297337590774915072 x	@TiniStoessel Te Adoro Martina Stoessel Soy tu fan @MatthewRodrigu6 (Sigue siendo esa persona que usted es tan maravilloso!
359277623_297334269540442113 x	@kndmolfese Soy tu @MatthewRodrigu6 y me encanta su trabajo en la serie original de Disney Channel ''Violetta''
359277623_297333543527399425 x	@kndmolfese Ai Te Adoro Candelaria gustas mucho, te admiro tanto por ser quien eres! Soy tu fan  @Matthew _ Rodriguez
359277623_297330816374149120 x	@SamuKNascimento Samuel meu nome ? Matheus e eu sou seu f? e vc ja voltou pro Brasil!!! Valeu!
359277623_297330382649573376 x	@SamuKNascimento E ai Samuel meu nome ? Matheus tenho 15 anos e queria saber se vc saiu da s?rie da Disney ''Quando Toca O Sino''!! Obrigado
359277623_297329285201539072 x	@facugambande Me encanta Violetta Miralo en Disney Channel!
359277623_297327296870760449 x	@facugambande Facundo Hola mi nombre es Matthew Te quiero yo soy tu fan y me gusta verte actuar en la telenovela De Disney Violetta! ?gracia
