23690362_331945482458910720 x	Go #islanders!!  haha
23690362_374320246137831424 x	RT @Bschenn_10: Just landed in #philly pumped to get it going again!
23690362_391210015651942400 x	@KailLowry Isla sounds good with Isaac.  Pronounced eye-la
23690362_390145291459887105 x	@hcal517 Will do!
23690362_388843818365489152 x	@hcal517 blad.  They've lost their minds.  Dunno when we'll get a win :(
23690362_387730999284875264 x	@hcal517 Thank God. Hopefully it continues 2nd n 3rd.
23690362_387211710789976064 x	RT @TCLFlyers: Flyers are holding a news conference at 11 a.m. According to the DN Peter Laviolette is being fired and replaced with Craig ?
23690362_386622330392158208 x	RT @HuffingtonPost: This baby otter thinks it's a dog! http://t.co/QEm5rc5sFU
23690362_385210441582272512 x	RT @HuffingtonPost: This viral video of college cheerleaders will make your jaw drop http://t.co/5LsttfcStk
23690362_383671387535048705 x	@KailLowry Names i <3 :Astrid, Clover, Sage, Wren, Stella, Cambria, Leighton, Luna, Vada, Seren, Nova, Brinley, Saber, Jaslyn, Calissa, Arya
23690362_378649556474265600 x	RT @FlyersNation: #Leafs #Flyers will be on CSN Philly at 6:00 PM Sunday.
23690362_377596384792571904 x	RT @Theorossi: #SOAFX
23690362_377596226314977280 x	RT @KimFCoates: 3 hours away..Today's the day...hamlets our play.. I just gotta say...lets live or let's die in Charming,CA. #SOAFX http://?
23690362_374543353217830912 x	RT @FlyersHive: 30 days until the puck drops, kids.
23690362_374296820383772672 x	@PBandJenelley_1 I've been wanting to know where you got your necklace?
23690362_374008213856731137 x	@CMT @DogBountyHunter @MrsdogC @LelandBChapman I love how Leland is so protective of Dakota.  He'll be great Leland. Good epi tonight.
23690362_364209389773004800 x	@JaviM9 @KailLowry  perfect color choice!  I want to do that in our master.
23690362_364206216219983873 x	There's a reality show called fat cops? Really? #MURICA
23690362_363398373434327041 x	@KailLowry If they have to PCS, they can just rent out their house.  We only moved twice in 8 years and that was by choice.
23690362_362737005366476800 x	@KailLowry cute!  Love the woods
23690362_362007290640990209 x	@KailLowry My mother in law does.  She's kinda prissy.
23690362_362006711416000514 x	@KailLowry I heard lowes is good?  but fencing is expensive!  Ours cost 4,000 but we threw it into the offer when we closed.  Worked out.
23690362_362006931721814016 x	@KailLowry didn't mean when we closed, that doesn't make sense. lol
23690362_359039810695999489 x	@KailLowry Do you have Isaac with you?  go to Pirates Voyage (dinner/show) he'll get a kick out of that.  Ripleys Aquarium, Wonder Works...
23690362_356416187850166273 x	RT @ToughMudder: True Grit. No excuses. http://t.co/DB5c6WAs4m
23690362_355434186687004674 x	RT @ToughMudder: RT if you respect the moment when the Wounded Warrior Carry becomes the "Tough Chick Carrying Jacked Dude" Carry. http://t?
23690362_354386189932969984 x	RT @GoT_Tyrion: I feel somewhat like a white walker before I have my coffee.... @gameofthrones
23690362_354385920335679489 x	@JaviM9 you should check out #gameofthrones while it's on break.  #mindblowing #amazing
23690362_353572981412343810 x	RT @BroadStBull: Lecavalier says he started out with a list of 10 teams, and right after I talked to Philly, they went to the top of the li?
23690362_353184989086621697 x	RT @tpanotchCSN: finally CONFIRMED earlier reports from TSN/RDS. 1 yr deal for Emery as a Flyer. Flyers will make it a battle for No.1 at r?
23690362_351434537965862912 x	RT @David_Strehle: With pick #11, the Philadelphia #Flyers select hulking 6' 7", 201 pound defenseman Samuel Morin. #nhldraft
23690362_351433175723024384 x	RT @FlyersNation: Commercials now?? Really??
23690362_351429095093059584 x	RT @BroadStHockey: Ryan Pulock and Nikita Zadorov are the two big names left on defense for the #Flyers at this point. They?re three picks ?
23690362_351429044287455234 x	RT @flyers_faithful: Devils, Stars, and then Flyers #2013NHLDraft
23690362_351050626916032512 x	@KimFCoates other sports < hockey  :P
23690362_350601378244206592 x	#Charlotte #Tough Mudder 2013 here i come! http://t.co/WavgM0rtdv via @youtube
23690362_349222770393096193 x	Goodnight super moon! http://t.co/HFb98mK6wk
23690362_348072435016400898 x	@KailLowry I thought of you the other day when i went into hot topic.  There is a tank top that says "I'm really a mermaid" #youneedthat
23690362_347816236593315840 x	RT @RealGlenMacnow: Flyers confirm Danny Briere buyout. For 6 yrs in Philly, he defined class and clutch. May be my all-time favorite Flyer?
23690362_347698566963277825 x	You know you miss #GoT when you dream Jon Snow is trying to save you.
23690362_347165646041272320 x	Keep calm and listen to @foofighters #facebookdown
23690362_347163263064211456 x	@Handsome_242 lol
23690362_347162655292784643 x	"@jjhorton7:  NSA must be extracting data." #facebookdown
23690362_346788502916182016 x	RT @AlanHungover: Madonna is 55 and her boyfriend is 22. Jennifer Lopez is 43 and her boyfriend is 26. Dont worry if you're not dating, the?
23690362_346787823082414082 x	RT @JaviM9: It's not about who you've known the longest it's about who never left.
23690362_345189009024233472 x	@rihanna did you see this? Soldier Singing Rihanna Stay Cover: http://t.co/wvNYXXRO7d via @youtube
23690362_343014014806282241 x	Holy crap @MiltosYerolemou is following me.  #GoT
23690362_340253462845599744 x	We picked a good neighborhood.  Can see soldiers jumping, there's lots of frogs and turtles, families of geese and ppl riding horses! #nc
23690362_339079478259113985 x	NHL14Bobrovsky
23690362_338478228459102208 x	RT @ShawnyShawnyH: Bruins/Pens in the East....this is shaping up to be a pretty annoying year of hockey.
23690362_337294679089504257 x	WHY am i always cold!!  #soannoying
23690362_336609921749622785 x	praying for Oklahoma!  Hope my friends are ok.  Erinn, Dawn/Bray, & Amy!  Hope they find those 3rd graders!  :(
23690362_335912767984922624 x	#mcdonalds keeping it classy.  Emery's chocolate milk was already half drank.
23690362_335909032751665152 x	Just picked up thai food for myself, chinese for Travis, and mcd's for the girls.  #everybodybetterbehappy
23690362_334394859312001024 x	cutest thing ever.  2 families of geese walking through the neighborhood.
23690362_333711735334764545 x	RT @OhMrWonka: Mirror: "You look cute today." Camera: "Lol, no." Instagram filters: ".....I got chu."
23690362_332507113979011072 x	Right on guy.  https://t.co/2gZ8cs9tdq #longhairdontcare
23690362_331597627726639104 x	RT @EvanTrowbridge: Not only is #CharlesRamsey a hero, he is also an EPIC interviewee. #AmandaBerry #Cleveland  https://t.co/ovLc4pFMT3
23690362_330877343172288513 x	Photo: cincosechzehn: mutaharu: play with us squidward THIS IS LEGITIMATELY HORRIFYING http://t.co/dGUPmctACp
23690362_330836715600232451 x	Blind Special Forces Vet Body Slams Thug http://t.co/BkDLsA20dY
23690362_330680853086744578 x	"@cnnbrk: Bomb blast kills 5 service members in Afghanistan. http://t.co/UzfQkiL0ZR" prayers to the families.
23690362_330484718275551232 x	@bg524  wow, i was just showing my 3 & 4 year olds your "one voice" video & decided to see if you're on twitter.  Curious to hear new stuff!
23690362_330469589433593856 x	RT @JoelMadden: Just noticed my wife has bangs. huh. how long has she had bangs.
23690362_330092453698883584 x	Well, i haven't seen a flyer, but i read an article.  #truelove #EYJDK from #northcarolina
23690362_330039192778317825 x	@Hartsy19 still reppin #hartnelldown #flyerslove #untilnextseason http://t.co/60ipEImrdu
23690362_329668332724830208 x	@KailLowry "You were given this life, because you are strong enough to live it" a quote to live by.  #milso
23690362_329389623769960448 x	RT @HockeyDrunk: April 30, 2013. When "because it's the cup" becomes a valid excuse for everything.
23690362_329259646936313857 x	Discovered this song last night.  Love. ? Window View http://t.co/LRfoGUEG51 #NowPlaying
23690362_329248720526905344 x	@JaviM9 Just saw last nights epi, my husband is in the Army, it brought back memories.  Thank You for serving!! <3
23690362_329248903272730625 x	@JaviM9 BTW i was bawling.  Isaac giving you that toy was too adorable.
23690362_329248424098689025 x	@KailLowry just watched last nights, BAWLING!!! I'm an Army wife, i've been there.  It's rough, but you get through it.  #milsoprobs
23690362_329045297521115136 x	@JaviM9 whatcha getting?
23690362_328325919884316672 x	RT @BroadStHockey: Awful season, #Flyers. But not a bad finish. See you in five months.
23690362_327567189622267905 x	@amandawhite93 are they getting rid of you guys or is that just a rumor?  i see petitions going around..
23690362_327566224517115905 x	RT @BroadStBull: Only fitting. Briere. Ends his 19-game drought in what will probably be his final home game for #Flyers.
23690362_327438897988632576 x	RT @David_Strehle: Steve Mason gets the start tonight for the Flyers in their last home game of the season.
23690362_327177453254610944 x	#blueberry cheesecake is filling my house!  #scentsy http://t.co/hkB2w67x23
