712651747_389475142466023424 x	Let's get it #FlyEaglesFly
712651747_395743690284875777 x	RT @LetsQuoteComedy: When someone yells stop, I don't know if it's in the name of love, it's hammer time, or if I should collarborate and l?
712651747_395729478548480000 x	RT @Jeb_Howley: Sixers shock the world
712651747_395729261534789633 x	RT @SportsNation: Cardinals fans be like ... http://t.co/zGQiF6Ba8Y
712651747_395706489807310848 x	RT @TylerTrout: Wacha v. Ortiz. That's all.
712651747_395706470924550144 x	RT @stoolpresidente: Amazed they are pitching to Papi here.   AMAZED
712651747_395696518264799234 x	RT @Disston: 76ers.... Best team on the east!!!
712651747_395634217218215937 x	Allen Iverson "I quit. I knew this day was gonna be tragic" on retirement
712651747_395352586238570496 x	RT @antijokeapple: What's yellow and really good at mathematics?   A yellow calculator.
712651747_395352561278271488 x	RT @antijokeapple: How does Bob Marley like his donuts?   Bob Marley doesn't eat donuts, he died in 1981.
712651747_395352299000049664 x	RT @LifeOfStarbucks: white girls be like   i'll have one triple mocha dark chocolate ugg boot raspberry white iphone 5 double caramel infin?
712651747_395330287133274113 x	RT @SportsCenter: RT if you're excited for Derrick Rose's return tonight. http://t.co/r85lksmpVa
712651747_395328107500294145 x	RT @jackJMACdavis: I'm like a little kid on Christmas! 32mins till the NBA Season starts!!!!!!!!!! #tankadelphia
712651747_395324941249564673 x	RT @Phillies: Five years ago today. Where were you? #2008WSchamps http://t.co/SdQ3Og6yAt http://t.co/bBRYDtFMMR
712651747_395152122469433344 x	RT @PatGallen_975: What's your favorite memory of the Phillies 2008 World Series run? They finished off the Rays 5 years ago today.
712651747_394946079260942336 x	RT @tylahj810: I hate when the dentist try's to talk to me while he has a big pointy metal thing in my mouth. "How are you?" "Erhehhbleh" "?
712651747_394943710133485568 x	RT @WTFChildhood: rt if you get it ? http://t.co/ouinf7A2Yj
712651747_394916268647919616 x	RT @sweenmachine99: so sad baseball season ended ??
712651747_394549048495316992 x	RT @antijokeapple: Doctor, Doctor. I feel like a pair of curtains!     That's the least of your problems.   You've got AIDS.
712651747_394284390664380416 x	RT @sweenmachine99: intense game of keep away ?
712651747_394261868409540608 x	RT @sweenmachine99: @ColeVanderslice jk little guy you were a stud
712651747_394261822972649472 x	RT @sweenmachine99: 2-0.  2 seed #sandsharks @ColeVanderslice you were trash today
712651747_394261785001619457 x	RT @sweenmachine99: @ColeVanderslice is not gonna be big and strong enough to throw dirt balls tmrw because he doesn't eat 5 slices of grot?
712651747_386346868730765312 x	https://t.co/FfSk6kmWQT
712651747_394245597919969280 x	RT @sweenmachine99: my favorite quote is "eye of the tiger" "take no prisoners" "you gotta spark on you" and "you are a lethal weapon" @Col?
712651747_394239730319388672 x	RT @antijokeapple: How many ADHD kids does it take to screw in a lightbulb?   Wanna ride a bike.
712651747_394239064976949248 x	RT @antijokeapple: What did Tarzan say when he saw the elephants coming over the hill?     "Here come the elephants over the hill."
712651747_394238139554086912 x	RT @antijokeapple: School has two O's in it. So does the Holocaust. Wake up America.
712651747_394237711332409344 x	RT @antijokeapple: Why couldn't little susie fall asleep at night?      She had a fork stuck in her head.
712651747_394117631537852416 x	@sweenmachine99 @BaseballDumb that is @sweenmachine99
712651747_394117560624762880 x	RT @sweenmachine99: @BaseballDumb that is @ColeVanderslice
712651747_394081254427328512 x	RT @CollegeGameDay: Get Up. It's GameDay.
712651747_393935525549445120 x	RT @AthletesProblem: Sports first....education after. #AthleteProblems
712651747_393927792607645697 x	RT @The_HelenKeller: #ThingsYourParentsSay ... I have no idea.
712651747_393926013861629952 x	http://t.co/ZnQfgS5KyZ
712651747_393831309707317249 x	@KDTrey5 just found these in the closet http://t.co/NdKoklggfU
712651747_393814208854626304 x	RT @LiIWayneLyrics: Threw a novel at her head, call that Facebook.
712651747_393564211714199552 x	Costly error sox
712651747_392020566846087168 x	RT @LakerOpinion: Positives of this Eagles game. 1. Eagles D is improving 2. We now know Nick Foles isn't our future quarterback 3. Tony Ro?
712651747_392013008508944385 x	Holy god foles is strugglin
712651747_392002164257607682 x	This ref must be Romo's boyfriend
712651747_391980186427604992 x	So many fake cowboys fans #DallasSucks
712651747_391759478196297728 x	RT @CollegeGameDay: Baylor returns to form. 71 points, 714 yards. #ISUvsBAY
712651747_391743616760041472 x	No huddle no mercy @PhillyBarstool http://t.co/mt3tRsCiVs
712651747_391380148794445824 x	RT @Buster_ESPN: Carlos Beltran. October.
712651747_391378846555340800 x	RT @YABOYLILB: heelys on, haters off
712651747_391278808986558464 x	RT @Eagles: Jason Avant shows off our #DALvsPHI gameday giveaway. #EaglesTBC http://t.co/bVls8Q1G2P
712651747_391255411858628608 x	RT @BallersGrind: Retweet for LeBron Favorite for Durant http://t.co/w1XFNWcIQk
712651747_391234197048033281 x	RT @MimPlazio: If your still rocking white sketchers it's time to make a change in your life
712651747_390932882489110528 x	RT @Joey_Clifford: Miggy miggy miggy can't you see?  That pitch was outside, you swung, strike three
712651747_389482624110305280 x	Big win. Dallas is next. #FlyEaglesFly
712651747_389476616180883456 x	RT @TheDaveGalla: Desean loves Foles. I love Foles. Everybody loves Foles
712651747_389475070969937920 x	RT @Eagles: #Eagles extend our lead to 28-20 after a 36 yd touchdown from @NFoles8 to @DeseanJackson10. #FlyEaglesFly
712651747_389472034994290689 x	This ref and announcers are all idiots #PHIvsTB
712651747_389471240727326720 x	RT @Disston: Nick Foles Manning
712651747_389452927985012736 x	Desean Jackson does the oooo killem after TD #oookillem
712651747_389443442562314240 x	RT @LakerOpinion: Bradley Fletcher, CB from the Eagles actually is a beast.
712651747_389437986754293761 x	RT @LakerOpinion: LeSean McCoy doing LeSean McCoy type things.
712651747_389437572487073792 x	RT @Eagles: NICK FOLES. TOUCHDOWN. SPIKE. #FlyEaglesFly
712651747_389436648263778304 x	44 yards first play not bad
712651747_389431695856140290 x	Happy @MrTyPawling at airport diner http://t.co/ESeIOfoTv9
712651747_389194638973997056 x	Wow just wow this kicker is strugglin https://t.co/Mo3Gkkn6sx
712651747_389191099686088704 x	One of the best football games I've seen  @kylelefko #michiganchokes #MICHvsPSU
712651747_389187803273519104 x	Gibbons=Choke artist
712651747_389186193180880896 x	Sweet baby Jesus this game is tied
712651747_389185150397206528 x	Penn State.
712651747_389157035310596096 x	https://t.co/MImbBG3qxA
712651747_389148192413339648 x	RT @LakerOpinion: Says who ? ?@botayknights: You can't hate people for that. Lol "@LakerOpinion: Why do people hate LeBron, you ask ? http:?
712651747_389147946996232192 x	Love these college football upsets
712651747_389103227767373824 x	@markkolmer ?? http://t.co/RJejK2EiSx
712651747_389104645156904960 x	@markkolmer nooo ur flow was magnificent
712651747_389101508832555008 x	RT @BestOfNike: Prayers go out to Adrian Peterson and his whole family.
712651747_389091525868945408 x	RT @LiIWayneLyrics: FBI intercept my phone call, call it Eli Manning
712651747_388797625920917504 x	This is what 0-6 looks like http://t.co/ACelokUwhl
712651747_387765480679018496 x	https://t.co/egGiRnHOOK
712651747_387735113301520384 x	RT @espn: That was some GUTSY pitching from Max Scherzer.
712651747_387034157974818816 x	RT @AthleteDesires: Everyone should read this. http://t.co/QgzcPIIZJ4
712651747_387014553638543360 x	RT @Disston: Your 1st place Philadelphia Eagles
712651747_387013838379687936 x	RT @Disston: So, I guess Romo remembered who he was?
712651747_386953009491877888 x	I would like to see a tightly contested giants vs jaguars game
712651747_386619082722017281 x	https://t.co/4pj24iAQhT
712651747_386598369361395712 x	https://t.co/facawce5Hs
712651747_386350360987963392 x	Happy Donovan https://t.co/BbkHGwCbA1
712651747_386350059040030720 x	Let's go Nevada https://t.co/aoFe8gg4sz
712651747_386271909480255488 x	White girl problems https://t.co/Xy34h8aStL
712651747_385211129515245568 x	RT @Swag6thGrader: you can shut down the government but you cant shut down my swag
712651747_385115433470545921 x	https://t.co/pmUFC5D67y
712651747_383733442133114880 x	https://t.co/N7pZajbKFq
712651747_382335954792759296 x	@nick80atohi you know it ?
712651747_382331261647613952 x	@maefluharty BFF tho ??
712651747_382330263898189824 x	@KendallLefko HEY KENDALL KENDALL KENDALL
712651747_382296573629444096 x	@grace_haviland ??
712651747_382302908202901504 x	@grace_haviland yeah ik
712651747_382238061406720000 x	Ohh killem Terio https://t.co/5c1LLJGPRf
712651747_381637433202597888 x	@doug_raab happy bday Dougie fresh ??????
712651747_381637142843502592 x	RT @ryanns18: HAPPY BIRTHDAY DOUGGG??? @doug_raab
712651747_381145595169505280 x	Abandoned house at end of the block ?? https://t.co/BSk9z0oEAe
712651747_380902728366829569 x	RT @Disston: This team sucks
712651747_380902163507343360 x	RT @DGaitleySAS: I feel like I've seen that game a million times, only difference is andy is dressed as santa now instead of flubber
712651747_380897008728678400 x	Yes the eagles lost, but there was an 8 person brawl so that was fun
712651747_380844798778687488 x	#EaglesHonor5 http://t.co/YRTAbp3yn5
712651747_380805088828485632 x	Time to do work https://t.co/zHwF8KvPFO
712651747_379420944223457280 x	https://t.co/o0T5MRmcLr
712651747_379415275671924736 x	https://t.co/zB1FfZZUyN
712651747_379070416960368640 x	@Jordansweeny https://t.co/fm5zvOleFK
712651747_378683716501254144 x	Pt.2 https://t.co/X3PwBndFDb
712651747_378682924767653888 x	My inspiration https://t.co/PbfaaQleHc
712651747_377891081322762241 x	RG3 http://t.co/V0RFdhXdCu
712651747_377258191161413633 x	RT @asegich17: the eagles better not lose
712651747_377250743667150848 x	Does shady pay for all these broken ankles??
712651747_377247075014287360 x	Shady or AP?!?! https://t.co/jt4L8Pvc7j
712651747_377246925424447488 x	U can't touch him https://t.co/0enHc2O2W6
712651747_377243999792549889 x	RT @LakerOpinion: Shady McCoy really broke about 23 ankles in one play smh.
712651747_377241570850140160 x	McCoy is still just so dirty
712651747_377229571906875392 x	RT @DGaitleySAS: Omg he really did just run the annexation of puerto rico
712651747_377229435587801088 x	RT @PatGallen_975: Deangelo Hall, still sucks.
712651747_377229193576456192 x	McCoy Is so dirty
712651747_377228866160721920 x	RT @Disston: Wrap it uppp.... Super Bowl!
712651747_377228816646930432 x	RT @DGaitleySAS: #TooEasy
712651747_377228762821435392 x	RT @nfl: Your TV's going to need a faster refresh rate to keep up with the @Eagles this year. #PHIvsWAS #FlyEaglesFly
712651747_377227799121362944 x	RT @Eagles: Henery's PAT is good. #Eagles extend our lead to 19-7. #FlyEaglesFly
712651747_377165256235429888 x	Eagles D is gonna make them a good team or a bad team
712651747_377165895258607616 x	@Iam_JaVonn probably ?
712651747_376486838019842048 x	Backyard BBQ https://t.co/8h3Gvevk7o
712651747_376183154299924480 x	@John_Wall happy birthday!!? http://t.co/TBq6jw7RSG
712651747_375722752004874240 x	RT @MrTyPawling: "don't punch any gay black kids in the parking lot" thank you dad hahaha
712651747_374797080340213760 x	RT @RealJeffOwsik: If u didn't eat a cheeseburger n hotdog today. Your not American.
712651747_374796236270088192 x	@KendallLefko ??
712651747_374796470610067456 x	@KendallLefko u know there funny yho
712651747_374796804057219073 x	@KendallLefko u must watch them
712651747_374796752937029632 x	@KendallLefko hahaha bray the lay. There funny
712651747_374795632583901184 x	https://t.co/tBYNcMiOq3
712651747_374791008464424960 x	https://t.co/1FUdsQQEPz
712651747_373456338921484288 x	Wassup with that cookie https://t.co/ydm8yHWCvJ
712651747_373145645475192832 x	Brother sister fights https://t.co/wLPOinvjIQ
712651747_372423519944343552 x	@KendallLefko hahaha ok
712651747_369846880928542720 x	Which means foles will start week 2 because Vick will break his leg http://t.co/5e8SNU9FNd
712651747_369570165354008576 x	If ur gonna be annoying I'm gonna get u back. Hahaha http://t.co/nnpLNNeibL
712651747_368441631923765248 x	Charlie Manuel was one of my favorites, but firing him was the smart thing to do. Start of a new beginning for the phils
712651747_368390313712570368 x	RT @Disston: It's always Shady in Philadelphia. #Superbowl
712651747_368190273186435072 x	I pray that the eagles do good this season ??#gobirds
712651747_368169864319348736 x	Yes!! Finally!! @Disston http://t.co/5Wy1M5yQwo
712651747_368156802182938624 x	Sunset over 34th street bridge http://t.co/rlwlw66QiO
712651747_368139661161807872 x	RT @asegich17: a body was found in the bay near sea isle #what ?
712651747_367823265093660672 x	Congrats @jackJMACdavis on the job??
712651747_366051914917502976 x	@Trouty20 http://t.co/zSve8BzCaG
712651747_365457414729904128 x	RT @UntoIdSecrets: Lebron James averages 25.21 shots per game, for each shot he earns $7,700 and he has a fortune of $53 million.
712651747_365305366835245057 x	http://t.co/6LQjG4s8vF ?
712651747_363427548572954624 x	RT @Phillies: Dutch in great spirits & thanked #Phils fans: ?Everybody here in Philadelphia & fans are just phenomenal? #AlumniWknd http://?
712651747_363166656979537920 x	RT @hman61: The x man is swag #hoopheaven #baller http://t.co/wJD34PJOAG
712651747_362715572246568960 x	3rd phillies game of the year. 4-0 in the first no surprise there. Can't complain about the seats tho. @Disston http://t.co/SrLjg97Bwe
712651747_362704653512749056 x	Great article @dgchillen http://t.co/WjqQD9UQ2v
712651747_362629700868243457 x	RT @jackJMACdavis: Correction single overtime thriller with a B.S. Sudden death RT @dgchillen: UNC - Duke Double OT Thriller at Hoop Heaven?
712651747_361568737746358273 x	Nvm. Disregard my last tweet. This isn't even funny anymore http://t.co/WTxLdDrkbA
712651747_361555684111810560 x	It's about time http://t.co/jWivR9x3bp
712651747_361193438932238337 x	PROTECTED
712651747_361254212660760577 x	@gabbykuhar yeah I did
712651747_361208537839443968 x	@chris_ney99 hahaha same thing happened to me
712651747_359751247064080386 x	2 years ago today a great man was taken from us. I know ur having a ball with the big man upstairs. Love u uncle jack
712651747_359697512153628672 x	RT @Disston: 2 years since we all lost a hell of a man. We miss you. #unclejack #RIPPAR
712651747_359244495608479744 x	15 people followed me and 5 people unfollowed me // automatically checked by http://t.co/9P01jargpf
712651747_354776984418648064 x	@cobylefko hahaha http://t.co/MntOI4yX2h
712651747_354776771247357952 x	OC DISTRICT CHAMPS!! http://t.co/d4HadIliCV
712651747_354396163450998784 x	Of course Howard tore his meniscus
712651747_348376750276898816 x	7 people followed me // automatically checked by http://t.co/9P01jargpf
712651747_337615463204933632 x	10 people followed me and 3 people unfollowed me // automatically checked by http://t.co/9P01jargpf
712651747_326845044197842944 x	9 people followed me and 3 people unfollowed me // automatically checked by http://t.co/9P01jargpf
712651747_319990271381213184 x	Got ball from Ryan Howard at phillies game http://t.co/ro4o64g6C2
712651747_316285617275289602 x	15 people followed me // automatically checked by http://t.co/9P01jargpf
712651747_312760694145687554 x	@MollyLamont the soccer days hahaha
712651747_311185334316707840 x	@TDileo after Temples win over VCU http://t.co/FXoRJlSvuZ
712651747_305456622677921792 x	RT @Laughbook: Harlem shake is just an excuse to go full retard for 30 seconds.
712651747_305394103762448384 x	Watching OKLA ST vs WV on tv and hearing a guy yell GET SOME after every WV score
712651747_305088614398849024 x	Happy birthday @Disston
712651747_303273177272967170 x	RT @BballProblemz: Basketball on Sunday >>> #BasketballSuccess
712651747_302917456698146817 x	RT @FordhamRams: MBB: Another Thomas three makes it #11 Butler 64, Fordham 61 with 28.2 seconds left
712651747_301512359594295296 x	RT @TheFunnyNotes: Admit it, you should be doing something else really important right now but you're on Twitter instead
712651747_300474678596739073 x	Ahhhhh SHERMAN!!!! #ULvsND
712651747_300473941753991168 x	@cobylefo SHERMAN IS GOD
712651747_300473477410996224 x	RT @cobylefko: SHERMAN OH MY GOD YOU ARE THE THE MAN. IF YOU GO TO NOTRE DAME AND KNOW SHERMAN YOU ARE A SHERMAN DISCIPLE
712651747_300473085662990336 x	Here we go again #ULvsND
712651747_300469885035757568 x	Lville vs ND is one of the best games I've seen in a while #4OT
712651747_300362793117437952 x	RT @Disston: Wow!!  I hope that ref has to do another game @ temple.    Choke City on the foul shots!!
712651747_300333403792883712 x	RT @dgchillen: If Miami isn't #1 in the polls this week it's a joke
712651747_299321385279447041 x	RT @LucianoKeyes: Good win boys!!!!! #thebest
712651747_299297090000019456 x	Great season OC. 12-5 #winners
712651747_299295315893305345 x	RT @VicMcMaster: Good game OC boys #winners
712651747_297587132694921216 x	Sixers pick up the win!! http://t.co/7r6wN0Kp
712651747_297461967122227200 x	RIP Caleb Moore http://t.co/M1lCHDEl
712651747_276467259088699392 x	6 people followed me // automatically checked by http://t.co/06TYcIdL
712651747_272846525149896705 x	http://t.co/My7DjD8K
712651747_270653826393071616 x	8 people followed me and one person unfollowed me // automatically checked by http://t.co/06TYcIdL
712651747_266022565322055681 x	RT @itsWillyFerrell: I"m pretty sure the movie Taken is just an adult version of Finding Nemo.
712651747_258320309671825409 x	RT @DGaitleyLU: The firing of Castillo is the beginning of the end for Andy, even though he breaks my heart every Sunday, I still like h ...
712651747_254268393438461953 x	RT @PostingQuotez: HUG ME BROTHA!!! Retweet if this reminded you of Drake & Josh.
