37974205_388377018880249857 x	Will the #newyorkgiants win a game tonite or will they fall to 0-6 this season.
37974205_395958829126406144 x	The word "Superfreaks" will be in full of effect tonite . . It will be an epic day for someone. . #HappyHalloween
37974205_395958124776935424 x	If u over age 16, do not go trick or treat. There are sum Costume parties to attend then to trick or treat. #cmonman #HappyHalloween
37974205_395329682914037760 x	@juliannehough Never let one moment define who u really are. We make mistakes for what we think dependly but it doesnt mean u ill will 4 it.
37974205_395327503457193984 x	@juliannehough I am not offended by it and I accept ur apology. Ppl have to b aware of why it's offensive. Research the history behind it.
37974205_395220728477261824 x	You may never get ppl to like u, they may never respect u, but why should u try. That is the price of being a leader. Thrive off it.
37974205_395194486491324416 x	When an opportunity comes around, do not think of failure, but fail as you try. Correct what you fail and never to repeat it. #wisdom
37974205_391339961632321537 x	@Natrooper Someone is gearing for the MMA ultimate fighter contest over here.
37974205_394559460817264640 x	@Natrooper curse ur giants. . #AngryBird Yall beat us fair n square . . better team won
37974205_394586612472246273 x	@Natrooper true but it seems will caught whatever the giants had bcuz we sux lions ball's.
37974205_394263707100127232 x	@mheck629 I did earlier when i got hire and when i ask u what happen to amazon
37974205_394267201857130496 x	@mheck629 everything but i left there so i am not there no more
37974205_394267498973261824 x	@mheck629 yup got an intern gig
37974205_394275315700477952 x	@mheck629 thanx i wasnt planning on be there long term at amazon. Did it for holiday season
37974205_394206496780607488 x	@lostinmyeyez124 this is true and you actually do this too http://t.co/DGR3T7eRr8
37974205_394205735468269568 x	@lostinmyeyez124 http://t.co/A4QBE6R7Xz
37974205_394193052941946880 x	Lead by example and never follow. Thats what separates a strong minded from weak minded.
37974205_393833415104942081 x	#PresidentObama is the type of president that would smoke weed after a heating exchange and have a conversation about the good ole days
37974205_393831567623073792 x	Since Kim & Kanye engagement happen, ppl flood to Las Vegas not for sports bet but to bet over & under on how long it will last. . #kimye
37974205_393830746827132928 x	The 1's that talk the most crap are the 1's that don't have anything as well. Like tellin a gal she has small butt n u have a small ****
37974205_393827422744739840 x	@Natrooper Beuller Beuller Beuller. . Has anyone seen Beuller?
37974205_392381016477679616 x	Can you locate the little creature in my window? . . #Halloween http://t.co/UFYxh4q2Jy
37974205_391343956614594561 x	@mheck629 I am going to need u to explain what the hell happen to Amazon bcuz I am not sure if I am in the Amazon I left
37974205_391343574077300737 x	@lostinmyeyez124 Last I got lost in some eyes, I literally threw up due to dizziness, and headaches. Might be a concussion who knows.
37974205_391342618522578944 x	@Natrooper I told ya that method works. Besides, it was all ur effort and research that work. Moments like those just relax and breathe
37974205_391342201726181376 x	@Natrooper *In my Morgan Freeman voice*. . Did I ever tell you how proud I am of you achieving ur success?". . Lol! but Congratulation.
37974205_390483636593913856 x	@Natrooper someone bumping some george micheal music
37974205_389920909596700672 x	@Natrooper is this how you feel about you're team?. . Lol! http://t.co/1K6QSpfnOI
37974205_389924675402203136 x	@Natrooper The Giants will eventually win. . Eli just need to relax. Jacob is running well so I guarantee ya they will win Sunday
37974205_389920650439032833 x	Alright looks like I got to get ready for work in the morning. . Looking forward to it. http://t.co/tCqyCSjffa
37974205_389911920066584576 x	@Natrooper Lets play family feud. We survey 100 women http://t.co/oQyB2AWkLZ
37974205_389914909024071682 x	@Natrooper It wasn't me . . Lol! Is the #1 answer
37974205_389916600419110913 x	@Natrooper One thing that you hate must is "Girl you trippin that's not even my condom". . Lol! #MauryMoment
37974205_389917489548648448 x	@Natrooper any guy that says that loses every credit ability to talk about their sex drive and man card. #GuyCode . . Lol
37974205_389916063594323968 x	@Natrooper It was my twin girl
37974205_389914013808599040 x	@Natrooper the famous of all lines when a man is caught cheating you got to know this line
37974205_389910898229268481 x	One more funny photo for my tweeters out there who are probably not reading my updates. . #comedy http://t.co/hqOII3KYB9
37974205_382901225106063360 x	@SashaBanksWWE the response you give when someone compliment you after a match. http://t.co/KcosLAmGyh
37974205_389910163693371392 x	My high school reunion is next month and this is exactly what u do when you go through ur old yearbook. http://t.co/GXUbta61eS
37974205_389840961385144320 x	15 creds away from graduation @UOPX. Can't tell u how proud I am with my efforts. #ClassOf14
37974205_389830209241092097 x	@Natrooper wow. . .
37974205_389829364839247873 x	#Halloween should be declare #cosplay day instead of Christians calling it "The Devils day." Make sense. #CosplayDay31st Spread the word ppl
37974205_389826880896917504 x	Halloween should be declare #cosplay day instead of Christians calling it "The Devils day." Make sense. #CosplayDay31st Spread the word ppl.
37974205_389823103380905984 x	The world is what man made created. #wisdom2013
37974205_389815647804198912 x	@DreamChaser807 Dallas is going down . . We are up!
37974205_389817269938696192 x	@DreamChaser807 You forgot I am not a Giants fan and sometimes my team back me up. . Lol! So we are up next. Let the best team win!
37974205_389543034607505408 x	There is one reason to explain the GOP action and that's the Tea Party movement. The tea party is organize by... http://t.co/WFHnel0WrU
37974205_389540254514159616 x	In case you don't know why we have a Government Shutdown. This photo should help explain who and why . . . Enjoy http://t.co/8PGUktvb2p
37974205_389476711483854849 x	Mmmm. . Gameday pizza from season pizza. . #GoEagles #NFLSunday #EaglesvsBucs http://t.co/k8f2aCYbhv
37974205_389246016278384640 x	Feel sad that my friend has dial up internet and it took him a week to download Katy Perry Part of Me movie. . #epicfail
37974205_389245330346098689 x	U know I am old school when I still call 1900WeAre18 number for adult chat with hot and awkward phone sex with girls that I don't know!!!
37974205_389243625881612289 x	I once ran into an awkward tweet conversation where it became evident they were twexting meaning tweet sex where two ppl pretend. .Weird
37974205_389233542162444288 x	@Natrooper how u do on you're speech? did my advice work?
37974205_389243083126099968 x	@Natrooper Lol. .  good to hear! I knew it would work especially when songs u hate ends up being the song u sing the whole day.
37974205_389233114720919553 x	Being single and eligible gives me time to save up and focus on me. Not saying I want to remain single but it's cool. #single
37974205_388851200093065216 x	@MsLadyDeviousD slip on some spill water
37974205_388848966655553536 x	@MsLadyDeviousD i drop a bowl of oodles of noodles so yeah. . Lol
37974205_388847156851142656 x	@MsLadyDeviousD idk it just was. .
