925668997_394135651496779776 x	https://t.co/Mjn56Ve8yZ #funniestthingever
925668997_392854709322919936 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a @sluggernation @ShaneVictorino bat. #WorldSeries http://t.co/qDr7g3qXma
925668997_344291742138396672 x	@TylerThang yes the girl you love
925668997_392379744169517056 x	RT @BWGotheem: Joe Montana and his brother have more Super Bowl wins than Payton and Eli Manning. Joe Montana doesn't have a brother... #Go?
925668997_392376466560020481 x	?@AdorableWords: i don't understand why people need to do drugs or party in order to have fun like have you tried mac n cheese?@dar_babes
925668997_391729864593907712 x	RT @J_Gooda11: Some girls at this school are ratchet as fuckk
925668997_390851235441836034 x	RT @CloydRivers: The Govt shutdown would have ended sooner if the politicians got on Facebook. That's where all the experts were solvin' th?
925668997_390346497101160448 x	Where are my cheez-its bob? @robbiea_23 http://t.co/vCmOsYAmrZ
925668997_390231950705065984 x	If Verlander wants to throw 96 painted away then it is #gameover see ya tomorrow sox
925668997_389966186509004800 x	@Csavs1 it's called old age I warned you about that all last year
925668997_387620898519670784 x	RT @NESN: Jose Canseco's 10-Point Plan to Save MLB Includes No Drug Testing, Replacing Extra Innings With Home Run Derby http://t.co/o06Pvc?
925668997_384890082999930881 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @RaysBaseball pitcher @DAVIDprice14. #Game163 http://t.co/046?
925668997_384750393454243841 x	RT @VineLoop: Hakuna Matata http://t.co/ZLZ7RAeO9e
925668997_382661805501607936 x	RT @ThadCastle: Don't smoke weed kid, you'll end up like him http://t.co/EayfKXsmfk
925668997_382661673288757248 x	?@ThadCastle: RIP Billy The Goat?@fox_lenny @ericponch @Wutsgoody2shoes @B_T_8 @fwank9 @myers271 sorry lendog
925668997_382481973207662594 x	RT @GrownAssMidget: Step 1: Buy combination lock. Step 2: Find someone with gauges. Step 3: Run up to them, click lock around their ear. St?
925668997_382338286930657280 x	?@TheComedyHumor: i need a phone with 500% battery life.? @myers271 I think that @ericponch has this @BBro8888 @fwank9 @Wutsgoody2shoes
925668997_382229435577270272 x	RT @GuyCodes: http://t.co/0gj56PZn9K
925668997_381407797482889217 x	RT @8_Semesters: Personality doesn't get you free drinks, boobs do.
925668997_380696788203618304 x	But @J_Gooda11 you have your own bed @Squire_Courtney http://t.co/1cqOVS1VWV
925668997_379816917181407232 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @RaysBaseball starter @DAVIDprice14. #MLBFC http://t.co/iejOZ?
925668997_379816067423821826 x	RT @greggrosenthal: Alex Smith has more rushing yards this year than the Steelers.
925668997_379797844447989761 x	RT @J_Gooda11: Exterminator @1Csween open for business #calltoday http://t.co/6VtXxV5Xx6
925668997_378310475228151808 x	@krys10rosamilia @jul_mic @brookeverdig that was my house thank you very much
925668997_375379089131339776 x	RT @SportsCenterNFL: Did you know Antonio Cromartie has 10 kids and 8 baby mothers? We did a countdown of the NFL's dumbest players, Look: ?
925668997_374756260597743616 x	Being at jack without the class of 2013 is #weird
925668997_373581260620595201 x	RT @robbiea_23: You know summers over when you start getting the 15 useless emails a day from monmouth?
925668997_372159103046389760 x	Buy 1 get 1 half off at GNC umm #itmoved #semi #gym
925668997_370689097209511936 x	What happened to French toast crunch #theyweresogood
925668997_369809397926858753 x	RT @Forbes: Millions of Millenials live at home and support the policies that keep them there http://t.co/pqYAmqj3Ye
925668997_367118552102629376 x	RT @VineLoop: In the 3rd grade... https://t.co/0gRxbdxlh3
925668997_359036285194743808 x	@TylerSaito oh hello Tyler
