599850449_313810109501411329 x	@AKoopersmith @ExcelerateLabs @techstars Must be exciting!
599850449_316210158172778496 x	Please Vote for #Mealtics by liking our page!  http://t.co/UGV1M1BVTC
599850449_313717024922673152 x	How is everyone doing today?
599850449_399309424096862208 x	#fighthunger #hunger #homelessness #startups Crowdfunding meals for the homeless. Launching next week!
599850449_399305909299474433 x	@timemillion Simple and great adcvice
599850449_399297585979981824 x	.@garyvee Hey Gary. We also have 30 copies of your book. We are going to be doing some giveaways this week.
599850449_399232903647092737 x	RT @HuffPostImpact: Agree? Philanthropy isn't just a privilege of wealth http://t.co/7jsv94lAwO
599850449_398995847352172544 x	Have a chance to win a ten minute phone call with @garyvee by donating a meal to the homeless. Sign up at http://t.co/6Ike38rRLF. #startups
599850449_398816885741191169 x	RT @naehomelessness: Join us and the @HomeDepotFdn to ensure there is #NeverAnotherHomelessVet  http://t.co/z6rIHzq6yq http://t.co/CMuBLduo?
599850449_398548491511021568 x	RT @shaig: doing the math, could rent a studio apartment in UES for $1900 & make $5K ($3K+ net) in AirBnB income per month...
599850449_398493705197604864 x	RT @cperanandam: Principles for building the Social Enterprise http://t.co/rRO7WadNNd RT@McKQuarterly @shellkillebrew @tamicann @mstribling
599850449_398478337947226112 x	RT @ChillMoody: @MealTics dope! shoot me an email, email in my bio.
599850449_398477541666603008 x	.@ChillMoody Let's chat. We're trying to raise 5000 spaghetti dinners for the homeless in your city of Philly. Trying to get the word out!
599850449_398463653693112320 x	RT @tobdea: http://t.co/cSoxYdUagh awsm post by @TheRealKofi big respect 4 trying 2 solve a social problem with @MealTics #startup #tech #s?
599850449_398431119449673728 x	I just published ?How A Homeless Guy Inspired Me To Launch My Startup? https://t.co/3pMBA0lDgZ @medium
599850449_398161644850647040 x	.@NickCannon We crowdfund meals from local restaurants and have them delivered to the homeless! #HALOawards tech+good http://t.co/QkDto80tKx
599850449_398094937549705217 x	RT @NYCDHS: Cmsr Ovesey highlights @TheDoeFund Peter Jay Sharp Center for Opportunity 10 yr anniversary @ Veterans Day Breakfast http://t.c?
599850449_398094808159617024 x	.@CoryBooker love all you have contributed to Newark. Would love to help feed the homeless there for our next campaign.
599850449_398078513884168193 x	.@garyvee we got 30 copies we are giving away at launch. Congrats!
599850449_398073630971543552 x	@Williamson_H If you are afraid of failure you don't deserve to be successful!
599850449_398073448964321280 x	RT @nokidhungry: RT @billshore: after just 5 days @JCPenney closing in on $200K raised for #NoKidHungry - awesome month http://t.co/kjlzmbB?
599850449_398072890811109379 x	.@marclamonthill We're crowdfunding 5000 spaghetti and meatball dinners for the homeless of your hometown #philly !
599850449_398006679784407040 x	RT @cstenta: Partnerships and collaboration are central to the success of #SocEnt Hub - business, community, local government #ChangeFest
599850449_397924140638035968 x	@HireQ_Inc thank you!
599850449_397924112783659008 x	RT @HireQ_Inc: Check out @MealTics they are crowdfunding meals from your favorite restaurants to local soup kitchens and community organiza?
599850449_397921955724021760 x	.@chrisbosh Love how you're promoting tech man. We're doing tech for social good. Check us out when you get a chance!
599850449_397917905737617408 x	Signup at http://t.co/CVJRaRnjKR for a chance to have a ten minute chat with Gary Vaynerchuk! Crowdfunding meals for the homeless!
599850449_397891480452227072 x	#Philly Sign up at http://t.co/E9aMnC4S5D Donate a spaghetti dinner to the homeless of Philly. Our goal is 5000 meals! RT
599850449_397560757237587968 x	@DavidWSeattle thanks so much for the follow! I see a lot of synergy!
599850449_397540552004345856 x	RT @amg55nj: Nov 18 @MealTics is launching in Philly. Check us out and help #fighthunger  http://t.co/oKJphHLy05
599850449_397498818553335808 x	@DavidWSeattle Help us help #Philly by crowdfunding meals for the homeless! Our goal is to provide 5000 meals! http://t.co/oV62tAfz0D
599850449_397497841301880832 x	RT @DavidWSeattle: From #homeless squatter to homeowner in #Philadelphia: A remarkable story. http://t.co/mNZUeUPRNr
599850449_397497457699217408 x	RT @stuckinscared: Don't throw old gloves/hats away, stick them in your pocket/handbag - u may pass a homeless person while out who cld do ?
599850449_397494538039615488 x	The demand for providing homeless students w basic resources (i.e food) is increasing! Join us in providing meals to #Philadelphia homeless
599850449_397493899133861888 x	For the full article on recent homelessness statsitics click this link http://t.co/1xJeEL51Kv
599850449_397493457796595712 x	More than 1.2 million K?12 students for the 2011-12 school year were homeless.
599850449_397493429380194305 x	The Department of Education released its latest report on #homeless #students last month and the numbers are startling....
599850449_397439948405891072 x	@TheRealEve 5000 spaghetti and meatball dinners for the homeless in #Philly #therealeve
599850449_397398142200856576 x	RT @rolandsmartin: #FoodStamp Cuts Starting Friday Will Leave 47 Million Families Hungrier http://t.co/BIM5fYuX8g via @newsone http://t.co/?
599850449_397398078707466240 x	@InvestorsCircle we are launching on November 18th. Guessing we don't have enough traction to pitch?
599850449_397397962449780736 x	RT @InvestorsCircle: #RaisingCapital for your #socent? Apply by Nov 14 for a chance to pitch with Investors' Circle! http://t.co/Lt0SfeCKvy?
599850449_397394589591801856 x	@Seamless would love to connect! This holiday we are crowdfunding spaghetti and meatball meals to the homeless
599850449_397360510204510208 x	Good Morning! Have a great Monday!
599850449_397182766481440768 x	RT @Crowdtilt: @MealTics So inspiring to see your innovative take on #socialgood! :) Feel free to message us at mary@crowdtilt.com, we'd lo?
599850449_397153533554069505 x	@Crowdtilt love what you guys are doing. We are crowdfunding meals from restaurants to the homeless. Let's connect
599850449_397074341160288256 x	@chriscato thanks for the follow. Would love to connect soon about how we are crowdfunding spaghetti dinners to the homeless in Philly
599850449_397145919097167872 x	@chriscato as part of the campaign we are giving away a ten minute phone call with investor @garyvee he was just featured in the NYT
599850449_397149322267357184 x	@chriscato check out our @HuffingtonPost article too http://t.co/p6EW9P6ulg ppl can purchase meals online on Nov 18th.
599850449_397144191836622849 x	@chriscato that's essentially crowdfunding. Our goal is to raise funds for 5000 spaghetti and meatball dinners for the homeless
599850449_397144019966648321 x	@chriscato great! Ok. Have you heard of http://t.co/jxTnfyc6rM People raise funds towards a cause or a goal for different campaigns
599850449_397013927080386560 x	Crowdfunding spaghetti and meatball dinners to the homeless at @Bethesda_Proj in Philadelphia! Launching in two weeks http://t.co/CVJRaRnjKR
599850449_396992112597954560 x	RT @lucki13: Just read about a cool idea & wanted to share!  They'll be launching their site soon. Enter your e-mail on http://t.co/g329NRq?
599850449_396980011741507584 x	RT @garyvee: hey East coasters ( and some early birds ) http://t.co/SU3YvDICFL go get the @NYTimes http://t.co/9T7aHMIS1t
599850449_395634303318888448 x	@nickducoff  how's it going. Would love to have a quick chat with you via email.
599850449_395631464110645248 x	Interested in sponsoring a Mealtics campaign. Tweet us! #socent #startups #fighthunger #homelessness
599850449_395336387114696704 x	.@youngstapreneur If you are interested we'd love to have you as a sponsor for our campaign. We're giving away a phone call with @garyvee !
599850449_395336209666285568 x	@youngstapreneur Thanks for the follow. Checking out http://t.co/F5PK5ePKvE now.
599850449_395334688312553472 x	Looking for sponsors for our next campaign! We're giving away a ten minute phone call with investor Gary Vaynerchuk! #socent #startups
599850449_393084786975055872 x	Be on the lookout for our November campaign! Crowdfunding meals for the homeless. #socent #startups #giveback
599850449_387704293223956480 x	First Mealtics campaign in November raising 500 meals for a local soup kitchen! Giving away a ten minute phone call with @garyvee #socent
599850449_384356556654919680 x	RT @upstart: Are you passionate about creating social value? Join our hangout with Kiva co-founder @jessicajackley http://t.co/VkMQeiSZxI #?
599850449_384356529018638337 x	RT @benandjerrys: What?s happening on the leading edge of #SocEnt business? Come hear 6 big ideas tonight at our #SocEntSummit http://t.co/?
