480977610_396008373562257408 x	@DSNAdam wrap foil around urself and call urself a burrito!!!
480977610_396007256103583744 x	#tbt early years of college, went #Seinfeld and rocked the George Costanza for #halloween http://t.co/p2cgMABeEf
480977610_395973705752260608 x	RT @Allbuffs: #Rolltad  RT @GoodmanESPN Three teams that didn't make the cut in the Preseason Top 25 that should have: Creighton, Harvard a?
480977610_395858816018821120 x	@740thegame two of them for you, george costanza and matt foley, the motivational speaker haha
480977610_395878013968994305 x	@740thegame I had a line that went with it too..."I'm george costanza!  I'm unemployed and I live with my parents!" http://t.co/aQArIRwfvV
480977610_395855148351627264 x	@ESPNrecruiter_J ...any other way to get larger files loaded into the system so I can show off work in it's entirety?
480977610_395854967719747584 x	@ESPNrecruiter_J Hey, I've been trying to upload my newest work onto the espn job site, but allows only 5MB...
480977610_395834125963100161 x	@MaggieAStokes Works for me, lets all go home!!!!
480977610_395805975963107330 x	RT @SInow Report: 49ers LB Aldon Smith surrenders to cops, posts bail http://t.co/7NFdkWkkw7 Broncos look good right now with Von
480977610_395805625201856512 x	Way to go @AlecBurks10 last night!  Dropping 24 in the season opener, in midseason form already. @cubuffs #GoBuffs
480977610_395797266734145536 x	Whose not thrilled that the #RedSox won the #WorldSeries?  THIS GUY!
480977610_395796850584076288 x	RT @rebeccagrants: #Sportsfans help me get 50K new followers so I can green light #sportscave #mancave! Help me & U get in! RT 4 invite! ht?
480977610_395795894047498240 x	@MLynchFans I must be getting ready to into #beastmode, found skittles in my coat pocket, opened up my backpack, SKITTLES!  Whats going on!
480977610_395776621493239808 x	@VicLombardi is there going to be a shake up u think? Gets SHAWS guys in there and not Karl's?
480977610_395776033263071232 x	RT @dfellman: Broncos, Avs and Nuggets all with only 1 loss! #DenverSports
480977610_395598454757404672 x	@Lopez_Nuggets How much of this roster do you think will fit into the halfcourt offense?  Seems like under Shaw it will be mostly just that
480977610_395272753286098945 x	@VicLombardi heard that the broncos aren't going for Allen, they really need the pass rush
480977610_395237857431801856 x	@thegarymiller Yes!  In the Colts game, we clearly missed a pass rush specialist opposite of Von
480977610_395237657699033088 x	@sports_contessa Doesn't make sense, they signed two pass rushers in offseason on top of having chris clemons and bruce irvin.
480977610_395141721857998848 x	@jeremypiven make sure u "hug it out" haha #Entourage
480977610_394582027401297921 x	RT @Sherlock_Joe: Have no clue what im watching. ..was @southstands303 right??? Have the Broncos peaked?
480977610_394580526771601408 x	@NateKreckman Denver defense slowly seems to imploding
480977610_394570447334830080 x	@dmac1043 @southstands303 Clark has got to go too!
480977610_394257734285004800 x	@BonnieBernstein @LastHonestSport so here in OKC they are playing the OU game over the World Series cause of the Wx...not a OU FAN, not cool
480977610_394261562732453888 x	@RonBurg97436552 @BonnieBernstein @LastHonestSport I'm soooo not a Okie, just here on business...#coloradonative
480977610_394267930495422464 x	@RonBurg97436552 @BonnieBernstein @LastHonestSport BLAH!!! GO @CUBUFFS!!!
